DR,A%,DF%,1stIn,1st%,2nd%
0.65,1.8%,1.8%,64.3%,66.7%,30.0%
0.77,5.0%,0.0%,76.7%,63.0%,64.3%
1.44,6.2%,4.6%,72.3%,72.3%,55.6%
1.27,4.5%,0.0%,74.6%,64.0%,58.8%
0.96,3.3%,4.9%,67.2%,65.9%,45.0%
0.64,1.8%,3.6%,67.3%,59.5%,61.1%
0.73,3.3%,9.8%,44.3%,59.3%,38.2%
1.53,19.0%,0.0%,76.2%,77.1%,66.7%
0.98,5.7%,4.5%,65.9%,67.2%,50.0%
1.19,5.6%,6.9%,72.2%,75.0%,40.0%
1.48,5.9%,3.9%,54.9%,78.6%,56.5%
1.42,13.8%,3.1%,70.8%,73.9%,57.9%
0.94,8.8%,6.9%,58.8%,76.7%,52.4%
1.46,3.0%,6.0%,53.7%,80.6%,64.5%
1.11,7.2%,6.4%,52.0%,78.5%,51.7%
0.95,2.9%,3.9%,69.6%,66.2%,54.8%
1.23,4.3%,3.3%,66.3%,75.4%,64.5%
1.25,2.4%,1.2%,65.9%,74.1%,50.0%
1.59,2.1%,2.1%,70.2%,66.7%,71.4%
0.60,9.3%,3.7%,75.9%,61.0%,30.8%
1.14,9.3%,4.0%,77.3%,74.1%,47.1%
1.27,13.3%,0.0%,70.0%,73.8%,61.1%
1.54,18.7%,5.3%,65.3%,81.6%,53.8%
1.70,9.1%,7.3%,61.8%,73.5%,57.1%
1.05,5.5%,1.1%,69.2%,66.7%,64.3%
2.19,2.9%,2.9%,70.6%,70.8%,80.0%
1.46,9.4%,7.8%,62.5%,80.0%,58.3%
2.19,7.0%,2.3%,60.5%,80.8%,70.6%
0.82,2.7%,1.4%,77.0%,70.2%,58.8%
0.58,2.6%,13.2%,55.3%,57.1%,23.5%
0.83,2.1%,6.3%,60.0%,56.1%,55.3%
0.74,3.1%,12.3%,63.1%,68.3%,41.7%
0.90,2.1%,6.3%,57.9%,63.6%,32.5%
1.06,3.4%,4.6%,57.5%,66.0%,45.9%
