DR,A%,DF%,1stIn,1st%,2nd%
0.97,7.4%,1.1%,60.6%,75.4%,56.8%
1.60,4.0%,2.0%,52.0%,73.1%,62.5%
1.53,14.6%,2.4%,58.5%,79.2%,70.6%
1.09,17.5%,3.8%,58.8%,89.4%,54.5%
1.74,12.8%,4.3%,59.6%,78.6%,63.2%
0.59,2.0%,16.3%,53.1%,65.4%,21.7%
0.99,2.7%,15.5%,40.0%,56.8%,47.0%
0.83,4.5%,6.0%,45.5%,73.8%,47.9%
0.79,0.0%,1.7%,55.2%,56.3%,34.6%
0.88,6.7%,6.7%,50.7%,52.6%,56.8%
0.73,2.7%,9.0%,51.4%,73.7%,51.9%
0.70,2.6%,5.2%,64.9%,70.0%,33.3%
0.66,2.9%,4.4%,55.9%,44.7%,46.7%
1.76,21.6%,3.9%,62.7%,81.3%,68.4%
0.96,13.6%,3.6%,65.5%,75.0%,42.1%
0.80,2.2%,2.2%,49.5%,69.6%,51.1%
1.24,3.7%,3.7%,58.0%,72.3%,61.8%
1.68,0.0%,2.0%,49.0%,75.0%,72.0%
0.90,10.8%,8.8%,57.8%,76.3%,46.5%
0.90,10.4%,3.5%,54.8%,73.0%,42.3%
0.39,19.0%,4.8%,38.1%,75.0%,46.2%
1.43,10.6%,1.5%,63.6%,69.0%,58.3%
1.33,11.3%,1.4%,53.5%,78.9%,51.5%
1.28,12.3%,2.7%,47.9%,82.9%,63.2%
1.31,5.8%,0.0%,50.7%,71.4%,61.8%
0.76,10.9%,8.7%,41.3%,84.2%,40.7%
1.21,3.2%,3.2%,50.5%,66.7%,63.8%
1.35,10.0%,3.3%,50.0%,80.0%,60.0%
0.79,8.6%,7.8%,50.0%,77.6%,41.4%
1.15,10.3%,11.5%,55.1%,72.1%,54.3%
1.21,9.2%,5.3%,56.6%,79.1%,54.5%
1.56,13.0%,5.6%,61.1%,75.8%,57.1%
0.91,3.8%,0.0%,34.0%,61.1%,57.1%
1.02,4.8%,6.0%,53.6%,71.1%,38.5%
1.00,14.1%,3.5%,58.8%,72.0%,45.7%
1.24,12.9%,4.8%,53.2%,72.7%,44.8%
0.88,1.5%,6.1%,57.6%,63.2%,50.0%
1.18,9.8%,9.8%,45.1%,75.7%,51.1%
1.65,17.5%,5.3%,45.6%,84.6%,67.7%
1.65,17.5%,5.3%,45.6%,84.6%,67.7%
1.24,11.9%,6.0%,49.3%,69.7%,52.9%
0.98,5.9%,4.2%,51.7%,67.2%,50.9%
