DR,A%,DF%,1stIn,1st%,2nd%
0.47,6.4%,5.1%,69.2%,57.4%,37.5%
0.57,1.5%,1.5%,58.5%,65.8%,37.0%
1.13,10.1%,3.8%,49.4%,66.7%,62.5%
1.97,11.9%,2.4%,59.5%,80.0%,70.6%
1.15,3.8%,3.8%,58.5%,69.4%,59.1%
0.97,9.5%,5.4%,48.6%,77.8%,52.6%
0.79,7.5%,1.9%,46.2%,73.5%,52.6%
0.95,5.2%,2.6%,66.4%,64.9%,43.6%
0.79,8.8%,3.5%,57.9%,69.7%,37.5%
1.22,5.3%,6.4%,59.6%,71.4%,60.5%
0.94,1.2%,4.8%,61.4%,74.5%,50.0%
0.69,5.0%,1.7%,55.0%,51.5%,44.4%
0.72,15.7%,2.9%,65.7%,69.6%,50.0%
1.23,2.9%,8.6%,51.4%,72.2%,44.1%
0.88,8.5%,2.8%,74.6%,67.9%,38.9%
0.24,9.8%,2.4%,65.9%,70.4%,35.7%
1.13,2.6%,1.3%,67.1%,72.5%,48.0%
0.82,8.1%,4.8%,54.8%,58.8%,50.0%
0.95,15.8%,3.3%,60.0%,76.4%,47.9%
0.79,6.0%,1.5%,55.2%,62.2%,56.7%
0.76,7.5%,8.2%,54.8%,73.8%,48.5%
0.85,4.5%,7.6%,50.0%,78.8%,42.4%
1.84,14.6%,4.9%,51.2%,85.7%,55.0%
1.50,23.3%,5.0%,63.3%,81.6%,59.1%
0.69,5.9%,2.0%,74.5%,68.4%,38.5%
1.27,24.5%,1.0%,72.5%,77.0%,57.1%
1.43,8.1%,3.2%,59.7%,81.1%,56.0%
1.12,12.5%,1.3%,63.7%,70.6%,48.3%
1.44,15.4%,3.1%,66.2%,76.7%,54.5%
1.04,5.0%,3.0%,51.0%,68.6%,46.9%
0.60,19.7%,7.0%,62.0%,84.1%,40.7%
1.63,14.8%,4.9%,50.8%,80.6%,70.0%
0.66,9.2%,10.3%,56.3%,69.4%,31.6%
0.85,6.0%,4.0%,64.0%,68.8%,72.2%
0.54,13.6%,7.4%,63.0%,66.7%,36.7%
