DR,A%,DF%,1stIn,1st%,2nd%
0.93,4.9%,6.2%,54.3%,79.5%,45.9%
0.99,4.8%,7.1%,67.9%,59.6%,48.1%
0.93,0.0%,3.3%,65.9%,68.3%,32.3%
0.87,4.8%,1.2%,56.0%,74.5%,40.5%
0.93,3.0%,0.8%,69.2%,65.2%,48.8%
1.12,1.9%,2.9%,63.8%,76.1%,42.1%
1.19,7.5%,0.0%,77.6%,71.2%,53.3%
0.66,4.7%,3.1%,71.9%,67.4%,38.9%
0.40,11.5%,1.6%,65.6%,52.5%,47.6%
1.51,15.5%,2.8%,62.0%,75.0%,70.4%
0.54,1.4%,0.0%,72.6%,52.8%,60.0%
0.80,1.2%,2.5%,60.5%,69.4%,46.9%
1.10,1.0%,2.0%,67.0%,71.6%,51.5%
0.95,14.6%,6.1%,63.4%,82.7%,30.0%
1.75,12.2%,2.0%,69.4%,82.4%,60.0%
0.54,0.0%,0.0%,67.9%,52.6%,44.4%
1.03,4.9%,0.8%,74.6%,62.6%,48.4%
0.84,1.4%,1.4%,63.4%,68.9%,38.5%
0.48,10.7%,8.3%,50.0%,69.0%,35.7%
1.02,11.6%,0.8%,67.8%,76.8%,51.3%
0.76,5.0%,2.5%,63.7%,64.7%,58.6%
1.07,10.9%,5.4%,63.0%,74.1%,55.9%
0.63,5.4%,5.4%,71.4%,65.0%,43.8%
0.50,6.3%,7.9%,52.4%,69.7%,43.3%
0.34,10.0%,4.0%,72.0%,77.8%,21.4%
0.44,1.7%,1.7%,63.8%,70.3%,33.3%
0.87,4.4%,0.7%,70.8%,64.9%,55.0%
0.62,3.7%,7.4%,57.4%,77.4%,39.1%
1.03,2.3%,1.1%,70.5%,66.1%,42.3%
1.04,8.8%,2.7%,58.4%,75.8%,46.8%
1.15,4.7%,1.2%,58.1%,68.0%,52.8%
0.59,9.9%,5.6%,54.9%,79.5%,43.8%
0.90,5.2%,3.4%,57.5%,65.0%,44.6%
0.66,3.9%,1.3%,66.2%,64.7%,38.5%
0.98,4.2%,4.2%,58.3%,80.4%,45.0%
1.21,13.0%,5.4%,55.4%,84.3%,39.0%
0.31,0.0%,5.1%,56.4%,45.5%,41.2%
0.50,5.5%,3.6%,69.1%,71.1%,47.1%
0.99,8.6%,3.2%,65.6%,77.0%,50.0%
1.12,4.9%,1.0%,64.7%,63.6%,69.4%
0.81,6.4%,2.3%,67.6%,68.4%,58.9%
0.67,1.0%,1.0%,65.3%,71.2%,45.7%
1.03,4.6%,1.5%,67.9%,66.3%,61.9%
0.99,3.3%,2.0%,63.8%,70.1%,45.5%
0.93,2.6%,1.7%,68.7%,58.2%,58.3%
1.23,2.9%,5.8%,63.8%,77.3%,48.0%
2.99,15.8%,2.6%,63.2%,91.7%,71.4%
0.63,0.0%,2.1%,60.6%,71.9%,51.4%
1.92,9.3%,0.0%,74.4%,68.8%,72.7%
0.75,0.0%,4.9%,55.7%,52.9%,48.1%
1.01,0.0%,2.7%,70.5%,68.4%,42.4%
