DR,A%,DF%,1stIn,1st%,2nd%
0.76,0.0%,1.8%,77.2%,38.6%,23.1%
0.53,0.0%,6.7%,73.3%,61.4%,37.5%
1.46,3.7%,0.0%,74.1%,70.0%,64.3%
0.66,5.9%,2.9%,79.4%,57.4%,57.1%
0.74,0.0%,2.4%,71.4%,63.3%,41.7%
0.61,4.2%,6.3%,75.0%,58.3%,58.3%
1.00,1.7%,1.7%,67.5%,67.1%,50.0%
0.89,2.3%,3.8%,71.2%,60.6%,52.6%
1.12,0.0%,1.5%,77.3%,70.6%,46.7%
0.60,0.0%,6.3%,68.8%,45.5%,20.0%
1.19,0.0%,0.0%,80.0%,60.0%,65.0%
0.42,2.4%,7.3%,53.7%,63.6%,57.9%
0.79,0.0%,7.6%,63.6%,54.8%,41.7%
0.44,2.0%,6.1%,63.3%,71.0%,27.8%
0.56,0.0%,5.3%,71.9%,61.0%,25.0%
0.93,0.0%,6.6%,77.6%,59.3%,41.2%
0.78,0.0%,0.0%,73.3%,56.8%,62.5%
1.72,0.0%,4.1%,77.6%,71.1%,45.5%
1.00,0.9%,2.7%,75.0%,56.0%,42.9%
0.36,0.0%,7.0%,68.4%,51.3%,33.3%
1.82,0.0%,4.1%,69.4%,73.5%,73.3%
1.49,0.0%,3.8%,57.7%,60.0%,72.7%
0.52,0.0%,5.6%,68.1%,53.1%,34.8%
1.76,2.4%,4.8%,76.2%,71.9%,60.0%
1.11,1.2%,3.6%,69.9%,70.7%,60.0%
0.64,10.2%,12.2%,67.3%,69.7%,12.5%
1.08,4.8%,1.6%,71.4%,77.8%,55.6%
0.95,3.8%,4.7%,77.4%,62.2%,41.7%
0.78,11.3%,6.5%,53.2%,75.8%,51.7%
0.75,8.3%,6.7%,61.7%,73.0%,34.8%
1.79,8.7%,0.0%,67.4%,83.9%,53.3%
0.25,0.0%,5.4%,56.8%,57.1%,18.8%
1.41,0.0%,6.8%,69.5%,63.4%,44.4%
1.24,2.6%,1.3%,70.5%,70.9%,60.9%
1.41,1.7%,3.3%,71.7%,65.1%,58.8%
1.24,0.0%,4.5%,70.1%,68.1%,40.0%
1.11,3.3%,3.3%,63.3%,68.4%,54.5%
0.71,3.7%,3.7%,71.6%,60.3%,52.2%
0.75,1.6%,6.3%,70.3%,71.1%,42.1%
0.62,2.2%,5.6%,66.7%,55.0%,53.3%
1.70,15.4%,3.8%,73.1%,81.6%,57.1%
0.91,3.6%,3.6%,61.8%,67.6%,61.9%
0.60,1.3%,10.7%,57.3%,51.2%,25.0%
1.25,5.9%,7.8%,60.1%,68.5%,57.4%
0.74,3.8%,6.7%,64.8%,66.2%,48.6%
