DR,A%,DF%,1stIn,1st%,2nd%
0.84,8.7%,8.7%,59.8%,67.3%,51.4%
0.55,4.4%,8.8%,61.5%,66.1%,51.4%
1.32,16.9%,7.7%,60.0%,76.9%,46.2%
0.79,2.5%,8.9%,51.9%,82.9%,39.5%
0.62,6.5%,16.1%,48.4%,64.4%,35.4%
0.69,4.0%,12.0%,62.7%,74.5%,39.3%
1.37,3.8%,5.0%,61.3%,73.5%,58.1%
0.59,3.2%,6.3%,61.9%,66.7%,37.5%
1.21,8.0%,13.8%,58.6%,76.5%,36.1%
1.45,15.1%,11.3%,56.6%,76.7%,52.2%
1.27,13.2%,6.6%,66.0%,81.4%,63.9%
1.02,10.0%,9.1%,51.8%,73.7%,50.9%
1.42,4.8%,7.9%,49.2%,83.9%,59.4%
1.41,12.5%,5.6%,63.9%,80.4%,46.2%
1.68,11.3%,7.5%,71.7%,92.1%,46.7%
1.54,16.0%,6.0%,64.0%,81.3%,61.1%
1.32,19.4%,6.5%,64.5%,80.0%,45.5%
1.09,11.4%,6.3%,55.7%,88.6%,54.3%
0.94,8.6%,6.5%,59.1%,76.4%,42.1%
0.89,22.2%,6.7%,63.3%,73.7%,18.2%
0.44,5.8%,11.5%,55.8%,69.0%,34.8%
0.98,13.4%,10.9%,46.2%,81.8%,39.1%
1.07,14.1%,1.2%,69.4%,71.2%,57.7%
1.43,18.0%,12.0%,54.0%,96.3%,47.8%
1.08,11.8%,3.5%,67.1%,73.7%,42.9%
0.78,8.9%,2.5%,68.4%,64.8%,56.0%
1.22,22.9%,7.2%,60.2%,84.0%,42.4%
1.48,8.3%,0.0%,62.5%,82.2%,51.9%
1.08,15.3%,3.5%,62.4%,79.2%,53.1%
1.31,6.3%,6.3%,52.4%,81.8%,53.3%
0.86,12.1%,9.1%,56.1%,64.9%,51.7%
0.67,7.7%,15.4%,46.2%,44.4%,47.6%
1.01,2.9%,10.3%,48.5%,81.8%,51.4%
0.98,11.8%,3.2%,68.8%,70.3%,48.3%
1.06,12.4%,5.2%,62.9%,75.4%,33.3%
0.70,8.2%,5.5%,53.4%,69.2%,44.1%
1.37,11.5%,5.1%,57.7%,80.0%,54.5%
0.52,11.1%,1.9%,55.6%,63.3%,33.3%
1.86,18.4%,4.1%,65.3%,81.3%,70.6%
1.01,10.1%,2.0%,56.6%,69.6%,55.8%
1.19,9.2%,5.7%,55.2%,72.9%,59.0%
0.83,10.9%,3.1%,57.8%,67.6%,48.1%
0.91,20.2%,4.6%,63.3%,78.3%,50.0%
1.27,12.5%,6.3%,55.0%,79.5%,61.1%
2.14,26.5%,2.0%,59.2%,93.1%,65.0%
0.60,14.3%,2.0%,59.2%,65.5%,40.0%
0.98,7.7%,9.0%,51.3%,75.0%,42.1%
0.99,11.0%,3.3%,69.2%,73.0%,64.3%
0.82,9.9%,7.4%,61.2%,68.9%,36.2%
0.97,12.3%,7.4%,62.3%,76.3%,47.8%
0.87,8.5%,9.4%,49.1%,80.8%,48.1%
1.04,6.4%,5.6%,56.8%,57.7%,51.9%
0.86,13.3%,8.4%,56.6%,70.2%,44.4%
0.62,4.8%,3.2%,61.3%,65.8%,29.2%
1.35,8.5%,1.7%,62.7%,70.3%,59.1%
1.93,16.7%,4.2%,58.3%,92.9%,55.0%
0.99,11.6%,9.5%,61.1%,74.1%,48.6%
0.83,7.4%,7.4%,57.4%,67.7%,34.8%
0.74,6.5%,6.5%,58.9%,69.8%,56.8%
2.46,22.7%,9.1%,52.3%,87.0%,76.2%
0.65,19.8%,9.9%,53.8%,67.3%,50.0%
0.64,31.7%,9.5%,68.3%,88.4%,30.0%
1.00,27.5%,6.7%,60.8%,82.2%,57.4%
1.04,28.3%,6.1%,73.7%,74.0%,42.3%
0.54,6.9%,5.9%,66.7%,70.6%,50.0%
0.96,8.5%,12.7%,50.8%,68.3%,39.7%
0.71,14.3%,1.6%,68.3%,72.1%,65.0%
0.96,2.4%,6.1%,52.4%,79.1%,46.2%
1.92,9.1%,4.5%,52.3%,73.9%,71.4%
0.48,1.7%,3.4%,66.1%,61.5%,45.0%
0.81,14.5%,3.6%,62.7%,73.1%,35.5%
0.48,3.3%,15.0%,60.0%,66.7%,33.3%
0.99,6.5%,6.5%,57.9%,69.4%,46.7%
1.21,2.4%,4.9%,63.4%,75.0%,53.3%
1.41,10.2%,4.5%,70.5%,79.0%,65.4%
0.98,4.7%,6.5%,55.1%,69.5%,37.5%
1.15,7.8%,1.9%,58.3%,65.0%,46.5%
0.60,14.3%,12.2%,57.1%,75.0%,23.8%
1.23,10.0%,4.4%,62.2%,66.1%,55.9%
1.51,16.2%,5.9%,60.3%,75.6%,63.0%
0.83,17.4%,1.4%,75.4%,71.2%,52.9%
1.38,10.1%,0.0%,75.9%,81.7%,63.2%
1.50,4.9%,3.3%,57.4%,74.3%,57.7%
1.44,16.4%,0.0%,65.6%,75.0%,61.9%
0.64,7.9%,6.3%,69.8%,59.1%,42.1%
1.19,6.9%,4.3%,61.2%,74.6%,57.8%
0.93,6.8%,6.8%,55.7%,79.6%,30.8%
1.30,14.1%,5.6%,49.3%,91.4%,52.8%
1.84,12.8%,2.1%,59.6%,92.9%,52.6%
1.10,14.5%,4.3%,71.0%,73.5%,55.0%
1.43,18.3%,5.0%,56.7%,85.3%,65.4%
1.22,8.6%,4.3%,64.3%,77.8%,56.0%
1.02,15.7%,10.8%,61.4%,80.4%,50.0%
0.99,5.5%,9.2%,48.6%,77.4%,44.6%
0.97,7.1%,3.6%,60.7%,70.6%,41.8%
0.96,7.3%,3.7%,62.2%,68.6%,45.2%
0.81,8.8%,13.8%,51.2%,73.2%,20.5%
2.18,26.7%,2.2%,60.0%,85.2%,61.1%
1.09,1.1%,8.9%,58.9%,67.9%,48.6%
1.16,12.5%,4.2%,65.3%,78.7%,44.0%
0.75,8.1%,3.2%,59.7%,64.9%,52.0%
1.96,12.5%,0.0%,62.5%,80.0%,72.2%
0.73,16.1%,4.8%,72.6%,68.9%,29.4%
1.28,20.6%,1.0%,73.2%,80.3%,46.2%
1.25,13.4%,6.0%,67.2%,73.3%,54.5%
1.13,10.3%,1.3%,66.7%,78.8%,53.8%
0.65,10.3%,4.1%,66.0%,70.3%,57.6%
1.65,17.0%,8.5%,74.5%,74.3%,33.3%
3.44,20.4%,2.0%,59.2%,89.7%,90.0%
1.17,16.0%,3.7%,61.7%,88.0%,35.5%
1.75,24.2%,3.2%,67.7%,88.1%,65.0%
0.64,11.1%,4.8%,66.7%,66.7%,38.1%
0.47,12.5%,2.8%,69.4%,72.0%,59.1%
1.31,15.6%,6.3%,62.5%,82.5%,50.0%
0.54,8.2%,8.2%,42.6%,73.1%,45.7%
0.88,1.8%,16.1%,53.6%,76.7%,50.0%
0.73,8.4%,7.2%,66.3%,72.7%,35.7%
1.09,2.9%,5.9%,67.6%,71.0%,39.4%
2.20,6.1%,6.1%,67.3%,93.9%,62.5%
0.81,9.0%,6.4%,65.4%,74.5%,37.0%
0.58,5.6%,7.8%,52.2%,83.0%,41.9%
