DR,A%,DF%,1stIn,1st%,2nd%
0.92,1.1%,6.7%,53.9%,62.5%,46.3%
1.16,1.0%,5.1%,48.5%,70.8%,56.9%
0.86,1.2%,1.2%,67.4%,55.2%,46.4%
1.13,2.0%,2.0%,64.3%,65.1%,51.4%
1.10,14.3%,1.3%,61.0%,76.6%,56.7%
0.63,3.2%,8.1%,45.2%,75.0%,47.1%
1.04,12.9%,3.5%,57.6%,81.6%,52.8%
1.95,8.3%,6.3%,58.3%,92.9%,55.0%
0.76,5.3%,6.6%,57.9%,68.2%,43.8%
0.79,9.7%,2.8%,62.5%,68.9%,44.4%
2.15,8.6%,5.7%,54.3%,94.7%,43.8%
0.94,3.2%,2.4%,59.2%,77.0%,51.0%
1.19,15.6%,4.4%,61.1%,89.1%,57.1%
0.92,0.0%,6.5%,47.8%,68.2%,66.7%
0.73,1.8%,4.6%,56.9%,67.7%,38.3%
1.30,8.6%,0.0%,58.6%,82.9%,62.1%
0.74,10.0%,1.3%,53.8%,67.4%,43.2%
0.76,2.8%,3.7%,72.5%,65.8%,40.0%
1.91,17.8%,0.0%,71.1%,81.3%,53.8%
0.97,7.5%,4.5%,62.7%,66.7%,48.0%
1.09,9.0%,3.0%,76.1%,74.5%,62.5%
1.62,17.0%,1.9%,71.7%,81.6%,33.3%
1.29,8.8%,1.5%,61.8%,71.4%,57.7%
1.49,3.7%,0.0%,79.6%,76.7%,54.5%
1.21,5.3%,4.3%,66.0%,71.0%,59.4%
1.60,10.9%,3.6%,60.0%,78.8%,59.1%
1.64,10.5%,0.0%,68.4%,82.1%,77.8%
0.69,9.8%,14.8%,55.7%,76.5%,29.6%
1.15,18.9%,4.1%,64.9%,68.8%,46.2%
0.92,4.8%,7.2%,44.0%,80.0%,42.9%
1.37,2.9%,7.4%,55.9%,76.3%,46.7%
1.26,7.8%,2.6%,57.1%,77.3%,66.7%
0.59,6.7%,10.0%,38.3%,65.2%,40.5%
0.90,9.4%,1.7%,67.5%,70.9%,42.1%
2.92,13.5%,0.0%,67.6%,88.0%,58.3%
1.16,17.3%,4.9%,59.3%,79.2%,39.4%
0.67,6.8%,5.4%,62.2%,69.6%,50.0%
1.24,11.8%,2.2%,60.2%,82.1%,62.2%
0.71,12.5%,8.9%,51.8%,72.4%,44.4%
1.00,4.9%,4.9%,55.9%,78.9%,64.4%
1.38,12.7%,1.8%,65.5%,86.1%,57.9%
0.59,0.0%,4.3%,48.9%,62.2%,44.7%
1.14,7.2%,3.2%,56.0%,72.9%,56.4%
0.85,9.9%,5.6%,56.3%,67.5%,41.9%
0.44,7.5%,3.8%,52.8%,71.4%,60.0%
1.39,1.5%,7.7%,53.8%,68.6%,53.3%
0.72,6.0%,1.5%,64.2%,69.8%,33.3%
2.62,9.8%,2.4%,68.3%,85.7%,69.2%
1.12,6.3%,2.5%,51.9%,70.7%,55.3%
0.63,0.0%,0.0%,62.3%,60.6%,65.0%
1.55,11.3%,1.6%,64.5%,80.0%,50.0%
1.38,5.2%,1.7%,58.6%,79.4%,45.8%
0.74,2.8%,4.2%,56.9%,61.0%,41.9%
1.46,4.9%,1.6%,52.5%,71.9%,72.4%
0.81,5.1%,4.0%,53.5%,73.6%,43.5%
1.28,3.4%,3.4%,62.1%,80.6%,50.0%
0.82,3.5%,1.8%,61.1%,71.0%,36.4%
1.51,8.8%,1.3%,55.0%,77.3%,63.9%
1.21,9.0%,6.0%,62.7%,71.4%,56.0%
0.76,1.5%,10.6%,39.4%,50.0%,47.5%
0.62,3.7%,2.4%,58.5%,68.8%,50.0%
1.54,5.0%,1.7%,58.3%,77.1%,80.0%
0.47,7.8%,0.0%,70.6%,75.0%,40.0%
1.34,4.7%,1.6%,60.9%,76.9%,64.0%
0.71,4.2%,4.2%,65.3%,61.7%,64.0%
1.18,6.8%,1.4%,67.6%,76.0%,45.8%
1.57,7.4%,1.2%,70.4%,78.9%,54.2%
1.29,1.4%,2.8%,58.3%,61.9%,60.0%
1.26,6.6%,3.3%,57.4%,74.3%,65.4%
0.87,4.7%,6.3%,45.3%,72.4%,54.3%
0.92,5.6%,2.8%,59.7%,72.1%,58.6%
0.63,2.6%,2.6%,73.5%,59.3%,35.5%
0.82,4.3%,0.0%,56.5%,84.6%,50.0%
0.74,3.5%,8.2%,60.0%,62.7%,41.2%
1.30,4.5%,1.5%,71.6%,75.0%,63.2%
1.35,6.0%,4.5%,58.2%,66.7%,64.3%
1.00,5.6%,3.4%,60.7%,64.8%,51.4%
0.47,12.0%,4.0%,62.0%,64.5%,42.1%
0.83,11.5%,3.8%,61.5%,75.0%,55.0%
0.27,0.0%,5.5%,69.1%,44.7%,41.2%
0.47,13.8%,10.3%,58.6%,70.6%,25.0%
1.04,2.0%,3.1%,60.2%,72.9%,51.3%
1.19,5.2%,5.2%,62.3%,83.3%,55.2%
1.84,8.9%,3.6%,48.2%,88.9%,65.5%
0.44,5.0%,8.3%,65.0%,64.1%,38.1%
0.54,3.3%,1.7%,70.0%,54.8%,50.0%
1.42,11.1%,3.2%,71.4%,75.6%,61.1%
1.51,3.6%,0.0%,67.9%,78.9%,50.0%
0.93,9.0%,3.5%,62.5%,68.9%,46.3%
0.95,7.2%,7.2%,53.6%,73.1%,48.9%
1.07,11.8%,1.3%,60.5%,84.8%,50.0%
1.11,7.8%,3.9%,51.9%,75.0%,56.8%
0.63,5.7%,5.7%,52.8%,64.3%,44.0%
0.76,2.4%,2.4%,52.4%,56.8%,37.5%
0.61,1.5%,1.5%,52.2%,40.0%,46.9%
1.50,0.0%,3.9%,51.0%,84.6%,52.0%
1.46,6.4%,0.0%,48.7%,73.7%,62.5%
1.09,1.6%,4.9%,55.7%,76.5%,37.0%
1.32,11.5%,3.3%,57.4%,74.3%,50.0%
0.80,0.9%,3.6%,68.5%,61.8%,40.0%
0.62,6.0%,4.5%,64.2%,60.5%,54.2%
0.77,3.3%,2.5%,64.8%,63.3%,44.2%
0.67,10.9%,6.3%,54.7%,68.6%,65.5%
1.03,5.2%,6.2%,55.7%,81.5%,51.2%
1.70,9.7%,3.2%,56.5%,80.0%,70.4%
0.97,2.9%,3.9%,47.6%,69.4%,38.9%
0.81,1.4%,2.9%,46.4%,56.3%,43.2%
0.59,2.7%,8.2%,58.9%,39.5%,46.7%
1.15,4.9%,0.0%,44.4%,69.4%,57.8%
0.90,0.9%,4.6%,56.0%,68.9%,45.8%
0.77,4.8%,4.8%,48.2%,75.0%,46.5%
0.70,8.0%,3.5%,50.4%,75.4%,57.1%
5.65,12.9%,3.2%,61.3%,94.7%,83.3%
0.98,3.7%,2.8%,56.0%,54.1%,54.2%
1.41,1.8%,1.8%,53.6%,76.7%,46.2%
0.70,1.7%,1.7%,48.3%,62.1%,54.8%
