DR,A%,DF%,1stIn,1st%,2nd%
0.86,5.8%,4.7%,62.8%,74.1%,50.0%
1.15,2.4%,3.7%,68.3%,76.8%,42.3%
0.96,2.8%,1.9%,63.0%,63.2%,57.5%
1.04,1.1%,1.1%,63.2%,63.3%,60.0%
0.96,1.1%,1.1%,60.9%,60.4%,55.9%
0.75,2.3%,2.3%,60.2%,66.0%,51.4%
1.00,2.9%,1.0%,62.9%,66.7%,35.9%
1.15,6.6%,4.7%,65.1%,71.0%,56.8%
0.88,1.0%,4.1%,56.1%,63.6%,51.2%
0.70,3.5%,4.7%,58.8%,60.0%,48.6%
0.38,3.2%,1.6%,68.3%,67.4%,35.0%
1.05,4.2%,2.1%,70.5%,65.7%,46.4%
0.85,2.2%,1.1%,59.6%,60.4%,52.8%
1.05,3.5%,1.2%,60.0%,72.5%,58.8%
0.73,6.3%,0.0%,63.5%,60.0%,47.8%
1.36,2.1%,2.1%,72.9%,62.9%,46.2%
0.33,0.0%,6.3%,57.0%,53.3%,41.2%
0.38,4.2%,2.1%,60.4%,44.8%,36.8%
0.72,1.4%,2.9%,60.0%,61.9%,53.6%
1.38,8.2%,0.0%,68.9%,78.6%,63.2%
0.90,4.9%,11.5%,57.4%,77.1%,42.3%
1.30,5.7%,2.3%,55.7%,67.3%,61.5%
0.71,7.8%,7.8%,55.3%,64.9%,39.1%
0.80,7.7%,3.8%,69.2%,63.9%,56.3%
1.02,7.0%,5.8%,57.0%,77.6%,64.9%
1.55,7.0%,5.3%,50.9%,72.4%,57.1%
1.14,9.8%,6.5%,62.0%,77.2%,48.6%
4.49,10.5%,5.3%,68.4%,84.6%,83.3%
0.48,13.0%,1.9%,68.5%,59.5%,47.1%
0.38,5.1%,5.1%,44.1%,53.8%,33.3%
1.24,5.2%,1.3%,72.7%,73.2%,52.4%
1.42,7.7%,1.9%,61.5%,65.6%,60.0%
1.27,9.1%,3.0%,53.0%,77.1%,64.5%
1.13,6.7%,4.2%,64.2%,72.7%,58.1%
1.12,2.7%,0.0%,58.9%,79.1%,53.3%
1.15,4.3%,3.3%,56.5%,69.2%,47.5%
1.00,3.7%,3.7%,62.0%,74.6%,43.9%
1.25,6.6%,3.3%,59.0%,72.2%,44.0%
1.21,3.2%,7.4%,56.8%,72.2%,48.8%
0.28,1.9%,1.9%,65.4%,55.9%,27.8%
1.15,12.8%,4.7%,54.7%,76.6%,59.0%
1.25,2.7%,0.9%,58.4%,69.7%,63.8%
0.55,5.2%,8.6%,44.8%,76.9%,28.1%
0.58,4.0%,0.0%,72.0%,47.2%,64.3%
1.07,6.5%,1.6%,59.3%,71.2%,60.0%
0.57,1.8%,1.8%,57.1%,65.6%,45.8%
1.10,7.3%,2.1%,62.5%,68.3%,50.0%
0.45,5.0%,3.0%,69.3%,58.6%,32.3%
1.08,6.0%,6.0%,53.4%,70.4%,45.2%
0.44,2.2%,2.2%,45.7%,61.9%,40.0%
1.09,6.7%,2.9%,63.5%,71.2%,57.9%
1.00,2.0%,0.0%,57.6%,64.9%,54.8%
0.68,3.4%,0.0%,74.6%,61.4%,60.0%
2.28,5.4%,2.7%,67.6%,76.0%,75.0%
0.32,0.0%,10.0%,52.0%,57.7%,20.8%
1.78,4.3%,4.3%,59.6%,71.4%,63.2%
0.97,1.9%,5.6%,56.1%,61.7%,46.8%
1.48,3.4%,0.0%,55.9%,72.7%,69.2%
0.49,0.0%,0.0%,60.9%,32.1%,44.4%
0.88,2.1%,4.2%,56.8%,59.3%,41.5%
0.84,8.1%,4.1%,57.4%,74.1%,46.0%
0.72,4.3%,0.0%,74.5%,60.0%,33.3%
1.23,0.0%,5.2%,63.6%,75.5%,46.4%
0.91,3.4%,3.4%,51.7%,76.1%,41.9%
1.23,2.2%,0.0%,63.3%,71.9%,54.5%
1.09,8.5%,8.5%,67.6%,77.1%,34.8%
1.06,9.9%,3.7%,59.3%,77.1%,54.5%
1.70,11.8%,3.9%,51.0%,88.5%,60.0%
0.79,9.8%,3.3%,60.7%,73.0%,41.7%
0.64,0.0%,2.8%,63.0%,66.2%,40.0%
0.79,0.0%,2.4%,61.2%,63.5%,42.4%
0.82,4.6%,0.0%,70.1%,57.4%,50.0%
0.76,1.1%,4.3%,61.3%,52.6%,50.0%
0.83,1.7%,5.2%,62.1%,55.6%,59.1%
1.49,7.7%,6.2%,46.2%,86.7%,57.1%
1.25,6.8%,5.5%,56.2%,73.2%,43.8%
0.70,3.4%,8.5%,59.3%,68.6%,29.2%
0.32,4.1%,10.2%,46.9%,73.9%,42.3%
1.16,9.1%,2.6%,67.5%,78.8%,60.0%
1.06,4.5%,4.5%,53.7%,72.2%,64.5%
0.72,3.9%,2.0%,49.0%,80.0%,46.2%
0.70,5.2%,1.0%,51.5%,62.0%,51.1%
0.91,5.7%,4.7%,55.7%,71.2%,48.9%
1.07,4.5%,3.4%,51.1%,62.2%,44.2%
0.86,2.2%,4.4%,54.4%,57.1%,46.3%
1.21,3.1%,3.1%,49.2%,59.4%,54.5%
0.55,1.9%,1.9%,54.7%,65.5%,45.8%
1.10,4.0%,2.0%,65.0%,66.2%,57.1%
1.18,10.6%,5.9%,56.5%,70.8%,48.6%
1.04,6.8%,5.1%,54.2%,87.5%,48.1%
1.28,6.1%,1.5%,53.0%,65.7%,64.5%
0.99,1.0%,3.1%,62.5%,68.3%,38.9%
1.51,9.1%,7.3%,60.0%,69.7%,45.5%
0.96,14.6%,3.7%,57.9%,76.8%,44.9%
0.58,5.8%,7.2%,59.4%,65.9%,46.4%
0.53,7.0%,7.0%,59.6%,67.6%,34.8%
1.01,10.6%,3.8%,61.5%,68.8%,57.5%
1.20,6.0%,1.5%,58.2%,84.6%,57.1%
0.76,5.6%,0.0%,68.5%,67.6%,23.5%
1.02,1.2%,1.2%,65.9%,76.8%,58.6%
1.07,3.7%,2.2%,64.9%,66.7%,44.7%
1.23,7.8%,2.2%,62.2%,73.2%,58.8%
1.00,2.3%,8.0%,63.2%,67.3%,46.9%
0.78,2.2%,9.8%,50.0%,56.5%,41.3%
1.79,4.7%,2.3%,62.8%,70.4%,68.8%
1.40,0.0%,1.5%,62.1%,75.6%,52.0%
0.99,1.1%,4.5%,67.0%,62.7%,51.7%
0.85,5.7%,2.3%,52.3%,63.0%,50.0%
1.16,6.1%,3.0%,59.1%,61.5%,63.0%
0.58,5.3%,1.8%,50.9%,62.1%,39.3%
1.08,2.1%,3.1%,63.5%,78.7%,45.7%
1.58,4.1%,10.2%,38.8%,89.5%,50.0%
0.99,9.3%,4.0%,54.7%,61.0%,64.7%
0.70,0.0%,3.6%,57.1%,46.9%,41.7%
0.73,8.5%,6.8%,53.8%,65.1%,38.9%
1.41,8.0%,8.0%,56.0%,78.6%,45.5%
1.41,10.9%,6.3%,51.6%,72.7%,58.1%
1.20,6.3%,5.1%,65.8%,82.7%,59.3%
1.44,1.5%,6.2%,49.2%,71.9%,57.6%
0.59,0.0%,4.5%,49.4%,56.8%,44.4%
1.17,10.8%,4.2%,58.3%,71.4%,46.0%
1.69,2.5%,8.9%,57.0%,82.2%,47.1%
1.10,3.5%,2.8%,50.3%,70.8%,47.9%
0.75,2.9%,1.5%,51.5%,62.9%,51.5%
1.07,7.5%,6.6%,56.6%,70.0%,39.1%
0.32,1.6%,9.4%,57.8%,62.2%,44.4%
0.60,2.0%,2.0%,58.8%,70.0%,28.6%
