DR,A%,DF%,1stIn,1st%,2nd%
0.88,3.5%,0.9%,72.2%,51.8%,46.9%
1.23,3.7%,3.7%,75.6%,69.4%,50.0%
1.71,2.1%,2.1%,78.7%,73.0%,70.0%
1.42,0.0%,5.8%,73.1%,73.7%,35.7%
0.89,1.0%,3.1%,64.6%,59.7%,50.0%
1.33,0.0%,1.7%,67.2%,64.1%,52.6%
1.17,2.3%,2.3%,65.1%,62.5%,53.3%
1.03,0.0%,3.3%,61.1%,50.9%,65.7%
0.91,1.4%,6.8%,60.3%,59.1%,44.8%
1.10,1.9%,7.4%,63.0%,69.1%,50.0%
1.62,0.0%,2.1%,64.6%,67.7%,58.8%
1.83,7.0%,0.0%,62.8%,77.8%,56.3%
1.00,0.9%,8.1%,55.9%,64.5%,46.9%
0.79,3.8%,5.1%,57.7%,62.2%,48.5%
1.17,2.6%,10.3%,53.8%,59.5%,52.8%
1.25,1.4%,7.2%,55.1%,71.1%,45.2%
0.74,5.2%,3.4%,58.6%,58.8%,41.7%
1.34,8.1%,2.7%,55.4%,70.7%,54.5%
1.54,6.0%,6.0%,66.0%,81.8%,52.9%
0.58,1.2%,9.8%,56.1%,60.9%,47.2%
0.94,2.2%,8.6%,55.9%,61.5%,46.3%
1.04,0.0%,7.9%,61.4%,61.3%,46.2%
0.73,1.8%,5.3%,52.6%,56.7%,51.9%
0.91,4.8%,1.2%,63.9%,62.3%,53.3%
1.14,1.1%,5.6%,63.3%,64.9%,45.5%
0.92,0.0%,2.4%,60.5%,65.3%,51.0%
1.04,8.6%,3.8%,64.8%,75.0%,32.4%
1.40,6.1%,3.0%,56.1%,78.4%,62.1%
0.74,3.7%,3.7%,63.0%,61.8%,50.0%
1.12,3.1%,6.3%,60.9%,73.1%,60.0%
1.17,5.4%,8.6%,52.7%,81.6%,47.7%
1.13,6.8%,4.1%,53.4%,66.7%,55.9%
1.08,5.3%,8.5%,52.1%,73.5%,60.0%
1.21,1.6%,3.2%,50.8%,65.6%,51.6%
0.57,6.3%,6.3%,52.1%,52.0%,60.9%
1.14,2.1%,5.2%,55.7%,70.4%,41.9%
0.91,1.6%,4.9%,41.0%,80.0%,55.6%
1.72,2.3%,2.3%,54.5%,79.2%,60.0%
0.94,9.0%,0.0%,76.9%,68.3%,38.9%
1.09,6.3%,1.1%,60.0%,73.7%,60.5%
1.50,1.8%,1.8%,63.6%,68.6%,65.0%
0.64,2.2%,6.7%,60.0%,63.0%,38.9%
1.45,3.6%,8.9%,62.5%,80.0%,52.4%
0.61,0.0%,7.7%,51.9%,29.6%,36.0%
0.54,2.4%,9.8%,56.1%,56.5%,22.2%
1.08,0.0%,5.2%,62.5%,73.3%,47.2%
1.02,1.1%,5.6%,51.1%,65.2%,40.9%
1.18,2.1%,4.3%,59.6%,71.4%,36.8%
0.80,4.3%,7.1%,55.7%,64.1%,32.3%
1.34,3.2%,6.3%,61.9%,69.2%,62.5%
2.50,5.0%,5.0%,47.5%,89.5%,71.4%
1.01,0.0%,4.9%,50.6%,58.5%,50.0%
1.70,4.1%,6.1%,40.8%,80.0%,58.6%
1.60,5.8%,11.5%,53.8%,78.6%,58.3%
0.75,0.0%,2.5%,57.5%,60.9%,23.5%
1.09,2.7%,1.4%,59.5%,61.4%,36.7%
1.57,2.4%,4.8%,59.5%,80.0%,52.9%
1.62,0.0%,0.0%,66.0%,68.6%,83.3%
0.68,0.0%,4.6%,61.5%,50.0%,52.0%
1.16,2.9%,2.9%,62.7%,59.4%,50.0%
0.85,3.2%,2.1%,50.5%,66.7%,42.6%
1.52,8.8%,5.3%,64.9%,59.5%,55.0%
0.73,0.0%,10.6%,66.0%,51.6%,6.3%
1.38,14.3%,8.6%,58.1%,88.5%,45.5%
0.56,2.2%,10.9%,45.7%,66.7%,32.0%
1.19,1.2%,2.4%,54.8%,65.2%,55.3%
1.29,2.1%,6.4%,57.4%,63.0%,52.5%
0.79,2.8%,4.2%,63.9%,56.5%,30.8%
0.97,4.3%,4.3%,69.1%,70.8%,44.8%
2.28,4.5%,0.0%,70.5%,77.4%,76.9%
1.63,0.0%,3.9%,66.7%,82.4%,52.9%
1.03,3.3%,3.3%,52.5%,78.1%,43.1%
1.03,2.2%,3.3%,71.4%,63.1%,42.3%
0.78,1.4%,10.0%,55.7%,59.0%,35.5%
1.10,0.0%,5.5%,63.7%,60.3%,51.5%
0.88,6.7%,0.0%,72.3%,64.0%,51.5%
1.19,6.5%,1.6%,56.5%,74.3%,66.7%
1.17,10.3%,4.1%,66.0%,75.0%,54.5%
1.01,0.0%,5.6%,52.8%,70.2%,33.3%
0.52,0.0%,4.8%,68.7%,54.4%,34.6%
0.93,1.0%,3.0%,66.0%,63.6%,52.9%
1.53,0.0%,9.3%,51.9%,71.4%,53.8%
1.12,3.9%,5.2%,70.1%,59.3%,47.8%
0.86,1.0%,2.0%,67.3%,50.0%,56.3%
2.49,3.2%,0.0%,64.5%,75.0%,81.8%
1.44,1.9%,1.9%,68.5%,64.9%,64.7%
1.17,1.3%,7.6%,60.8%,75.0%,54.8%
0.94,1.9%,11.5%,57.7%,63.3%,50.0%
1.10,0.0%,5.8%,60.5%,63.5%,47.1%
0.44,2.0%,4.1%,67.3%,45.5%,37.5%
1.22,3.0%,3.0%,57.6%,68.4%,50.0%
1.34,0.0%,3.6%,66.1%,67.6%,42.1%
1.05,0.0%,4.2%,58.3%,67.9%,50.0%
1.06,1.9%,6.7%,66.7%,68.6%,54.3%
1.27,1.0%,6.2%,68.0%,66.7%,41.9%
1.19,1.4%,8.5%,47.9%,73.5%,45.9%
0.85,0.0%,13.2%,58.5%,58.1%,50.0%
0.92,1.1%,4.2%,64.2%,49.2%,58.8%
1.22,9.5%,4.8%,66.7%,71.4%,52.4%
1.14,1.6%,3.1%,59.4%,60.5%,34.6%
0.77,5.7%,5.7%,60.0%,66.7%,35.7%
1.42,0.0%,3.4%,69.0%,67.5%,66.7%
1.15,3.2%,5.3%,57.4%,57.4%,55.0%
0.59,2.2%,10.9%,58.7%,70.4%,21.1%
0.37,0.0%,7.7%,46.2%,38.9%,33.3%
0.94,2.3%,3.4%,59.1%,67.3%,33.3%
1.19,0.0%,4.0%,65.7%,66.2%,41.2%
1.51,3.3%,0.0%,61.7%,73.0%,52.2%
1.36,0.0%,8.9%,53.6%,73.3%,42.3%
1.01,0.9%,2.6%,61.5%,65.3%,55.6%
1.27,0.0%,8.0%,65.9%,72.4%,53.3%
1.13,1.2%,7.1%,59.5%,66.0%,35.3%
1.03,2.5%,2.5%,54.5%,63.6%,56.4%
0.34,1.4%,4.2%,54.2%,56.4%,48.5%
1.07,7.2%,3.6%,64.0%,76.1%,55.0%
0.67,2.7%,6.8%,54.1%,72.5%,44.1%
1.44,11.1%,7.4%,66.7%,83.3%,38.9%
1.47,4.8%,6.3%,55.6%,82.9%,60.7%
1.25,9.7%,5.4%,59.1%,80.0%,50.0%
1.31,11.4%,7.1%,62.9%,75.0%,46.2%
0.91,1.2%,7.4%,51.9%,66.7%,48.7%
1.19,2.5%,6.2%,56.8%,63.0%,51.4%
1.15,2.4%,6.0%,66.3%,69.1%,42.9%
0.68,1.5%,4.4%,67.6%,60.9%,40.9%
1.74,0.0%,0.0%,69.4%,56.0%,63.6%
2.10,2.5%,2.5%,47.5%,73.7%,71.4%
0.78,0.0%,3.8%,70.9%,50.0%,47.8%
1.20,0.0%,5.1%,62.2%,59.0%,56.8%
1.26,1.2%,4.8%,57.8%,64.6%,51.4%
1.18,0.0%,0.0%,64.3%,52.8%,55.0%
0.93,1.3%,7.6%,64.6%,60.8%,46.4%
1.37,1.5%,4.5%,59.7%,72.5%,55.6%
1.27,0.0%,2.9%,60.0%,64.3%,50.0%
0.60,0.0%,6.5%,60.9%,46.4%,27.8%
1.25,1.2%,3.5%,60.0%,62.7%,44.1%
0.74,0.0%,5.6%,64.8%,34.3%,42.1%
0.61,0.0%,6.5%,56.5%,48.6%,44.4%
1.33,4.1%,8.1%,50.0%,78.4%,43.2%
1.12,3.4%,5.7%,50.0%,63.6%,43.2%
0.73,0.0%,3.8%,69.2%,66.7%,37.5%
1.16,0.0%,6.1%,63.4%,65.4%,50.0%
1.00,2.9%,3.9%,59.8%,54.1%,48.8%
0.96,0.0%,3.4%,72.9%,60.5%,43.8%
1.02,1.0%,6.0%,58.0%,58.6%,38.1%
0.68,0.0%,8.0%,74.0%,54.1%,7.7%
0.78,0.0%,3.7%,55.6%,60.0%,45.8%
0.89,0.0%,11.2%,57.1%,64.3%,35.7%
0.94,1.0%,11.5%,61.5%,62.7%,35.1%
1.15,1.0%,3.1%,58.3%,71.4%,65.0%
0.68,1.0%,6.0%,61.0%,57.4%,48.7%
1.11,0.0%,3.9%,57.1%,63.6%,51.5%
1.01,0.9%,3.4%,67.5%,58.2%,52.6%
1.27,2.4%,2.4%,67.9%,68.4%,40.7%
1.14,2.7%,8.2%,57.5%,69.0%,38.7%
1.14,5.6%,7.9%,64.0%,71.9%,46.9%
0.71,1.6%,8.1%,61.3%,52.6%,50.0%
0.80,1.2%,0.0%,60.5%,61.2%,37.5%
0.72,0.0%,8.9%,60.8%,54.2%,45.2%
1.22,2.8%,4.2%,68.1%,61.2%,52.2%
1.01,0.9%,3.5%,63.7%,65.3%,41.5%
1.15,0.0%,3.8%,66.3%,71.7%,48.1%
1.18,0.0%,6.8%,63.5%,63.8%,55.6%
0.72,0.0%,4.8%,69.8%,47.7%,31.6%
1.28,0.0%,1.8%,69.1%,73.7%,35.3%
1.02,0.0%,2.9%,73.3%,55.8%,39.3%
1.26,0.0%,0.0%,59.2%,57.1%,62.1%
1.06,3.4%,1.1%,64.4%,62.5%,32.3%
1.24,1.5%,2.9%,72.1%,69.4%,52.6%
0.48,0.0%,12.5%,62.5%,45.7%,42.9%
1.39,1.5%,13.8%,53.8%,68.6%,50.0%
0.77,0.0%,7.3%,58.2%,50.0%,43.5%
1.52,0.0%,6.8%,69.5%,82.9%,27.8%
1.62,1.8%,5.5%,54.5%,76.7%,60.0%
1.46,11.1%,9.3%,53.7%,75.9%,52.0%
0.75,0.0%,2.9%,58.0%,65.0%,41.4%
1.88,8.5%,2.1%,76.6%,80.6%,45.5%
1.71,0.0%,1.9%,64.8%,74.3%,52.6%
0.55,1.9%,14.8%,51.9%,46.4%,30.8%
0.87,0.0%,6.0%,64.0%,65.6%,50.0%
0.67,0.0%,9.8%,53.7%,45.5%,47.4%
0.68,0.0%,9.2%,58.5%,60.5%,37.0%
0.96,0.0%,1.4%,68.6%,50.0%,63.6%
1.39,0.0%,1.8%,61.8%,61.8%,52.4%
0.60,2.0%,12.0%,58.0%,51.7%,38.1%
0.86,5.1%,5.1%,67.1%,67.9%,50.0%
1.09,2.2%,5.5%,65.9%,65.0%,29.0%
1.92,0.0%,2.3%,59.1%,69.2%,83.3%
0.51,0.0%,12.5%,54.2%,38.5%,18.2%
1.04,2.7%,3.5%,74.3%,75.0%,48.3%
0.91,2.3%,10.2%,59.1%,69.2%,38.9%
1.28,3.8%,9.6%,73.1%,63.2%,42.9%
0.75,1.0%,0.0%,70.8%,58.8%,57.1%
0.95,1.0%,5.0%,71.3%,54.2%,31.0%
1.19,1.4%,2.8%,70.8%,70.6%,57.1%
1.19,2.7%,1.8%,72.6%,73.2%,54.8%
0.47,2.1%,4.3%,74.5%,54.3%,50.0%
0.98,0.8%,0.8%,72.1%,52.3%,50.0%
0.81,1.4%,5.6%,62.0%,52.3%,40.7%
1.04,3.3%,8.7%,59.8%,60.0%,43.2%
1.22,3.8%,2.5%,67.5%,66.7%,57.7%
1.34,2.0%,5.9%,49.0%,60.0%,65.4%
0.65,0.0%,6.6%,72.1%,34.1%,35.3%
0.90,3.6%,1.8%,69.6%,56.4%,70.6%
0.85,1.6%,3.3%,59.3%,56.2%,48.0%
0.78,0.0%,6.0%,66.7%,64.3%,53.6%
1.23,3.8%,9.6%,60.6%,74.6%,48.8%
1.01,1.0%,12.2%,64.3%,55.6%,31.4%
0.75,1.7%,10.3%,56.9%,63.6%,40.0%
1.00,1.1%,4.4%,65.6%,66.1%,45.2%
1.58,2.0%,12.2%,57.1%,85.7%,57.1%
2.36,11.5%,11.5%,69.2%,83.3%,37.5%
0.94,0.0%,6.6%,67.2%,65.9%,30.0%
1.37,1.8%,5.5%,52.7%,69.0%,53.8%
0.99,10.0%,7.8%,54.4%,75.5%,43.9%
0.78,3.9%,9.8%,58.8%,63.3%,23.8%
1.19,1.1%,5.6%,57.3%,60.8%,55.3%
1.85,0.0%,0.0%,59.6%,75.0%,63.2%
1.10,2.7%,4.1%,72.6%,54.7%,50.0%
1.09,1.2%,0.0%,76.7%,60.6%,60.0%
0.83,0.0%,2.2%,76.4%,69.1%,28.6%
1.18,1.7%,5.0%,61.7%,59.5%,56.5%
1.37,0.0%,9.1%,68.2%,66.7%,71.4%
2.01,0.0%,2.6%,66.7%,69.2%,69.2%
0.84,2.8%,7.0%,66.2%,55.3%,37.5%
1.23,2.2%,6.7%,67.4%,65.0%,27.6%
0.59,0.0%,1.9%,62.3%,63.6%,40.0%
1.10,4.1%,2.0%,67.3%,68.2%,53.1%
1.31,2.2%,10.9%,59.8%,67.3%,56.8%
1.19,1.3%,2.6%,64.9%,68.0%,48.1%
1.37,4.6%,4.6%,46.2%,66.7%,57.1%
0.99,1.9%,5.7%,60.4%,62.5%,45.2%
0.98,2.0%,9.1%,61.6%,60.7%,39.5%
1.35,1.5%,3.1%,61.5%,67.5%,56.0%
0.75,0.0%,5.6%,55.6%,50.0%,46.9%
1.61,2.0%,6.1%,44.9%,77.3%,55.6%
0.92,1.3%,5.1%,59.0%,65.2%,46.9%
1.48,1.7%,8.5%,59.3%,82.9%,50.0%
0.53,0.0%,5.8%,71.2%,56.8%,40.0%
1.21,1.0%,7.2%,60.8%,62.7%,39.5%
1.28,3.0%,10.6%,65.2%,62.8%,39.1%
0.78,0.0%,3.8%,61.5%,71.9%,50.0%
0.60,1.7%,3.4%,67.8%,62.5%,47.4%
