DR,A%,DF%,1stIn,1st%,2nd%
0.38,1.7%,5.1%,64.4%,63.2%,57.1%
1.08,11.9%,1.2%,51.2%,76.7%,61.0%
1.15,6.8%,3.4%,55.7%,75.5%,56.4%
2.21,15.4%,0.0%,43.6%,88.2%,68.2%
1.37,6.8%,5.5%,52.1%,86.8%,54.3%
1.50,18.0%,1.6%,70.5%,76.7%,61.1%
0.64,7.8%,0.0%,52.9%,70.4%,45.8%
1.06,6.8%,1.1%,47.7%,83.3%,58.7%
2.32,12.0%,8.0%,48.0%,91.7%,69.2%
1.41,20.9%,0.0%,64.2%,76.7%,66.7%
1.03,14.9%,0.0%,52.2%,82.9%,50.0%
0.89,8.1%,3.2%,61.3%,81.6%,41.7%
1.23,8.6%,1.4%,50.0%,80.0%,57.1%
0.72,5.7%,2.3%,59.1%,67.3%,47.2%
1.12,5.2%,4.2%,56.3%,74.1%,61.9%
0.86,1.5%,7.6%,51.5%,61.8%,46.9%
1.39,5.1%,3.8%,50.6%,80.0%,41.0%
1.71,9.1%,6.1%,54.5%,77.8%,53.3%
0.79,3.3%,5.6%,54.4%,59.2%,51.2%
1.25,16.5%,3.8%,57.0%,77.8%,35.3%
0.98,3.1%,2.0%,50.0%,67.3%,46.9%
0.74,4.9%,4.9%,51.6%,71.4%,27.1%
0.83,9.8%,7.3%,54.5%,70.1%,44.6%
0.52,0.0%,0.0%,98.3%,49.1%,100.0%
1.35,9.7%,1.6%,43.5%,81.5%,54.3%
0.98,10.9%,2.2%,51.1%,72.3%,48.9%
0.80,6.3%,2.1%,56.3%,59.3%,52.4%
1.02,13.3%,5.0%,55.6%,76.0%,47.5%
0.83,3.8%,3.8%,53.8%,78.6%,45.8%
1.35,23.1%,1.5%,60.0%,89.7%,53.8%
0.82,11.7%,9.7%,50.5%,78.8%,49.0%
1.30,20.9%,1.5%,49.3%,84.8%,58.8%
1.02,16.7%,5.6%,55.6%,80.0%,47.5%
1.00,17.4%,2.5%,59.5%,76.4%,63.3%
0.82,14.1%,5.9%,56.5%,75.0%,59.5%
0.73,0.9%,0.9%,76.4%,56.8%,52.0%
0.96,3.2%,1.1%,60.5%,61.7%,57.3%
1.10,7.1%,3.8%,55.8%,72.4%,50.7%
0.75,1.2%,0.0%,48.1%,71.8%,45.2%
1.26,7.6%,2.5%,50.6%,82.5%,46.2%
1.60,9.2%,1.5%,47.7%,80.6%,58.8%
1.43,7.3%,1.8%,50.9%,75.0%,59.3%
1.17,10.7%,2.4%,57.1%,77.1%,61.1%
0.76,6.6%,0.0%,60.7%,64.9%,45.8%
0.94,7.7%,3.1%,53.8%,60.0%,53.3%
1.43,3.6%,2.4%,54.8%,82.6%,52.6%
0.51,8.5%,0.0%,50.8%,66.7%,44.8%
1.43,12.1%,3.4%,60.3%,77.1%,65.2%
1.01,9.4%,2.3%,55.5%,78.9%,52.6%
0.96,12.5%,3.8%,68.3%,74.6%,51.5%
1.37,14.3%,0.0%,58.7%,81.1%,61.5%
1.13,4.5%,5.7%,61.4%,77.8%,52.9%
0.74,4.5%,7.5%,44.8%,63.3%,43.2%
0.52,1.4%,2.7%,47.3%,68.6%,28.2%
1.09,11.8%,5.0%,52.9%,87.3%,53.6%
0.54,4.1%,4.1%,53.1%,50.0%,30.4%
0.91,4.1%,3.3%,55.4%,65.7%,40.7%
0.47,9.1%,6.8%,50.0%,63.6%,27.3%
2.04,16.3%,2.0%,67.3%,97.0%,56.3%
0.93,9.4%,1.9%,60.6%,80.4%,52.4%
0.78,14.1%,1.6%,50.0%,84.4%,46.9%
1.78,10.2%,2.0%,65.3%,84.4%,58.8%
0.72,11.0%,1.0%,56.0%,71.4%,50.0%
1.40,36.8%,0.0%,75.4%,81.4%,50.0%
1.11,13.0%,0.8%,56.9%,78.6%,54.7%
1.49,13.6%,4.5%,61.4%,74.1%,47.1%
0.85,6.5%,3.7%,62.0%,70.1%,34.1%
1.32,10.5%,1.1%,61.1%,77.6%,64.9%
1.11,12.2%,4.9%,58.5%,75.0%,58.8%
0.71,4.3%,2.9%,52.9%,59.5%,45.5%
