DR,A%,DF%,1stIn,1st%,2nd%
0.66,0.0%,0.0%,74.2%,47.8%,68.8%
1.20,3.1%,1.6%,65.6%,64.3%,77.3%
0.64,4.1%,6.1%,49.0%,75.0%,32.0%
0.89,4.5%,1.5%,54.5%,55.6%,40.0%
1.01,9.8%,0.9%,71.4%,63.7%,50.0%
0.65,9.5%,4.8%,58.3%,69.4%,42.9%
1.23,9.9%,5.0%,51.5%,65.4%,63.3%
2.32,4.7%,7.0%,48.8%,81.0%,72.7%
1.10,5.4%,6.3%,55.9%,66.1%,57.1%
0.94,4.2%,3.1%,62.5%,68.3%,44.4%
1.06,5.5%,4.5%,60.9%,62.7%,55.8%
0.61,0.0%,6.3%,54.0%,70.6%,34.5%
1.49,9.9%,2.8%,63.4%,77.8%,61.5%
4.59,15.6%,0.0%,56.3%,88.9%,85.7%
0.70,3.5%,8.8%,50.9%,65.5%,50.0%
1.83,12.2%,2.0%,65.3%,78.1%,76.5%
0.89,6.7%,1.1%,61.8%,72.7%,64.7%
1.17,9.2%,1.5%,64.6%,71.4%,56.5%
1.24,7.8%,3.1%,59.4%,68.4%,65.4%
0.57,0.0%,5.3%,61.4%,62.9%,22.7%
1.08,1.1%,6.7%,61.1%,58.2%,37.1%
1.55,15.4%,1.9%,53.8%,92.9%,50.0%
0.67,10.4%,2.1%,66.7%,75.0%,43.8%
0.60,1.3%,2.7%,57.3%,53.5%,43.8%
0.41,5.4%,0.0%,55.4%,67.7%,40.0%
0.68,8.2%,0.0%,69.4%,55.9%,40.0%
1.16,15.9%,3.7%,59.8%,77.6%,48.5%
1.17,1.1%,5.4%,53.3%,79.6%,41.9%
0.65,0.0%,6.0%,66.0%,39.4%,41.2%
1.03,7.0%,10.5%,45.3%,74.4%,36.2%
0.60,4.5%,0.0%,75.9%,58.8%,40.7%
0.85,1.5%,4.5%,60.6%,57.5%,53.8%
1.56,0.0%,3.6%,63.6%,68.6%,65.0%
1.21,5.4%,0.0%,62.2%,67.4%,57.1%
0.98,6.8%,3.4%,65.9%,63.8%,50.0%
1.26,1.6%,0.0%,69.4%,74.4%,52.6%
0.76,7.3%,0.0%,67.3%,59.5%,50.0%
1.37,4.4%,2.9%,55.9%,60.5%,63.3%
0.87,2.6%,5.1%,57.7%,60.0%,57.6%
1.13,6.1%,2.4%,52.4%,67.4%,56.4%
