DR,A%,DF%,1stIn,1st%,2nd%
1.02,2.4%,3.6%,67.9%,63.2%,48.1%
0.90,1.1%,8.9%,58.9%,58.5%,43.2%
0.62,0.0%,9.3%,50.0%,44.4%,40.7%
1.31,5.6%,7.0%,56.3%,70.0%,48.4%
0.78,1.4%,6.8%,50.0%,67.6%,27.0%
1.05,0.0%,8.7%,55.4%,56.9%,48.8%
0.83,1.9%,8.3%,51.9%,69.6%,42.3%
0.95,1.2%,3.5%,60.0%,64.7%,44.1%
1.28,5.5%,2.7%,64.4%,72.3%,61.5%
0.79,1.7%,6.8%,52.5%,67.7%,28.6%
1.05,1.0%,5.7%,52.4%,78.2%,36.0%
1.29,7.4%,0.0%,63.2%,79.1%,60.0%
1.34,3.8%,2.5%,53.8%,67.4%,54.1%
1.17,9.1%,5.2%,63.6%,73.5%,50.0%
0.96,5.6%,1.4%,66.2%,70.2%,54.2%
0.83,1.6%,6.3%,65.1%,61.0%,22.7%
1.26,2.9%,1.4%,66.7%,71.7%,52.2%
1.48,3.3%,3.3%,58.3%,74.3%,64.0%
0.90,0.0%,1.0%,56.9%,55.2%,47.7%
1.22,1.7%,6.8%,59.3%,77.1%,41.7%
1.57,4.6%,4.6%,56.9%,67.6%,57.1%
0.68,4.3%,1.4%,54.3%,65.8%,37.5%
1.52,1.5%,3.0%,45.5%,73.3%,69.4%
0.75,0.0%,3.3%,59.0%,66.7%,40.0%
1.52,11.9%,5.1%,55.9%,75.8%,38.5%
1.48,5.6%,1.9%,70.4%,76.3%,43.8%
1.21,7.5%,5.0%,53.8%,69.8%,48.6%
1.23,12.8%,7.4%,51.1%,64.6%,54.3%
1.85,8.0%,6.0%,66.0%,81.8%,64.7%
0.96,2.7%,2.7%,56.2%,70.7%,56.3%
1.08,2.9%,7.4%,51.5%,71.4%,54.5%
1.33,1.4%,4.3%,60.0%,69.0%,50.0%
0.88,0.0%,6.3%,45.3%,79.3%,28.6%
1.84,4.5%,0.0%,68.2%,63.3%,71.4%
0.63,1.2%,2.4%,55.3%,63.8%,55.3%
0.91,4.0%,4.0%,69.3%,55.8%,47.8%
1.14,2.9%,8.6%,41.4%,79.3%,51.2%
1.28,1.4%,5.8%,60.9%,81.0%,33.3%
0.39,0.0%,0.0%,77.1%,51.4%,18.2%
1.00,2.4%,7.3%,68.3%,64.3%,42.3%
1.53,3.8%,0.0%,65.4%,73.5%,72.2%
1.51,8.9%,1.8%,66.1%,78.4%,47.4%
0.72,0.0%,10.2%,51.0%,52.0%,45.8%
