DR,A%,DF%,1stIn,1st%,2nd%
0.52,7.1%,10.7%,50.0%,75.0%,50.0%
0.92,9.3%,2.3%,41.9%,66.7%,46.0%
1.20,6.6%,2.2%,58.2%,73.6%,55.3%
0.51,6.3%,13.7%,54.7%,67.3%,34.9%
0.82,6.7%,0.8%,58.0%,69.6%,56.0%
0.41,2.3%,3.5%,61.6%,66.0%,42.4%
0.94,3.3%,3.3%,65.3%,57.0%,57.1%
1.32,2.2%,3.4%,58.4%,69.2%,56.8%
0.62,0.0%,7.4%,54.3%,61.4%,43.2%
1.02,1.1%,4.3%,48.4%,60.0%,58.3%
1.49,4.0%,0.0%,52.0%,84.6%,66.7%
1.32,1.9%,1.9%,57.7%,66.7%,54.5%
0.58,1.6%,3.2%,64.5%,52.5%,40.9%
1.48,7.7%,0.0%,67.7%,77.3%,71.4%
0.84,0.0%,11.0%,42.5%,54.8%,45.2%
0.78,2.6%,5.3%,61.8%,55.3%,48.3%
0.89,4.0%,6.7%,53.7%,71.3%,52.2%
0.60,8.2%,4.9%,52.5%,68.8%,55.2%
0.47,9.8%,3.9%,52.9%,63.0%,41.7%
0.74,3.8%,2.6%,55.1%,60.5%,54.3%
0.46,0.0%,23.7%,31.6%,58.3%,26.9%
0.95,11.9%,4.6%,64.2%,70.0%,46.2%
0.83,2.3%,0.0%,52.3%,60.9%,52.4%
1.07,12.6%,3.4%,60.9%,75.5%,50.0%
1.12,6.3%,1.6%,62.5%,82.5%,58.3%
1.02,7.2%,4.3%,60.9%,78.6%,57.4%
1.12,11.2%,2.0%,54.1%,79.2%,51.1%
1.12,11.9%,4.6%,56.9%,80.6%,55.3%
2.15,10.9%,4.3%,58.7%,74.1%,57.9%
1.20,12.5%,3.4%,64.8%,77.2%,51.6%
1.13,7.3%,3.7%,53.7%,79.5%,36.8%
0.95,3.7%,6.1%,63.4%,65.4%,56.7%
1.50,8.0%,3.4%,59.8%,82.7%,65.7%
0.30,3.8%,5.8%,46.2%,50.0%,35.7%
1.07,6.3%,5.6%,55.6%,82.9%,53.6%
1.57,15.7%,7.8%,60.8%,67.7%,60.0%
0.91,5.6%,7.5%,55.1%,71.2%,43.8%
1.42,3.8%,5.7%,50.9%,81.5%,46.2%
1.53,13.0%,7.4%,55.6%,93.3%,45.8%
1.02,13.7%,1.4%,61.6%,66.7%,46.4%
1.95,7.3%,0.0%,58.5%,79.2%,64.7%
1.36,7.0%,7.0%,58.1%,86.0%,50.0%
1.96,7.1%,2.4%,59.5%,76.0%,76.5%
0.71,1.8%,1.8%,76.4%,54.8%,61.5%
1.41,6.3%,1.0%,65.6%,81.0%,57.6%
0.72,4.1%,2.7%,53.4%,69.2%,32.4%
1.23,7.2%,5.6%,59.2%,74.3%,58.8%
0.75,8.8%,4.4%,57.4%,71.8%,44.8%
1.20,7.1%,0.0%,52.9%,75.7%,57.6%
0.92,8.9%,5.4%,58.0%,69.2%,53.2%
1.06,4.1%,4.1%,50.0%,59.5%,54.1%
1.61,6.3%,1.6%,55.6%,71.4%,71.4%
0.85,1.1%,5.3%,61.7%,58.6%,55.6%
0.57,3.1%,1.6%,68.8%,63.6%,30.0%
1.04,5.8%,2.9%,62.5%,75.4%,51.3%
0.77,6.9%,4.9%,58.8%,75.0%,45.2%
0.50,5.8%,1.9%,73.1%,52.6%,35.7%
0.79,3.6%,3.6%,61.9%,61.5%,62.5%
0.71,1.9%,2.6%,64.5%,63.0%,50.9%
0.84,3.4%,1.7%,66.1%,56.4%,55.0%
1.29,3.8%,8.8%,60.0%,66.7%,59.4%
0.89,1.7%,12.1%,58.6%,73.5%,50.0%
0.80,14.1%,1.3%,64.1%,64.0%,39.3%
0.88,5.6%,5.6%,66.7%,76.7%,60.0%
1.29,12.8%,1.2%,59.3%,78.4%,57.1%
0.71,5.5%,5.5%,48.4%,63.6%,46.8%
1.16,6.1%,1.2%,59.8%,73.5%,48.5%
0.71,0.0%,8.6%,48.3%,67.9%,36.7%
1.39,3.3%,4.9%,65.6%,75.0%,57.1%
0.87,1.8%,1.8%,55.8%,60.3%,50.0%
0.32,3.4%,5.2%,50.0%,58.6%,58.6%
0.90,2.2%,3.3%,58.7%,66.7%,42.1%
0.64,8.3%,4.8%,61.9%,61.5%,56.3%
2.29,14.6%,2.1%,62.5%,80.0%,77.8%
0.84,1.1%,4.3%,64.1%,55.9%,45.5%
1.01,5.7%,6.9%,56.3%,85.7%,44.7%
0.65,6.3%,4.7%,40.6%,76.9%,47.4%
1.46,3.5%,1.8%,61.4%,65.7%,54.5%
0.49,12.9%,4.3%,59.1%,70.9%,44.7%
1.67,11.4%,4.5%,61.4%,92.6%,29.4%
0.82,1.5%,3.0%,61.6%,67.2%,51.3%
1.07,10.3%,6.8%,61.0%,73.0%,42.1%
0.52,4.0%,0.0%,62.4%,71.4%,47.4%
0.94,5.6%,5.6%,52.8%,75.4%,52.9%
0.73,1.8%,5.5%,47.3%,61.5%,51.7%
1.67,20.4%,2.0%,61.2%,76.7%,47.4%
1.15,8.0%,5.3%,53.3%,65.0%,51.4%
1.15,6.1%,3.0%,54.5%,86.1%,50.0%
1.03,6.7%,0.0%,71.4%,65.3%,66.7%
1.00,0.0%,1.4%,54.1%,55.0%,52.9%
1.25,2.9%,5.9%,64.7%,75.0%,50.0%
1.71,11.5%,0.0%,59.6%,77.4%,71.4%
1.42,7.5%,3.0%,56.7%,73.7%,62.1%
1.36,7.3%,3.6%,54.5%,80.0%,52.0%
0.74,12.6%,8.7%,60.2%,79.0%,41.5%
0.87,7.2%,3.6%,56.6%,74.5%,38.9%
1.47,12.3%,3.5%,66.7%,73.7%,52.6%
0.81,2.3%,4.7%,55.8%,66.7%,36.8%
0.95,5.0%,1.7%,62.6%,64.3%,52.2%
1.19,10.7%,4.6%,64.1%,81.0%,48.9%
0.67,3.1%,3.1%,68.8%,63.6%,45.0%
1.10,1.3%,2.7%,65.3%,77.6%,42.3%
1.05,5.6%,7.4%,63.0%,73.5%,55.0%
0.92,0.0%,6.3%,68.8%,61.8%,56.0%
0.81,6.3%,7.3%,59.4%,73.7%,38.5%
1.30,8.0%,2.7%,73.3%,76.4%,60.0%
0.62,1.0%,2.9%,58.1%,72.1%,47.7%
1.48,6.3%,2.1%,63.2%,75.0%,68.6%
0.90,5.6%,6.3%,53.1%,75.0%,55.2%
0.65,6.6%,3.3%,70.5%,58.1%,33.3%
0.46,5.4%,5.4%,50.0%,53.6%,35.7%
1.51,7.8%,1.6%,56.3%,72.2%,64.3%
0.54,8.5%,8.5%,61.7%,58.6%,38.9%
1.66,4.3%,4.3%,52.2%,70.8%,59.1%
1.09,4.3%,4.3%,62.0%,63.2%,68.6%
0.91,2.2%,6.7%,55.2%,74.3%,50.0%
0.38,7.8%,11.8%,56.9%,58.6%,22.7%
1.24,10.5%,3.9%,63.2%,75.0%,50.0%
1.23,2.9%,8.7%,49.3%,67.6%,51.4%
0.86,10.2%,5.7%,63.6%,69.6%,46.9%
1.42,5.1%,3.4%,64.4%,81.6%,57.1%
1.14,7.4%,7.4%,64.9%,68.9%,51.5%
1.69,5.9%,2.0%,51.0%,80.8%,52.0%
1.65,14.5%,2.4%,45.8%,86.8%,66.7%
2.34,6.8%,4.5%,43.2%,73.7%,76.0%
1.48,10.9%,7.3%,60.0%,78.8%,54.5%
1.43,10.0%,6.7%,56.7%,85.3%,57.7%
0.46,3.2%,4.8%,55.6%,60.0%,46.4%
0.77,6.3%,5.1%,54.4%,55.8%,38.9%
1.07,6.2%,4.4%,61.9%,67.1%,55.8%
1.14,8.0%,8.0%,58.0%,75.9%,52.4%
0.87,4.6%,3.7%,56.0%,62.3%,43.8%
1.08,6.2%,3.9%,54.3%,68.6%,52.5%
0.78,1.5%,3.0%,61.9%,67.5%,49.0%
1.44,2.8%,0.9%,65.1%,78.3%,56.8%
0.98,7.8%,2.9%,65.0%,64.2%,47.2%
1.08,5.3%,4.2%,56.8%,66.7%,56.1%
0.58,0.0%,6.4%,53.2%,60.0%,36.4%
1.47,1.5%,10.6%,57.6%,78.9%,42.9%
1.13,7.6%,3.8%,57.0%,71.1%,50.0%
0.71,8.7%,4.3%,67.4%,67.7%,60.0%
1.25,1.1%,1.1%,59.8%,75.0%,57.1%
0.98,8.5%,3.7%,61.0%,62.0%,62.5%
1.02,7.5%,2.5%,63.7%,72.5%,55.2%
0.93,4.8%,1.0%,71.4%,78.7%,66.7%
1.37,11.1%,4.4%,56.7%,74.5%,64.1%
0.82,5.6%,0.9%,67.6%,67.1%,60.0%
1.39,8.6%,1.4%,57.1%,82.5%,56.7%
0.97,8.1%,2.3%,67.1%,64.7%,49.1%
1.06,7.9%,0.0%,69.7%,75.8%,59.3%
1.59,7.1%,7.1%,62.5%,80.0%,57.1%
3.50,10.3%,0.0%,69.2%,92.6%,66.7%
0.96,4.5%,1.5%,64.2%,60.5%,62.5%
2.21,9.8%,0.0%,58.5%,87.5%,58.8%
0.81,5.1%,1.3%,57.7%,75.6%,60.6%
1.25,9.7%,6.5%,66.7%,75.8%,41.9%
0.71,0.0%,3.9%,68.4%,67.3%,58.3%
0.90,3.8%,3.8%,62.0%,71.4%,40.0%
0.84,3.9%,1.3%,67.1%,54.9%,48.0%
1.63,10.5%,1.8%,68.4%,71.8%,72.2%
0.72,3.2%,3.2%,64.5%,70.0%,45.5%
1.99,10.0%,1.7%,68.3%,85.4%,68.4%
1.17,5.2%,1.0%,68.0%,56.1%,61.3%
1.69,3.7%,1.9%,70.4%,76.3%,56.3%
0.79,3.1%,3.1%,60.0%,59.0%,50.0%
1.17,8.0%,2.3%,61.4%,68.5%,50.0%
1.12,2.7%,6.8%,64.9%,66.7%,53.8%
1.40,3.7%,5.6%,63.0%,67.6%,65.0%
0.98,2.8%,5.6%,60.2%,53.8%,51.2%
1.34,9.5%,8.1%,59.5%,70.5%,50.0%
1.72,6.1%,2.0%,59.2%,79.3%,65.0%
1.10,2.8%,4.2%,59.2%,69.0%,48.3%
0.75,0.0%,5.2%,55.2%,54.7%,44.2%
1.38,2.9%,1.0%,65.4%,76.5%,63.9%
1.08,5.6%,5.6%,62.2%,80.4%,50.0%
0.78,1.3%,5.1%,62.0%,65.3%,26.7%
0.99,2.0%,4.0%,55.0%,76.4%,44.4%
1.61,5.5%,1.8%,67.3%,70.3%,61.1%
1.19,3.1%,5.2%,68.8%,74.2%,63.3%
1.87,6.8%,2.3%,61.4%,74.1%,64.7%
0.74,8.3%,4.2%,66.7%,62.5%,75.0%
1.39,8.0%,4.0%,70.0%,74.3%,63.3%
2.23,10.5%,7.9%,52.6%,85.0%,66.7%
1.29,0.0%,3.1%,49.2%,59.4%,57.6%
0.71,1.3%,4.0%,58.7%,61.4%,54.8%
1.82,2.1%,6.3%,62.5%,80.0%,61.1%
0.93,4.2%,3.5%,63.9%,71.7%,46.2%
1.53,16.1%,5.4%,64.3%,80.6%,45.0%
1.81,13.3%,0.0%,48.9%,90.9%,47.8%
1.95,11.9%,4.8%,71.4%,76.7%,58.3%
0.67,3.8%,1.9%,66.0%,74.3%,44.4%
1.64,11.3%,1.4%,56.3%,77.5%,58.1%
1.73,6.3%,6.3%,54.2%,76.9%,59.1%
0.87,5.3%,5.3%,65.3%,69.4%,34.6%
1.24,14.5%,3.9%,56.6%,72.1%,60.6%
0.95,3.6%,8.2%,59.1%,69.2%,57.8%
1.96,7.8%,0.0%,58.8%,80.0%,71.4%
1.34,0.0%,8.6%,60.0%,69.0%,50.0%
0.64,3.4%,1.7%,42.4%,76.0%,44.1%
0.80,0.0%,8.0%,52.0%,61.5%,33.3%
2.01,11.5%,3.8%,51.9%,77.8%,56.0%
1.15,8.1%,4.0%,60.6%,65.0%,61.5%
1.30,1.6%,6.5%,59.7%,73.0%,48.0%
0.93,3.8%,3.8%,64.6%,58.8%,60.7%
1.17,2.8%,8.3%,56.9%,65.9%,54.8%
1.12,6.6%,5.3%,56.6%,67.4%,42.4%
1.18,5.6%,3.7%,51.9%,75.0%,59.6%
2.25,3.6%,7.3%,47.3%,92.3%,72.4%
1.53,6.9%,3.4%,55.2%,75.0%,57.7%
0.77,7.5%,3.8%,54.7%,72.4%,58.3%
1.40,7.5%,6.0%,50.7%,82.4%,66.7%
1.08,1.8%,7.2%,49.5%,67.3%,53.6%
1.35,10.3%,6.9%,53.4%,80.6%,63.0%
0.78,4.8%,9.5%,52.4%,50.0%,60.0%
1.27,5.9%,4.4%,60.3%,75.6%,48.1%
1.44,11.5%,4.9%,55.7%,82.4%,59.3%
0.97,6.0%,3.6%,54.8%,71.7%,57.9%
1.50,18.5%,7.4%,55.6%,73.3%,62.5%
1.35,6.9%,6.9%,48.6%,80.0%,56.8%
1.69,16.4%,0.0%,60.7%,86.5%,66.7%
1.50,11.8%,2.0%,62.7%,71.9%,52.6%
