DR,A%,DF%,1stIn,1st%,2nd%
0.76,1.4%,4.1%,61.6%,53.3%,53.6%
0.66,2.5%,3.3%,64.2%,58.4%,48.8%
0.44,0.0%,2.3%,46.5%,50.0%,21.7%
0.61,6.8%,6.8%,54.2%,65.6%,44.4%
0.57,1.5%,1.5%,54.5%,66.7%,53.3%
0.62,3.6%,1.2%,66.3%,61.8%,42.9%
0.57,7.3%,7.3%,56.1%,69.6%,44.4%
2.16,8.5%,2.1%,53.2%,76.0%,72.7%
0.72,2.9%,3.8%,53.8%,67.9%,39.6%
0.71,2.9%,4.8%,54.8%,56.1%,55.3%
1.07,1.9%,2.9%,56.3%,77.6%,57.8%
1.68,9.4%,5.7%,62.3%,84.8%,65.0%
0.74,3.4%,5.2%,70.7%,68.3%,23.5%
0.65,1.6%,0.0%,69.5%,60.7%,56.4%
1.42,7.5%,7.5%,60.4%,71.9%,57.1%
0.84,5.3%,4.0%,62.7%,76.6%,32.1%
0.79,6.3%,0.8%,67.2%,73.3%,47.6%
0.69,6.9%,4.2%,62.5%,80.0%,37.0%
0.71,4.6%,6.2%,50.8%,75.8%,43.8%
0.49,3.4%,0.0%,67.2%,64.1%,52.6%
1.23,4.8%,3.2%,53.2%,81.8%,44.8%
2.27,7.0%,2.3%,62.8%,81.5%,75.0%
1.22,11.4%,2.5%,60.8%,77.1%,54.8%
0.61,1.4%,4.3%,49.3%,76.5%,42.9%
0.61,1.4%,4.3%,49.3%,76.5%,42.9%
1.22,8.6%,2.9%,52.9%,73.0%,39.4%
1.39,5.9%,4.4%,54.4%,81.1%,58.1%
1.96,6.4%,2.1%,57.4%,77.8%,70.0%
1.04,0.9%,1.9%,57.0%,67.2%,50.0%
1.19,13.1%,6.0%,48.8%,80.5%,51.2%
1.32,5.0%,1.7%,51.7%,80.6%,55.2%
2.01,7.8%,2.0%,54.9%,89.3%,69.6%
1.42,9.6%,3.8%,61.5%,78.1%,70.0%
1.25,2.7%,4.0%,56.0%,71.4%,60.6%
0.75,2.7%,2.7%,68.5%,54.0%,52.2%
0.52,7.8%,0.0%,68.8%,63.6%,30.0%
1.59,7.1%,0.0%,71.8%,77.0%,83.3%
0.71,2.9%,4.3%,66.7%,60.9%,56.5%
1.26,8.2%,3.1%,63.3%,72.6%,72.2%
0.58,3.3%,1.6%,63.9%,51.3%,54.5%
1.45,1.8%,0.0%,80.4%,80.0%,81.8%
0.95,5.0%,3.7%,55.9%,75.6%,52.1%
0.64,0.0%,3.8%,50.6%,65.0%,48.7%
0.49,1.7%,3.3%,50.0%,56.7%,40.0%
0.56,5.2%,6.9%,60.3%,54.3%,26.1%
1.31,1.7%,1.7%,47.5%,78.6%,67.7%
1.55,13.1%,1.6%,68.9%,76.2%,68.4%
0.64,0.0%,1.5%,61.5%,50.0%,56.0%
0.93,6.8%,0.8%,56.8%,69.3%,43.9%
0.70,1.8%,3.5%,56.1%,53.1%,44.0%
0.79,8.3%,1.7%,51.2%,67.7%,59.3%
0.36,2.9%,5.7%,48.6%,47.1%,33.3%
0.54,8.8%,5.3%,50.9%,72.4%,42.9%
1.24,7.7%,0.0%,57.1%,82.7%,61.5%
0.72,5.8%,3.5%,50.6%,63.2%,44.7%
0.89,12.0%,4.0%,54.7%,70.7%,44.1%
1.35,10.4%,6.0%,55.2%,73.0%,53.3%
1.70,6.5%,2.2%,60.9%,75.0%,61.1%
1.11,11.9%,5.1%,49.2%,75.9%,53.3%
1.40,9.2%,0.0%,61.5%,85.0%,68.0%
0.91,5.3%,2.6%,64.5%,63.3%,51.9%
0.94,2.5%,2.5%,57.0%,51.1%,32.4%
