DR,A%,DF%,1stIn,1st%,2nd%
0.70,10.5%,3.3%,60.8%,75.3%,46.7%
1.00,6.0%,2.4%,61.4%,66.7%,50.0%
1.29,9.0%,3.8%,59.0%,78.3%,62.5%
0.60,3.0%,1.5%,47.0%,64.5%,45.7%
1.34,15.1%,7.5%,54.7%,79.3%,54.2%
1.28,10.9%,0.0%,53.1%,79.4%,53.3%
1.23,5.5%,2.2%,65.9%,78.3%,45.2%
1.48,15.0%,1.7%,65.0%,82.1%,61.9%
1.50,11.3%,7.5%,49.1%,88.5%,55.6%
0.99,8.7%,2.9%,60.2%,64.5%,58.5%
1.23,15.5%,5.6%,54.9%,79.5%,59.4%
1.77,15.1%,1.4%,56.2%,82.9%,68.8%
0.93,3.8%,3.8%,55.8%,72.4%,30.4%
1.51,14.3%,1.8%,57.1%,78.1%,62.5%
1.19,9.9%,2.2%,61.5%,67.9%,65.7%
0.87,10.1%,5.6%,49.4%,81.8%,44.4%
1.05,8.9%,3.3%,56.7%,68.6%,53.8%
1.39,3.8%,7.5%,60.0%,87.5%,53.1%
0.83,9.1%,10.7%,48.8%,83.1%,50.0%
0.84,1.3%,9.2%,64.5%,73.5%,33.3%
1.27,3.8%,2.6%,53.8%,71.4%,63.9%
1.05,14.7%,4.2%,64.2%,70.5%,55.9%
0.90,9.2%,9.2%,55.3%,81.0%,47.1%
1.16,10.2%,7.4%,58.3%,77.8%,60.0%
0.88,4.5%,3.0%,68.7%,67.4%,42.9%
0.91,15.4%,3.8%,65.4%,70.6%,44.4%
1.80,19.6%,2.0%,58.8%,80.0%,66.7%
1.77,13.7%,5.9%,64.7%,84.8%,55.6%
0.80,1.1%,4.4%,63.7%,70.7%,45.5%
0.60,4.4%,11.1%,60.0%,55.6%,27.8%
0.92,12.6%,8.4%,51.6%,79.6%,41.3%
0.71,13.5%,6.7%,68.5%,75.4%,53.6%
0.55,5.9%,11.8%,60.8%,64.5%,30.0%
1.23,15.6%,4.7%,64.1%,78.0%,52.2%
1.20,8.8%,3.8%,58.8%,63.8%,57.6%
0.86,11.8%,7.5%,63.4%,67.8%,52.9%
0.59,13.6%,3.7%,63.0%,58.8%,63.3%
1.13,5.7%,4.5%,63.6%,71.4%,68.8%
0.76,2.4%,4.9%,57.3%,63.8%,42.9%
1.41,20.8%,7.5%,54.7%,82.8%,54.2%
1.85,24.5%,8.2%,57.1%,82.1%,57.1%
0.80,5.9%,8.2%,60.0%,64.7%,50.0%
1.07,17.3%,1.2%,66.7%,75.9%,55.6%
1.18,11.8%,5.9%,58.8%,70.0%,60.7%
1.40,17.2%,2.3%,56.3%,79.6%,71.1%
1.23,22.7%,6.7%,57.3%,79.1%,65.6%
0.79,9.6%,8.7%,50.0%,63.5%,40.4%
2.83,11.6%,7.0%,46.5%,100.0%,69.6%
1.22,11.3%,6.6%,47.2%,80.0%,62.5%
1.16,13.4%,2.7%,59.8%,77.6%,64.4%
1.28,14.8%,11.4%,55.7%,79.6%,51.3%
1.65,17.6%,7.8%,62.7%,81.3%,57.9%
0.88,13.2%,1.9%,67.9%,69.4%,58.8%
0.92,8.8%,5.5%,68.1%,71.0%,37.9%
0.82,4.9%,9.8%,59.8%,73.5%,45.5%
0.78,4.6%,3.7%,53.7%,72.4%,48.0%
1.54,16.9%,7.0%,59.2%,83.3%,65.5%
0.96,8.2%,3.1%,59.2%,63.8%,52.5%
1.35,22.7%,4.5%,59.1%,82.1%,59.3%
0.97,8.0%,4.6%,64.4%,75.0%,38.7%
1.05,5.0%,4.0%,66.0%,72.7%,44.1%
0.83,7.3%,6.4%,54.1%,74.6%,44.0%
1.36,10.3%,9.0%,55.1%,86.0%,57.1%
2.86,0.0%,5.6%,41.7%,86.7%,71.4%
1.21,2.7%,5.3%,49.3%,67.6%,52.6%
1.43,6.5%,14.5%,53.2%,84.8%,55.2%
0.50,4.8%,11.3%,58.1%,75.0%,34.6%
1.19,8.0%,1.0%,57.0%,73.7%,55.8%
0.63,8.3%,1.9%,60.2%,73.8%,51.2%
0.71,12.1%,3.4%,62.1%,58.3%,40.9%
1.44,7.4%,5.9%,67.6%,78.3%,54.5%
1.08,8.3%,3.1%,61.5%,72.9%,67.6%
0.85,7.1%,3.6%,70.5%,70.9%,39.4%
0.89,10.2%,4.5%,69.3%,63.9%,59.3%
0.91,4.5%,5.1%,54.5%,74.1%,40.8%
0.73,8.5%,7.0%,56.3%,72.5%,45.2%
1.40,4.8%,4.8%,54.8%,91.3%,47.4%
1.27,3.3%,4.9%,70.5%,76.7%,61.1%
0.87,5.0%,5.0%,60.0%,72.9%,46.9%
1.07,7.4%,3.7%,65.4%,73.6%,64.3%
0.74,3.8%,9.4%,52.8%,46.4%,40.0%
0.81,1.3%,7.8%,61.0%,66.0%,36.7%
0.43,2.6%,2.6%,66.7%,50.0%,23.1%
1.04,1.1%,3.2%,53.8%,68.0%,46.5%
0.87,14.3%,0.0%,42.9%,66.7%,50.0%
1.46,13.8%,3.4%,62.1%,88.9%,50.0%
0.97,3.5%,4.3%,60.0%,73.9%,50.0%
0.95,6.7%,7.8%,60.0%,79.6%,44.4%
0.88,6.2%,5.2%,62.9%,63.9%,63.9%
1.06,10.3%,10.3%,61.5%,77.1%,36.7%
1.80,6.5%,6.5%,39.1%,88.9%,64.3%
0.53,3.4%,11.9%,39.0%,69.6%,30.6%
0.72,5.9%,4.0%,49.5%,60.0%,43.1%
