DR,A%,DF%,1stIn,1st%,2nd%
0.61,2.1%,2.1%,72.3%,58.8%,38.5%
0.96,0.0%,1.3%,67.1%,60.8%,52.0%
1.24,9.3%,1.3%,56.0%,71.4%,57.6%
0.81,4.0%,4.0%,58.7%,61.4%,45.2%
0.91,4.0%,5.0%,56.4%,68.4%,45.5%
1.40,11.1%,5.6%,66.7%,79.2%,54.2%
1.16,5.0%,3.8%,61.3%,77.6%,51.6%
1.02,5.2%,1.7%,70.7%,65.9%,58.8%
0.85,6.5%,10.2%,46.3%,80.0%,41.4%
0.87,1.1%,2.2%,57.8%,69.2%,34.2%
0.70,6.7%,6.7%,48.9%,63.6%,56.5%
1.05,9.6%,4.8%,50.0%,80.8%,61.5%
2.00,23.3%,5.0%,71.7%,88.4%,64.7%
0.99,7.9%,1.0%,67.3%,72.1%,45.5%
1.33,13.9%,1.3%,63.3%,74.0%,58.6%
1.76,11.3%,1.9%,52.8%,78.6%,72.0%
1.40,11.7%,0.0%,60.0%,75.0%,62.5%
1.92,6.7%,4.4%,57.8%,76.9%,63.2%
1.27,3.8%,0.0%,76.9%,75.0%,41.7%
1.25,10.5%,1.8%,61.4%,71.4%,54.5%
1.21,1.7%,1.7%,69.0%,55.0%,72.2%
0.96,10.1%,3.0%,58.6%,72.4%,63.4%
0.61,6.9%,4.0%,60.4%,68.9%,60.0%
2.16,9.1%,2.3%,75.0%,84.8%,54.5%
0.59,4.8%,3.2%,53.2%,63.6%,41.4%
0.96,7.0%,2.0%,69.0%,63.8%,54.8%
0.67,0.0%,1.1%,78.0%,52.1%,45.0%
0.46,5.4%,2.7%,55.4%,58.5%,45.5%
1.12,8.5%,4.2%,46.5%,84.8%,63.2%
1.07,5.6%,2.8%,66.4%,70.4%,52.8%
1.02,11.9%,7.9%,55.4%,75.0%,57.8%
1.16,8.6%,4.9%,69.1%,64.3%,32.0%
1.31,22.1%,2.1%,65.3%,83.9%,51.5%
1.29,16.9%,1.4%,57.7%,73.2%,46.7%
1.86,22.2%,2.2%,62.2%,92.9%,47.1%
0.82,8.9%,2.0%,64.4%,69.2%,44.4%
1.26,11.1%,6.9%,59.7%,83.7%,41.4%
0.54,4.2%,2.1%,64.6%,64.5%,47.1%
0.68,13.2%,1.3%,59.2%,71.1%,41.9%
1.97,14.6%,2.4%,56.1%,78.3%,66.7%
2.40,20.0%,4.0%,57.3%,95.3%,68.8%
0.81,2.1%,0.0%,82.1%,66.7%,58.8%
1.04,3.9%,1.0%,67.6%,66.7%,48.5%
1.09,11.0%,1.4%,72.6%,62.3%,65.0%
0.73,0.0%,0.0%,68.8%,48.5%,60.0%
1.31,7.2%,1.4%,75.4%,88.5%,35.3%
0.80,3.7%,5.5%,71.6%,60.3%,35.5%
1.83,14.0%,0.0%,72.1%,74.2%,58.3%
1.31,10.5%,1.3%,63.2%,70.8%,71.4%
1.00,6.1%,6.1%,53.7%,72.7%,52.6%
1.94,16.7%,2.1%,66.7%,78.1%,56.3%
0.82,8.5%,5.6%,66.2%,66.0%,50.0%
1.29,7.0%,7.0%,57.7%,75.6%,50.0%
0.73,7.9%,6.3%,44.4%,60.7%,57.1%
0.88,4.1%,4.1%,55.1%,66.7%,54.5%
1.86,14.3%,2.0%,69.4%,82.4%,66.7%
0.47,7.0%,5.3%,61.4%,74.3%,27.3%
1.07,9.2%,2.3%,69.0%,70.0%,48.1%
0.92,4.7%,5.7%,58.5%,72.6%,45.5%
1.44,6.8%,2.7%,61.6%,84.4%,57.1%
0.73,5.4%,8.9%,57.1%,62.5%,45.8%
1.50,8.5%,1.4%,67.6%,70.8%,69.6%
0.70,7.3%,1.8%,65.5%,61.1%,47.4%
0.61,8.6%,1.4%,70.0%,77.6%,47.6%
1.07,13.8%,0.0%,75.9%,64.8%,46.4%
0.95,6.4%,6.4%,47.4%,73.0%,43.9%
0.95,9.2%,5.3%,61.8%,72.3%,65.5%
0.89,6.2%,1.4%,74.0%,69.4%,55.3%
0.91,8.7%,3.3%,69.6%,60.9%,42.9%
0.69,13.9%,2.8%,66.7%,70.8%,33.3%
1.02,7.3%,3.7%,63.4%,75.0%,53.3%
0.93,5.2%,0.0%,54.6%,60.4%,45.5%
0.67,3.0%,1.5%,82.1%,58.2%,41.7%
1.53,3.1%,1.5%,81.5%,73.6%,58.3%
0.87,16.2%,2.9%,73.5%,70.0%,38.9%
1.44,4.8%,6.3%,60.3%,65.8%,48.0%
1.28,11.0%,5.5%,64.4%,72.3%,46.2%
1.42,15.3%,5.1%,62.7%,83.8%,59.1%
1.62,6.3%,6.3%,56.3%,81.5%,57.1%
1.50,7.5%,7.5%,65.7%,79.5%,56.5%
0.70,6.0%,10.4%,53.7%,69.4%,51.6%
1.41,6.1%,3.0%,66.7%,75.0%,45.5%
1.54,7.3%,1.8%,74.5%,75.6%,78.6%
0.70,2.1%,5.2%,71.1%,60.9%,53.6%
1.34,0.0%,1.3%,76.0%,73.7%,66.7%
0.90,9.7%,0.0%,73.6%,58.5%,42.1%
0.70,0.0%,2.3%,71.6%,65.1%,28.0%
1.08,2.4%,1.2%,67.1%,70.9%,51.9%
1.00,2.7%,2.7%,63.0%,69.6%,63.0%
1.36,0.0%,0.0%,78.2%,65.1%,66.7%
0.58,4.6%,5.7%,73.6%,54.7%,47.8%
1.67,6.8%,0.0%,77.3%,70.6%,40.0%
1.31,2.2%,2.2%,77.5%,73.9%,60.0%
1.31,3.3%,1.6%,55.7%,67.6%,59.3%
0.89,6.1%,3.8%,67.9%,68.5%,42.9%
0.76,14.4%,5.1%,61.0%,70.8%,45.7%
1.37,20.0%,1.7%,55.0%,90.9%,44.4%
2.30,17.8%,0.0%,62.2%,89.3%,64.7%
0.87,2.2%,4.3%,52.2%,66.7%,40.9%
0.90,4.0%,4.0%,66.7%,62.0%,48.0%
1.31,1.5%,1.5%,70.1%,72.3%,60.0%
0.69,7.5%,0.0%,66.0%,62.9%,27.8%
1.00,6.5%,2.2%,67.4%,72.6%,53.3%
2.16,4.3%,0.0%,59.6%,82.1%,73.7%
0.89,13.6%,8.5%,59.3%,68.6%,33.3%
1.71,14.0%,4.0%,66.0%,90.9%,47.1%
1.41,8.5%,3.4%,52.5%,80.6%,64.3%
1.00,17.4%,5.8%,65.3%,84.8%,59.5%
0.92,7.4%,4.6%,55.6%,75.0%,64.6%
0.54,5.7%,0.0%,71.4%,36.0%,30.0%
1.11,1.1%,3.3%,65.2%,58.3%,53.1%
1.10,8.2%,0.0%,69.4%,58.8%,80.0%
0.56,6.3%,3.2%,58.7%,73.0%,34.6%
1.35,14.9%,1.5%,50.7%,73.5%,72.7%
1.32,13.4%,0.0%,58.2%,74.4%,64.3%
0.33,6.1%,0.0%,59.2%,55.2%,50.0%
0.92,6.7%,4.5%,64.0%,70.2%,50.0%
1.35,2.9%,1.4%,62.9%,84.1%,61.5%
0.37,6.0%,2.0%,56.0%,53.6%,36.4%
1.73,3.6%,0.0%,78.6%,72.7%,83.3%
0.71,0.0%,0.0%,77.4%,54.2%,50.0%
0.69,6.9%,3.4%,67.2%,59.0%,36.8%
0.84,0.0%,3.8%,70.0%,54.9%,43.6%
2.69,5.4%,8.1%,48.6%,88.9%,68.4%
0.88,1.1%,3.4%,69.3%,60.7%,59.3%
1.79,6.8%,4.5%,70.5%,67.7%,53.8%
1.64,3.2%,1.6%,67.7%,85.7%,60.0%
0.37,6.1%,10.2%,67.3%,48.5%,25.0%
0.24,0.0%,10.3%,65.5%,31.6%,60.0%
0.89,10.8%,2.2%,69.9%,76.9%,46.4%
0.84,6.5%,1.1%,67.7%,65.1%,46.7%
1.16,0.7%,0.7%,68.4%,58.1%,62.8%
1.13,2.7%,0.0%,61.3%,63.0%,58.6%
0.97,5.4%,1.1%,70.7%,61.5%,55.6%
2.36,4.4%,4.4%,68.9%,87.1%,64.3%
0.75,3.3%,3.3%,61.7%,59.5%,34.8%
1.15,0.0%,6.3%,68.3%,69.8%,40.0%
0.83,1.2%,4.7%,65.9%,66.1%,24.1%
2.00,0.0%,2.1%,66.0%,80.6%,62.5%
1.44,1.4%,2.9%,68.1%,61.7%,72.7%
1.56,5.4%,7.1%,58.9%,81.8%,56.5%
1.45,6.9%,5.2%,65.5%,76.3%,60.0%
1.40,6.1%,9.1%,69.7%,80.4%,40.0%
1.36,5.8%,4.3%,60.9%,78.6%,55.6%
1.96,2.2%,6.5%,50.0%,82.6%,65.2%
0.76,8.5%,2.1%,78.7%,75.7%,55.0%
