DR,A%,DF%,1stIn,1st%,2nd%
0.84,4.5%,1.1%,65.9%,69.0%,36.7%
1.13,9.1%,3.0%,55.6%,65.5%,59.1%
1.32,7.5%,0.0%,68.7%,76.1%,61.9%
2.45,0.0%,2.5%,57.5%,91.3%,64.7%
0.90,3.6%,1.2%,69.0%,65.5%,38.5%
1.24,5.6%,5.6%,50.0%,80.6%,38.9%
1.63,3.6%,5.5%,65.5%,77.8%,57.9%
0.94,7.5%,9.4%,71.7%,71.1%,66.7%
0.96,3.3%,2.2%,63.3%,59.6%,36.4%
0.70,3.2%,1.6%,66.7%,61.9%,57.1%
1.02,5.7%,2.3%,61.4%,74.1%,50.0%
0.78,14.8%,1.9%,72.2%,71.8%,40.0%
0.84,0.0%,2.4%,69.5%,70.2%,20.0%
0.53,2.8%,7.0%,59.2%,78.6%,27.6%
1.09,11.9%,5.1%,58.5%,76.8%,42.9%
0.62,6.5%,7.8%,58.4%,68.9%,43.8%
0.88,1.4%,2.9%,62.9%,63.6%,50.0%
0.58,4.4%,0.0%,61.8%,61.9%,69.2%
1.33,6.3%,6.3%,60.3%,71.1%,64.0%
1.18,5.2%,2.6%,63.6%,71.4%,57.1%
0.89,5.8%,4.3%,71.0%,69.4%,40.0%
0.81,12.1%,3.2%,69.5%,77.3%,41.4%
0.58,6.3%,1.6%,61.9%,61.5%,41.7%
1.67,15.1%,3.8%,69.8%,78.4%,62.5%
2.02,26.7%,0.0%,73.3%,78.8%,58.3%
1.08,14.4%,2.1%,58.8%,80.7%,62.5%
1.28,16.2%,1.5%,67.6%,84.8%,63.6%
1.36,8.8%,1.8%,71.9%,73.2%,50.0%
1.01,3.3%,4.2%,65.8%,73.4%,51.2%
0.80,2.2%,1.1%,68.1%,59.7%,41.4%
1.09,13.8%,3.2%,68.1%,68.8%,53.3%
0.74,7.4%,1.5%,69.1%,78.7%,57.1%
0.46,0.0%,0.0%,71.4%,51.4%,42.9%
1.96,4.2%,2.1%,62.5%,73.3%,83.3%
2.85,5.1%,2.6%,61.5%,83.3%,80.0%
1.61,5.5%,3.6%,58.2%,75.0%,65.2%
1.11,4.0%,2.0%,70.7%,64.3%,51.7%
0.82,1.2%,2.4%,74.1%,54.0%,59.1%
0.87,2.8%,1.4%,68.1%,57.1%,47.8%
0.55,5.7%,7.6%,51.4%,70.4%,52.9%
0.74,0.0%,1.6%,63.5%,62.5%,47.8%
1.31,4.8%,1.6%,67.7%,69.0%,55.0%
1.21,6.3%,2.5%,65.8%,76.9%,63.0%
0.69,4.5%,4.5%,55.2%,67.6%,50.0%
0.86,5.3%,2.7%,66.7%,70.0%,44.0%
1.24,2.5%,2.5%,72.2%,73.7%,63.6%
1.01,7.4%,4.2%,58.9%,69.6%,51.3%
0.64,1.4%,2.9%,60.0%,54.8%,46.4%
0.64,11.1%,2.8%,55.6%,45.0%,56.3%
0.69,6.3%,5.4%,62.5%,65.7%,54.8%
0.97,10.6%,4.4%,63.1%,68.3%,45.8%
0.31,9.8%,3.3%,59.0%,72.2%,68.0%
1.05,6.7%,2.7%,68.0%,68.6%,50.0%
0.84,2.7%,2.7%,64.3%,61.1%,55.0%
0.73,0.0%,3.8%,63.5%,54.5%,42.1%
1.44,12.0%,4.0%,52.0%,73.1%,54.2%
0.84,5.6%,3.7%,65.7%,63.4%,62.2%
0.68,1.4%,2.8%,53.5%,55.3%,51.5%
1.51,14.0%,3.5%,63.2%,75.0%,38.1%
0.53,4.9%,8.2%,54.1%,66.7%,32.1%
1.14,6.2%,3.1%,56.9%,83.8%,57.1%
