DR,A%,DF%,1stIn,1st%,2nd%
0.85,0.9%,0.9%,66.1%,61.1%,45.9%
1.06,4.4%,0.9%,76.1%,68.6%,63.0%
1.55,3.8%,3.8%,69.2%,86.1%,37.5%
0.96,1.0%,0.0%,70.7%,67.1%,44.8%
1.29,0.0%,1.8%,70.9%,56.4%,68.8%
1.20,5.0%,3.3%,65.0%,66.7%,42.9%
0.98,1.5%,2.2%,60.7%,59.8%,54.7%
1.12,2.5%,6.3%,65.0%,67.3%,46.4%
0.59,1.8%,1.8%,57.9%,57.6%,45.8%
0.80,1.1%,2.2%,67.4%,56.5%,53.3%
1.12,3.3%,2.2%,63.3%,63.2%,51.5%
1.53,3.8%,1.9%,56.6%,86.7%,47.8%
1.44,1.8%,5.3%,54.4%,77.4%,65.4%
1.54,1.8%,8.8%,56.1%,71.9%,44.0%
2.22,0.0%,2.2%,62.2%,82.1%,76.5%
1.08,2.0%,2.0%,55.6%,49.1%,45.5%
1.24,5.2%,3.9%,63.6%,65.3%,53.6%
0.65,3.8%,0.0%,71.7%,57.9%,46.7%
1.00,1.1%,3.3%,65.2%,65.0%,53.1%
1.14,4.0%,4.0%,65.7%,61.5%,41.2%
1.69,1.7%,1.7%,66.7%,80.0%,55.0%
0.70,2.2%,6.5%,63.0%,55.2%,52.9%
1.06,3.2%,4.3%,50.0%,70.2%,48.9%
0.50,5.6%,1.9%,63.0%,50.0%,20.0%
0.76,3.3%,4.9%,60.7%,70.3%,37.5%
1.18,4.9%,0.0%,59.8%,75.4%,53.7%
1.14,6.8%,2.7%,60.3%,65.9%,62.1%
0.73,5.0%,3.0%,69.0%,63.8%,45.2%
0.84,1.9%,1.0%,61.5%,65.6%,45.0%
1.59,0.0%,0.0%,70.8%,70.6%,57.1%
1.29,0.0%,4.8%,61.9%,66.7%,54.2%
1.28,2.4%,2.4%,62.7%,63.5%,54.8%
0.98,0.9%,2.7%,74.1%,61.4%,51.7%
0.74,3.8%,0.0%,70.0%,64.3%,70.8%
1.23,0.0%,1.3%,75.9%,78.3%,52.6%
1.01,5.0%,3.0%,60.4%,68.9%,47.5%
1.03,5.1%,1.0%,70.7%,74.3%,44.8%
0.86,3.4%,2.2%,64.0%,52.6%,37.5%
1.95,8.2%,4.1%,65.3%,81.3%,58.8%
1.15,9.3%,3.5%,66.3%,78.9%,48.3%
0.86,7.6%,1.7%,62.2%,75.7%,64.4%
0.93,1.1%,2.2%,67.0%,72.1%,40.0%
2.29,4.1%,4.1%,69.4%,91.2%,53.3%
0.81,2.3%,0.0%,63.6%,50.0%,50.0%
1.08,3.7%,0.9%,56.9%,61.3%,51.1%
2.09,0.0%,2.6%,65.8%,72.0%,69.2%
1.44,1.6%,1.6%,71.0%,77.3%,38.9%
1.17,4.2%,2.8%,56.3%,62.5%,61.3%
0.99,5.0%,0.0%,70.0%,64.3%,72.2%
1.47,5.5%,1.8%,56.4%,74.2%,54.2%
0.63,0.0%,7.8%,51.0%,46.2%,24.0%
1.17,1.2%,2.5%,53.1%,72.1%,50.0%
3.03,5.4%,2.7%,64.9%,83.3%,76.9%
0.96,0.0%,1.7%,63.3%,60.5%,40.9%
0.77,1.2%,1.2%,71.8%,55.7%,37.5%
1.60,4.0%,4.0%,62.0%,74.2%,63.2%
1.02,3.8%,1.9%,62.9%,68.2%,53.8%
0.92,2.2%,1.1%,68.5%,55.6%,55.2%
0.56,6.0%,0.0%,68.0%,52.9%,43.8%
1.06,7.4%,1.9%,61.1%,78.8%,64.3%
1.13,7.4%,2.5%,56.8%,71.7%,45.7%
0.50,5.0%,3.3%,48.3%,58.6%,48.4%
0.61,0.0%,1.6%,69.8%,43.2%,36.8%
4.41,0.0%,0.0%,65.6%,90.5%,81.8%
1.50,5.2%,1.3%,64.9%,76.0%,63.0%
1.15,2.2%,0.0%,67.8%,62.3%,58.6%
1.49,4.8%,3.2%,61.3%,81.6%,50.0%
1.36,6.1%,0.0%,66.7%,77.3%,50.0%
0.49,0.0%,1.9%,63.5%,60.6%,26.3%
1.34,1.9%,1.9%,53.8%,60.7%,62.5%
2.48,7.4%,3.7%,66.7%,83.3%,66.7%
1.74,2.0%,0.0%,58.0%,75.9%,61.9%
1.70,10.7%,3.6%,53.6%,80.0%,69.2%
0.73,11.0%,4.1%,67.1%,59.2%,33.3%
1.11,7.5%,0.0%,71.3%,75.4%,56.5%
1.21,4.9%,1.2%,66.7%,79.6%,59.3%
1.17,4.5%,4.5%,68.8%,68.8%,62.9%
1.31,5.2%,1.3%,75.3%,70.7%,42.1%
1.21,3.9%,2.6%,55.8%,69.8%,58.8%
0.77,9.3%,5.3%,66.7%,66.0%,36.0%
0.68,3.6%,1.8%,66.1%,56.8%,42.1%
2.13,2.2%,6.5%,60.9%,78.6%,72.2%
0.99,2.1%,2.1%,60.0%,61.4%,44.7%
1.05,5.1%,3.8%,71.8%,75.0%,45.5%
1.44,3.0%,0.0%,65.7%,75.0%,52.2%
0.67,2.2%,0.0%,58.7%,51.9%,47.4%
0.75,3.2%,9.7%,54.8%,64.7%,42.9%
1.12,4.1%,8.1%,59.5%,63.6%,46.7%
1.36,8.8%,1.5%,58.8%,82.5%,60.7%
0.74,5.8%,3.8%,61.5%,62.5%,50.0%
0.46,7.0%,5.6%,67.6%,66.7%,39.1%
1.34,6.9%,4.2%,72.2%,73.1%,60.0%
0.45,5.3%,0.0%,55.3%,28.6%,35.3%
1.29,6.3%,4.8%,63.5%,80.0%,47.8%
0.72,8.9%,0.0%,67.9%,63.2%,61.1%
0.67,4.2%,6.9%,66.7%,70.8%,41.7%
0.95,1.2%,6.2%,61.7%,70.0%,35.5%
0.81,4.2%,0.0%,73.6%,69.8%,68.4%
