DR,A%,DF%,1stIn,1st%,2nd%
0.78,4.6%,4.6%,64.8%,67.1%,44.7%
0.87,0.9%,1.8%,61.6%,66.7%,48.8%
0.83,1.7%,5.2%,70.7%,61.0%,41.2%
0.95,7.4%,5.3%,63.8%,81.7%,50.0%
0.85,1.3%,2.5%,69.6%,60.0%,54.2%
1.13,5.0%,3.8%,63.7%,68.6%,48.3%
0.87,3.9%,2.6%,57.9%,59.1%,46.9%
0.89,4.8%,1.6%,61.3%,60.5%,66.7%
1.00,1.2%,3.5%,58.8%,58.0%,51.4%
0.74,9.7%,0.0%,66.1%,61.0%,42.9%
1.50,7.1%,1.2%,79.8%,74.6%,64.7%
0.76,2.0%,2.9%,69.6%,59.2%,32.3%
0.50,1.7%,5.0%,56.7%,61.8%,26.9%
1.09,6.5%,2.2%,65.6%,67.2%,59.4%
0.82,1.6%,4.9%,65.6%,67.5%,42.9%
0.88,3.3%,2.5%,67.5%,63.0%,56.4%
1.03,4.0%,4.0%,61.6%,65.6%,50.0%
1.00,10.0%,0.0%,60.0%,100.0%,50.0%
0.90,4.3%,0.0%,71.4%,70.0%,35.0%
0.43,3.1%,2.1%,65.6%,63.5%,33.3%
1.45,7.2%,0.7%,69.8%,80.4%,57.1%
1.60,5.7%,1.9%,60.4%,78.1%,71.4%
1.35,13.8%,1.3%,65.0%,82.7%,60.7%
1.76,10.0%,2.0%,60.0%,70.0%,60.0%
1.56,3.4%,6.9%,50.0%,72.4%,75.9%
2.01,7.0%,2.3%,62.8%,81.5%,62.5%
1.30,6.7%,5.0%,55.0%,78.8%,55.6%
1.14,2.4%,3.7%,62.2%,62.7%,51.6%
1.19,4.1%,2.7%,58.9%,65.1%,46.7%
1.04,1.1%,1.1%,66.3%,66.1%,43.3%
0.72,5.1%,5.1%,55.9%,72.7%,53.8%
1.41,3.1%,3.1%,56.9%,59.5%,71.4%
1.22,2.8%,1.4%,61.1%,70.5%,53.6%
1.22,5.0%,15.0%,51.7%,83.9%,44.8%
0.99,2.3%,4.7%,53.5%,58.7%,45.0%
1.15,5.9%,7.1%,57.6%,71.4%,55.6%
0.96,3.2%,4.0%,52.0%,70.8%,48.3%
0.74,2.7%,4.5%,60.9%,61.2%,39.5%
1.44,3.6%,0.0%,60.0%,78.8%,59.1%
0.71,1.3%,2.6%,61.0%,57.4%,43.3%
1.08,11.8%,2.0%,64.7%,69.7%,41.7%
1.89,4.0%,0.0%,72.0%,83.3%,64.3%
1.44,1.7%,1.7%,70.7%,70.7%,64.7%
0.32,13.3%,3.3%,60.0%,58.3%,25.0%
1.54,4.0%,2.0%,58.0%,82.8%,52.4%
1.65,3.3%,3.3%,63.9%,74.4%,59.1%
0.94,10.5%,7.0%,57.0%,79.6%,35.1%
1.30,4.0%,6.0%,67.0%,73.1%,57.6%
1.12,7.5%,4.3%,62.4%,81.0%,45.7%
1.06,4.0%,4.0%,60.0%,73.3%,60.0%
1.33,3.4%,6.9%,57.5%,82.0%,56.8%
0.90,7.7%,4.6%,55.4%,72.2%,55.2%
0.85,4.2%,2.5%,56.7%,73.5%,55.8%
1.70,5.9%,11.8%,66.7%,85.3%,41.2%
0.85,5.2%,2.1%,65.6%,73.0%,42.4%
0.76,1.3%,2.5%,64.6%,64.7%,53.6%
0.79,6.1%,6.1%,43.9%,82.8%,40.5%
0.83,7.9%,4.0%,72.3%,57.5%,39.3%
1.09,2.2%,6.5%,55.4%,66.7%,46.3%
0.72,1.3%,5.3%,65.8%,70.0%,53.8%
0.69,9.1%,1.5%,66.7%,59.1%,54.5%
0.68,8.3%,3.1%,72.9%,62.9%,50.0%
0.73,10.3%,2.9%,58.8%,62.5%,53.6%
1.54,10.9%,3.6%,56.4%,80.6%,45.8%
1.88,7.4%,1.9%,46.3%,84.0%,69.0%
0.73,2.6%,3.9%,57.9%,61.4%,53.1%
0.91,4.4%,3.5%,61.9%,70.0%,58.1%
0.93,4.7%,4.7%,65.6%,64.3%,40.9%
1.10,3.5%,4.9%,63.4%,71.1%,48.1%
0.88,6.5%,3.7%,62.0%,65.7%,51.2%
1.32,1.3%,1.3%,66.7%,68.0%,76.0%
0.90,0.0%,4.4%,63.3%,61.4%,51.5%
1.16,8.6%,0.0%,59.3%,62.5%,54.5%
1.40,15.6%,3.1%,60.9%,74.4%,52.0%
1.01,6.2%,2.5%,60.5%,63.3%,43.8%
0.80,6.5%,7.5%,61.3%,61.4%,44.4%
1.15,6.9%,4.9%,57.8%,71.2%,55.8%
0.98,10.1%,4.5%,65.2%,67.2%,41.9%
1.29,2.9%,4.3%,62.9%,72.7%,50.0%
1.43,5.9%,2.9%,64.7%,75.0%,50.0%
1.01,5.1%,2.6%,57.7%,64.4%,60.6%
1.50,9.1%,5.5%,56.4%,83.9%,45.8%
2.38,0.0%,0.0%,65.9%,79.3%,73.3%
0.88,1.9%,7.5%,64.2%,73.5%,31.6%
1.21,4.9%,1.2%,63.0%,72.5%,46.7%
1.25,0.0%,3.9%,64.5%,69.4%,55.6%
1.10,0.8%,0.8%,58.0%,56.5%,66.0%
0.41,4.2%,2.1%,70.8%,61.8%,7.1%
1.50,12.5%,2.8%,65.3%,80.9%,56.0%
0.83,14.3%,1.8%,71.4%,70.0%,56.3%
1.21,7.5%,6.3%,57.5%,69.6%,52.9%
0.88,1.2%,1.2%,63.5%,55.6%,61.3%
0.69,0.0%,6.0%,72.0%,61.1%,57.1%
1.83,0.0%,2.2%,50.0%,73.9%,60.9%
1.04,0.0%,3.0%,68.7%,69.6%,47.6%
1.13,6.6%,2.2%,63.7%,70.7%,45.5%
1.34,2.8%,1.4%,54.9%,89.7%,37.5%
0.68,11.1%,4.8%,57.1%,72.2%,44.4%
1.91,21.2%,1.9%,67.3%,85.7%,58.8%
3.23,11.9%,4.8%,66.7%,92.9%,71.4%
0.71,6.7%,3.3%,70.0%,59.5%,33.3%
0.83,2.6%,2.6%,70.5%,61.8%,39.1%
1.03,2.7%,1.8%,65.5%,55.4%,56.4%
0.77,2.0%,0.0%,64.0%,53.1%,44.4%
0.87,0.0%,1.3%,67.1%,66.0%,50.0%
1.32,5.2%,0.0%,70.7%,63.4%,52.9%
1.13,5.8%,1.4%,71.0%,65.3%,65.0%
1.02,0.0%,4.3%,61.7%,70.7%,50.0%
0.88,2.8%,2.8%,65.1%,69.6%,40.5%
1.00,6.0%,2.0%,72.0%,69.4%,78.6%
0.72,1.7%,1.7%,59.3%,51.4%,41.7%
1.10,1.4%,0.0%,74.0%,61.1%,68.4%
1.26,9.0%,5.6%,66.3%,69.5%,63.3%
1.04,7.4%,3.7%,66.7%,68.5%,48.1%
1.73,14.3%,0.0%,69.6%,79.5%,64.7%
2.14,9.5%,2.4%,61.9%,84.6%,62.5%
0.72,0.0%,2.1%,61.7%,62.1%,55.6%
1.23,3.1%,4.7%,56.3%,75.0%,53.6%
1.19,2.9%,5.8%,62.1%,70.3%,64.1%
0.95,3.6%,4.5%,66.7%,64.9%,40.5%
1.85,6.7%,2.2%,82.2%,70.3%,75.0%
0.71,1.7%,0.0%,65.0%,56.4%,66.7%
0.80,3.8%,2.9%,68.3%,70.4%,48.5%
2.14,15.8%,2.6%,71.1%,81.5%,63.6%
0.94,2.4%,6.5%,59.3%,68.5%,48.0%
0.59,0.0%,2.9%,62.3%,58.1%,38.5%
1.10,1.2%,1.2%,67.1%,65.5%,51.9%
1.31,2.9%,4.3%,60.9%,64.3%,66.7%
2.25,10.9%,6.5%,56.5%,84.6%,70.0%
1.27,3.1%,1.6%,76.6%,67.3%,46.7%
1.76,0.0%,0.0%,74.0%,73.0%,61.5%
1.51,5.0%,1.7%,68.3%,63.4%,63.2%
0.64,3.4%,0.0%,44.1%,34.6%,54.5%
0.57,1.8%,1.8%,62.5%,51.4%,52.4%
0.93,5.0%,2.5%,62.2%,74.3%,37.8%
1.07,3.9%,8.7%,53.4%,65.5%,50.0%
1.03,2.6%,4.3%,65.5%,59.2%,42.5%
1.38,0.0%,3.4%,61.0%,61.1%,73.9%
0.84,0.0%,8.0%,52.3%,54.3%,52.4%
0.80,5.6%,8.5%,66.2%,76.6%,41.7%
1.08,3.9%,4.9%,67.6%,71.0%,51.5%
0.51,0.0%,2.6%,75.3%,50.0%,47.4%
