DR,A%,DF%,1stIn,1st%,2nd%
1.16,9.9%,6.2%,66.7%,70.4%,59.3%
0.63,7.2%,0.0%,52.2%,61.1%,54.5%
1.08,3.2%,6.3%,53.7%,78.4%,40.9%
0.68,1.5%,6.2%,55.4%,77.8%,44.8%
1.21,9.5%,7.8%,62.1%,72.2%,45.5%
1.22,10.3%,4.4%,57.4%,79.5%,51.7%
2.01,14.8%,3.7%,66.7%,83.3%,55.6%
1.15,9.1%,9.1%,62.5%,76.4%,39.4%
0.84,9.5%,1.6%,63.5%,70.0%,39.1%
1.48,7.0%,5.3%,70.2%,65.0%,64.7%
1.41,14.8%,3.7%,61.1%,78.8%,47.6%
1.10,7.2%,6.0%,60.2%,76.0%,57.6%
1.01,12.8%,5.8%,55.8%,81.3%,42.1%
0.46,5.6%,4.2%,70.4%,70.0%,38.1%
2.00,26.2%,2.4%,66.7%,85.7%,42.9%
1.37,22.2%,11.1%,63.0%,88.2%,35.0%
1.13,6.1%,6.8%,63.6%,70.2%,47.9%
0.90,7.6%,5.1%,48.1%,76.3%,46.3%
0.78,4.7%,2.8%,53.8%,61.4%,53.1%
0.99,7.1%,9.4%,61.2%,78.8%,33.3%
1.11,10.0%,3.3%,51.1%,73.9%,52.3%
1.39,14.9%,3.2%,60.6%,78.9%,56.8%
0.92,19.2%,6.4%,59.0%,73.9%,43.8%
0.72,5.0%,4.0%,65.3%,66.7%,48.6%
1.15,13.3%,7.5%,52.5%,68.3%,40.4%
1.07,5.0%,6.9%,56.4%,68.4%,50.0%
1.41,9.4%,6.3%,54.7%,71.4%,58.6%
0.86,13.1%,3.6%,61.9%,76.9%,50.0%
1.10,21.3%,5.6%,61.8%,83.6%,44.1%
1.10,18.5%,5.6%,60.2%,78.5%,53.5%
1.40,20.9%,10.4%,53.7%,80.6%,54.8%
1.98,23.2%,7.1%,60.7%,94.1%,54.5%
1.62,22.4%,3.4%,62.1%,86.1%,63.6%
0.71,9.4%,7.2%,60.1%,71.1%,34.5%
1.26,17.3%,3.0%,54.1%,84.7%,57.4%
0.83,21.5%,1.5%,55.4%,86.1%,44.8%
0.75,8.8%,3.5%,52.6%,63.3%,48.1%
1.23,24.1%,1.7%,72.4%,78.6%,56.3%
0.84,20.9%,8.8%,61.5%,87.5%,34.3%
0.70,9.2%,9.2%,50.6%,70.5%,41.9%
0.70,13.6%,3.0%,68.2%,68.9%,52.4%
1.33,7.7%,3.8%,53.8%,71.4%,58.3%
1.87,8.2%,2.0%,65.3%,75.0%,76.5%
2.08,18.5%,7.4%,48.1%,100.0%,64.3%
0.77,17.5%,7.8%,48.5%,82.0%,47.2%
1.55,25.5%,3.6%,67.3%,73.0%,44.4%
1.50,26.2%,4.6%,56.9%,86.5%,53.6%
0.97,3.6%,7.1%,41.1%,69.6%,51.5%
1.20,4.9%,3.9%,52.0%,71.7%,53.1%
1.20,8.6%,5.2%,50.0%,75.9%,55.2%
1.13,6.1%,4.5%,45.5%,66.7%,38.9%
0.77,3.3%,6.7%,43.3%,61.5%,52.9%
1.28,17.9%,3.0%,64.2%,74.4%,62.5%
0.89,2.4%,3.6%,56.0%,74.5%,48.6%
1.32,21.5%,6.2%,67.7%,70.5%,42.9%
0.77,4.4%,11.8%,39.7%,63.0%,34.1%
1.02,8.9%,7.1%,54.4%,75.0%,42.9%
1.05,11.7%,4.5%,61.0%,77.7%,50.0%
0.93,16.0%,1.2%,60.5%,73.5%,40.6%
0.93,17.0%,5.0%,61.0%,78.7%,51.3%
3.05,15.6%,3.1%,53.1%,88.2%,66.7%
0.66,9.9%,6.2%,50.6%,73.2%,37.5%
1.14,19.4%,2.9%,64.1%,80.3%,48.6%
0.74,13.9%,5.6%,56.9%,61.0%,38.7%
1.77,7.7%,1.9%,44.2%,73.9%,69.0%
1.31,2.6%,5.2%,49.4%,81.6%,59.0%
0.55,0.0%,7.0%,51.2%,50.0%,42.9%
0.91,16.4%,5.5%,58.9%,79.1%,43.3%
1.89,7.3%,4.9%,51.2%,85.7%,60.0%
0.68,12.3%,6.8%,52.1%,60.5%,51.4%
1.16,8.8%,2.2%,59.3%,74.1%,56.8%
1.42,10.3%,6.9%,63.8%,83.8%,66.7%
0.99,6.6%,8.8%,52.7%,79.2%,44.2%
0.44,16.9%,5.6%,59.6%,71.7%,47.2%
0.64,15.3%,6.8%,61.0%,72.2%,43.5%
0.60,13.8%,1.5%,55.4%,88.9%,48.3%
1.78,16.1%,5.4%,69.6%,84.6%,47.1%
1.18,12.2%,5.1%,65.3%,73.4%,55.9%
0.65,9.1%,1.3%,63.6%,79.6%,39.3%
