DR,A%,DF%,1stIn,1st%,2nd%
0.81,3.0%,0.0%,62.1%,63.4%,52.0%
1.09,8.0%,5.3%,73.3%,60.0%,50.0%
1.27,2.4%,0.0%,57.1%,68.8%,58.3%
1.40,3.3%,6.6%,50.8%,80.6%,53.3%
2.27,12.2%,4.1%,75.5%,75.7%,58.3%
0.67,6.0%,6.0%,56.0%,75.0%,31.8%
1.35,9.9%,1.4%,73.2%,65.4%,57.9%
1.59,7.1%,3.6%,57.1%,84.4%,54.2%
1.29,6.3%,1.3%,62.5%,76.0%,60.0%
2.08,10.8%,0.0%,70.3%,73.1%,72.7%
0.76,0.0%,1.3%,74.7%,53.6%,26.3%
2.37,12.2%,0.0%,65.9%,85.2%,64.3%
0.70,1.9%,7.5%,58.5%,54.8%,36.4%
1.43,6.0%,1.5%,64.2%,65.1%,62.5%
1.36,11.5%,2.1%,65.6%,82.5%,54.5%
0.81,5.0%,1.7%,75.0%,57.8%,26.7%
0.94,7.7%,2.9%,69.2%,62.5%,34.4%
1.11,3.8%,1.0%,71.2%,82.4%,46.7%
3.16,6.7%,0.0%,63.3%,89.5%,63.6%
0.98,4.9%,2.4%,69.5%,70.2%,52.0%
0.82,14.0%,3.5%,57.9%,75.8%,54.2%
1.14,19.3%,5.7%,71.6%,84.1%,36.0%
1.72,10.2%,4.1%,73.5%,66.7%,84.6%
1.28,7.7%,2.6%,67.9%,77.4%,48.0%
0.94,7.8%,3.4%,67.2%,61.5%,50.0%
1.74,13.0%,1.9%,70.4%,81.6%,62.5%
1.01,7.3%,0.0%,74.4%,60.7%,57.1%
0.52,11.4%,2.9%,75.7%,67.9%,64.7%
1.05,10.0%,1.7%,66.7%,72.5%,60.0%
0.90,4.0%,5.9%,63.4%,60.9%,27.0%
3.17,20.5%,2.6%,74.4%,82.8%,80.0%
1.38,17.2%,3.1%,67.2%,74.4%,57.1%
0.59,17.0%,13.2%,66.0%,62.9%,22.2%
1.15,11.5%,12.5%,52.1%,76.0%,43.5%
0.39,6.0%,10.0%,60.0%,56.7%,35.0%
0.86,5.7%,3.8%,67.6%,64.8%,58.8%
1.17,11.4%,2.5%,67.1%,69.8%,61.5%
1.08,3.3%,4.1%,66.1%,67.5%,48.8%
1.13,0.0%,1.9%,63.8%,68.7%,44.7%
0.85,4.5%,3.0%,55.2%,78.4%,60.0%
1.74,5.9%,3.9%,62.7%,71.9%,68.4%
1.82,9.3%,4.7%,60.5%,73.1%,64.7%
2.22,16.7%,6.3%,54.2%,84.6%,68.2%
0.34,2.6%,0.0%,64.5%,57.1%,44.4%
0.86,12.3%,4.1%,64.4%,63.8%,57.7%
1.39,6.9%,1.7%,72.4%,69.0%,68.8%
1.11,9.4%,1.2%,65.9%,76.8%,58.6%
1.38,13.7%,0.0%,64.4%,70.2%,73.1%
1.68,8.2%,4.1%,65.3%,84.4%,47.1%
1.08,8.8%,1.3%,68.8%,70.9%,64.0%
0.69,12.0%,4.0%,74.0%,64.9%,46.2%
1.08,4.5%,4.5%,68.5%,70.5%,39.3%
0.85,2.9%,2.9%,64.7%,68.2%,41.7%
1.13,2.4%,6.0%,69.9%,70.7%,44.0%
1.58,4.1%,2.0%,67.3%,72.7%,62.5%
0.69,0.0%,6.8%,67.8%,60.0%,52.6%
0.61,3.3%,1.1%,69.6%,68.8%,53.6%
1.00,4.6%,1.1%,67.8%,66.1%,64.3%
0.71,13.7%,7.4%,72.6%,62.3%,42.3%
0.79,2.8%,4.7%,66.0%,65.7%,36.1%
1.48,7.7%,1.9%,59.6%,77.4%,76.2%
1.03,3.3%,4.1%,59.5%,66.7%,55.1%
0.95,11.8%,3.6%,70.9%,73.1%,46.9%
1.05,7.0%,4.7%,64.0%,74.5%,61.3%
1.37,9.0%,4.5%,61.2%,80.5%,65.4%
2.33,12.2%,7.3%,56.1%,87.0%,66.7%
2.00,17.0%,5.7%,67.9%,86.1%,76.5%
0.74,8.2%,11.5%,62.3%,81.6%,34.8%
1.97,6.5%,2.2%,69.6%,78.1%,42.9%
1.07,5.3%,1.1%,65.3%,71.0%,51.5%
1.10,14.1%,1.3%,71.8%,69.6%,59.1%
1.19,11.3%,5.6%,67.6%,66.7%,60.9%
1.20,16.5%,4.1%,64.9%,85.7%,58.8%
1.55,13.8%,5.2%,74.1%,76.7%,66.7%
1.42,3.8%,3.8%,57.7%,66.7%,45.5%
1.20,16.7%,2.8%,69.4%,84.0%,45.5%
1.08,10.1%,0.9%,68.8%,77.3%,58.8%
1.97,16.7%,6.3%,66.7%,87.5%,62.5%
1.40,11.9%,4.8%,75.0%,79.4%,42.9%
1.36,16.2%,2.9%,77.9%,66.0%,53.3%
3.16,17.5%,0.0%,75.0%,90.0%,70.0%
0.63,10.2%,2.3%,69.3%,63.9%,48.1%
1.28,1.5%,10.4%,64.2%,76.7%,54.2%
0.99,6.4%,5.1%,70.5%,63.6%,65.2%
1.61,7.4%,7.4%,57.4%,77.4%,60.9%
1.15,15.7%,3.9%,71.6%,76.7%,65.5%
2.86,14.3%,2.9%,65.7%,91.3%,58.3%
0.63,6.3%,4.2%,72.9%,34.3%,23.1%
0.51,1.7%,3.4%,72.4%,45.2%,37.5%
1.21,4.2%,1.0%,74.0%,64.8%,64.0%
1.11,4.6%,1.8%,73.4%,58.8%,51.7%
0.85,1.3%,2.6%,70.5%,54.5%,52.2%
1.17,18.0%,3.3%,65.6%,85.0%,52.4%
1.14,1.4%,1.4%,72.6%,64.2%,60.0%
1.63,2.0%,2.0%,67.3%,84.8%,56.3%
1.73,5.9%,7.8%,62.7%,87.5%,63.2%
0.86,1.6%,1.6%,57.8%,59.5%,51.9%
1.00,2.1%,2.1%,67.4%,73.4%,54.8%
1.62,3.5%,1.8%,64.9%,75.7%,60.0%
1.70,8.0%,6.0%,58.0%,89.7%,47.6%
0.93,1.1%,2.1%,72.3%,57.4%,57.7%
1.07,2.4%,2.4%,67.5%,55.4%,47.5%
2.10,9.1%,0.0%,59.1%,76.9%,72.2%
0.88,0.0%,1.4%,58.0%,65.0%,44.8%
1.16,0.0%,1.2%,71.1%,72.9%,50.0%
0.92,1.1%,2.1%,60.0%,59.6%,52.6%
1.24,6.0%,0.0%,67.5%,73.2%,51.9%
1.37,10.9%,0.0%,69.1%,71.1%,58.8%
0.58,2.9%,0.0%,81.2%,50.0%,30.8%
0.83,4.7%,1.2%,74.1%,60.3%,45.5%
1.07,2.2%,0.0%,72.2%,63.1%,56.0%
0.69,4.1%,4.1%,75.5%,40.5%,33.3%
1.39,4.8%,1.2%,75.9%,68.3%,60.0%
0.98,2.6%,2.6%,67.5%,59.6%,56.0%
0.64,2.9%,1.4%,62.9%,59.1%,42.3%
0.91,7.5%,1.5%,65.7%,63.6%,60.9%
0.77,6.3%,4.7%,62.5%,72.5%,29.2%
1.05,3.1%,0.0%,73.8%,64.6%,64.7%
0.70,4.8%,1.6%,59.7%,51.4%,52.0%
0.76,2.7%,8.0%,38.7%,75.9%,41.3%
1.44,15.5%,5.6%,57.7%,87.8%,53.3%
0.88,12.3%,2.6%,70.2%,67.5%,58.8%
0.73,1.8%,3.5%,57.9%,72.7%,25.0%
0.93,9.5%,2.4%,72.6%,78.7%,65.2%
0.61,1.9%,1.9%,71.7%,60.5%,46.7%
1.05,3.7%,1.9%,64.5%,76.8%,42.1%
0.59,1.3%,5.2%,61.0%,61.7%,60.0%
1.00,3.3%,1.1%,65.6%,69.5%,54.8%
1.23,9.6%,1.2%,69.9%,79.3%,72.0%
1.74,18.9%,0.0%,73.6%,84.6%,78.6%
1.16,7.4%,2.5%,69.1%,67.9%,52.0%
1.29,12.7%,1.4%,64.8%,73.9%,56.0%
1.18,8.1%,1.0%,77.8%,76.6%,68.2%
1.72,4.2%,0.0%,60.4%,72.4%,73.7%
1.35,10.9%,0.0%,62.5%,72.5%,66.7%
5.20,30.8%,0.0%,76.9%,96.7%,77.8%
1.55,10.3%,1.7%,74.1%,83.7%,53.3%
6.00,22.2%,0.0%,66.7%,100.0%,66.7%
0.67,0.0%,3.0%,59.1%,69.2%,44.4%
1.50,10.2%,6.1%,61.2%,76.7%,57.9%
1.17,8.2%,1.2%,61.2%,67.3%,54.5%
1.27,7.0%,0.0%,69.0%,89.8%,68.2%
2.30,2.1%,2.1%,72.9%,82.9%,69.2%
0.88,6.6%,4.7%,70.8%,72.0%,41.9%
0.54,2.8%,0.0%,69.4%,66.0%,63.6%
0.79,1.5%,0.8%,63.2%,60.7%,51.0%
1.55,1.7%,1.7%,76.3%,75.6%,50.0%
1.07,0.0%,0.9%,69.4%,64.9%,55.9%
0.50,10.3%,0.0%,67.6%,69.6%,59.1%
0.66,14.3%,0.0%,67.1%,78.7%,52.2%
2.24,18.8%,2.1%,66.7%,84.4%,68.8%
