DR,A%,DF%,1stIn,1st%,2nd%
0.71,3.0%,1.5%,62.1%,68.3%,52.0%
1.52,7.0%,1.4%,67.6%,75.0%,60.9%
0.84,7.5%,1.9%,54.7%,79.3%,45.8%
1.11,2.0%,2.0%,58.2%,66.7%,58.5%
0.76,3.3%,0.0%,70.5%,72.1%,50.0%
1.01,7.3%,0.0%,67.0%,68.5%,58.3%
0.90,1.8%,1.8%,65.5%,51.4%,48.7%
0.96,7.0%,3.5%,70.2%,65.0%,41.2%
0.78,5.2%,0.0%,81.8%,61.9%,50.0%
0.95,3.2%,3.2%,67.0%,65.1%,54.8%
1.77,5.9%,2.0%,64.7%,81.8%,55.6%
0.80,1.8%,1.8%,66.1%,59.5%,36.8%
0.85,8.0%,1.4%,63.0%,65.5%,41.2%
0.80,2.7%,6.8%,64.9%,68.8%,34.6%
1.15,11.0%,2.4%,76.8%,73.0%,36.8%
1.29,6.2%,3.7%,67.9%,70.9%,65.4%
0.74,4.2%,3.2%,67.4%,62.5%,45.2%
1.26,8.3%,0.0%,73.6%,77.4%,42.1%
1.66,2.0%,0.0%,58.0%,72.4%,76.2%
0.81,3.8%,1.9%,67.3%,71.4%,64.7%
0.67,5.9%,1.0%,72.5%,63.5%,46.4%
0.61,5.6%,0.0%,64.8%,65.7%,42.1%
0.41,7.5%,5.0%,62.5%,72.0%,43.3%
0.39,5.0%,1.7%,65.0%,59.0%,47.6%
0.60,17.9%,1.5%,74.6%,72.0%,35.3%
1.62,10.5%,1.8%,64.9%,73.0%,70.0%
1.28,11.0%,2.7%,64.4%,78.7%,76.9%
1.16,13.7%,1.4%,64.4%,72.3%,61.5%
1.31,19.7%,1.5%,77.3%,80.4%,46.7%
0.98,14.0%,1.1%,74.2%,76.8%,50.0%
0.59,5.0%,5.0%,63.7%,58.8%,55.2%
1.81,18.4%,2.0%,57.1%,85.7%,76.2%
0.65,2.2%,13.3%,53.3%,50.0%,33.3%
0.70,3.3%,1.6%,73.8%,68.9%,56.3%
1.16,2.6%,0.0%,71.8%,69.6%,59.1%
1.12,10.6%,1.5%,62.1%,68.3%,52.0%
1.16,3.1%,1.5%,73.8%,68.8%,52.9%
0.79,3.0%,6.0%,65.7%,63.6%,47.8%
1.21,9.0%,4.0%,73.0%,86.3%,48.1%
0.86,10.5%,2.6%,68.4%,67.9%,47.2%
0.69,4.6%,3.1%,76.9%,60.0%,33.3%
0.49,7.0%,0.0%,67.4%,62.1%,64.3%
