DR,A%,DF%,1stIn,1st%,2nd%
0.86,5.0%,11.6%,41.3%,70.0%,43.7%
0.93,6.3%,10.4%,41.7%,75.0%,50.0%
0.95,11.9%,4.8%,41.7%,82.9%,49.0%
1.11,11.8%,8.2%,42.7%,91.5%,49.2%
0.89,1.8%,8.9%,37.5%,61.9%,54.3%
1.28,25.3%,8.9%,54.4%,86.0%,41.7%
1.17,13.9%,8.9%,47.5%,85.4%,62.3%
1.21,6.9%,0.0%,51.7%,71.1%,59.5%
0.84,8.9%,3.8%,49.4%,69.2%,42.5%
0.62,12.2%,3.7%,52.4%,79.1%,41.0%
0.56,9.3%,1.9%,42.6%,82.6%,41.9%
1.48,22.5%,2.8%,52.1%,75.7%,64.7%
1.17,9.5%,4.8%,52.4%,86.4%,50.0%
1.30,17.1%,2.6%,64.5%,75.5%,66.7%
1.70,10.4%,4.2%,50.0%,79.2%,54.2%
1.36,10.3%,1.5%,57.4%,71.8%,51.7%
0.57,5.4%,7.1%,44.6%,72.0%,45.2%
1.11,6.1%,2.0%,62.2%,78.7%,64.9%
0.72,11.9%,7.1%,50.0%,76.2%,35.7%
1.57,10.7%,3.6%,53.6%,80.0%,57.7%
0.66,13.3%,4.4%,48.9%,63.6%,56.5%
1.39,14.5%,4.8%,56.5%,77.1%,55.6%
0.92,17.6%,1.0%,60.8%,74.2%,52.5%
2.15,20.0%,5.0%,60.0%,83.3%,62.5%
1.14,12.6%,4.6%,64.4%,76.8%,54.8%
1.69,12.5%,3.1%,51.6%,93.9%,58.1%
1.13,17.9%,12.8%,43.6%,88.2%,40.9%
0.91,13.3%,12.0%,40.0%,70.0%,48.9%
1.61,14.0%,4.0%,54.0%,70.4%,56.5%
2.48,13.9%,11.1%,55.6%,80.0%,75.0%
1.17,8.8%,6.6%,46.2%,83.3%,53.1%
0.57,10.7%,6.0%,58.3%,67.3%,34.3%
0.80,9.4%,3.8%,60.4%,75.0%,33.3%
1.27,7.1%,8.6%,61.4%,74.4%,63.0%
1.15,5.8%,4.1%,57.9%,72.9%,58.8%
1.51,5.2%,1.7%,56.9%,75.8%,60.0%
1.51,3.8%,2.5%,62.5%,80.0%,50.0%
