DR,A%,DF%,1stIn,1st%,2nd%
1.15,2.2%,8.9%,65.6%,64.4%,45.2%
2.70,5.7%,5.7%,62.9%,86.4%,69.2%
1.67,1.8%,1.8%,56.4%,61.3%,79.2%
1.39,0.0%,4.7%,60.9%,76.9%,56.0%
1.41,0.0%,1.7%,61.0%,83.3%,56.5%
1.97,4.3%,2.2%,60.9%,78.6%,77.8%
2.02,4.1%,2.0%,69.4%,88.2%,53.3%
1.56,3.5%,5.3%,54.4%,74.2%,69.2%
1.35,3.2%,9.5%,55.6%,60.0%,50.0%
2.94,15.6%,6.3%,40.6%,84.6%,68.4%
1.17,0.0%,0.0%,33.3%,100.0%,50.0%
1.08,2.9%,3.9%,59.2%,67.2%,57.1%
1.17,2.2%,3.3%,59.3%,68.5%,64.9%
1.37,4.4%,2.9%,61.8%,73.8%,65.4%
1.37,4.8%,3.6%,61.9%,65.4%,68.8%
0.66,1.4%,0.0%,53.4%,74.4%,44.1%
1.21,8.1%,3.2%,67.7%,76.2%,50.0%
1.49,2.5%,8.9%,69.6%,81.8%,41.7%
1.47,3.6%,5.5%,60.0%,72.7%,50.0%
1.29,10.5%,4.2%,44.2%,81.0%,47.2%
0.74,5.6%,0.0%,50.0%,51.9%,48.1%
0.65,0.0%,5.0%,56.7%,50.0%,46.2%
1.21,1.2%,4.9%,62.2%,62.7%,45.2%
0.99,2.1%,1.0%,58.3%,58.9%,52.5%
1.11,3.5%,5.8%,48.8%,76.2%,47.7%
1.44,0.0%,4.8%,61.9%,71.8%,66.7%
1.70,6.1%,6.1%,60.6%,85.0%,53.8%
0.82,4.7%,3.1%,43.8%,53.6%,47.2%
1.09,8.3%,4.2%,48.6%,71.4%,59.5%
0.85,2.7%,1.4%,62.2%,52.2%,60.7%
1.58,8.3%,5.0%,63.3%,65.8%,59.1%
1.14,1.3%,3.8%,50.6%,70.0%,48.7%
1.60,4.2%,4.2%,41.7%,60.0%,71.4%
1.43,11.3%,3.2%,56.5%,77.1%,40.7%
0.80,6.4%,8.5%,51.1%,45.8%,47.8%
1.85,8.5%,4.3%,55.3%,80.8%,57.1%
1.27,0.0%,2.9%,61.4%,62.8%,66.7%
0.91,10.3%,3.8%,52.6%,85.4%,45.9%
0.48,7.7%,3.8%,48.1%,76.0%,40.7%
1.59,3.9%,2.0%,66.7%,79.4%,64.7%
1.38,1.7%,3.3%,58.3%,71.4%,60.0%
0.79,4.2%,3.2%,68.4%,60.0%,46.7%
1.08,4.0%,1.3%,64.0%,62.5%,55.6%
1.63,2.0%,2.0%,46.9%,73.9%,65.4%
1.39,2.7%,0.0%,68.9%,74.5%,65.2%
0.47,2.5%,5.0%,67.5%,55.6%,38.5%
1.31,4.5%,0.0%,55.1%,63.3%,72.5%
0.45,2.1%,6.3%,58.3%,39.3%,35.0%
1.37,5.1%,0.0%,63.3%,78.0%,41.4%
1.07,2.5%,2.5%,67.9%,69.1%,46.2%
0.98,11.7%,6.5%,53.2%,68.3%,50.0%
0.84,2.0%,7.0%,48.0%,50.0%,50.0%
1.23,5.6%,1.4%,55.6%,72.5%,62.5%
1.55,1.5%,1.5%,60.3%,75.6%,63.0%
0.90,1.2%,6.2%,45.7%,67.6%,59.1%
0.54,0.0%,8.2%,57.1%,57.1%,38.1%
0.73,1.9%,0.0%,60.4%,62.5%,52.4%
0.96,5.1%,5.1%,60.3%,66.0%,61.3%
1.18,7.1%,4.3%,57.1%,65.0%,46.7%
0.86,2.6%,5.3%,56.6%,67.4%,48.5%
0.48,0.0%,7.1%,67.9%,52.6%,27.8%
1.02,1.2%,4.7%,57.0%,59.2%,56.8%
1.05,1.9%,8.7%,60.6%,63.5%,41.5%
1.32,2.9%,5.8%,56.5%,82.1%,56.7%
0.98,7.5%,1.3%,72.5%,63.8%,59.1%
0.46,0.0%,12.0%,58.7%,59.1%,38.7%
0.78,2.8%,2.8%,60.6%,58.1%,53.6%
0.71,0.0%,7.4%,50.0%,59.3%,55.6%
0.89,1.9%,0.0%,68.6%,58.3%,60.6%
0.70,1.5%,8.8%,51.5%,62.9%,39.4%
0.51,5.9%,5.9%,60.3%,63.4%,40.7%
0.93,3.8%,1.9%,54.8%,64.9%,57.4%
1.74,1.9%,1.9%,71.7%,73.7%,73.3%
1.49,1.9%,5.6%,50.0%,77.8%,59.3%
1.65,2.0%,4.1%,73.5%,80.6%,61.5%
1.25,6.4%,5.1%,73.1%,70.2%,38.1%
0.85,1.0%,4.0%,56.4%,71.9%,43.2%
1.16,4.9%,0.0%,61.0%,66.0%,62.5%
1.36,3.0%,3.0%,56.1%,67.6%,65.5%
0.87,2.2%,2.2%,59.8%,54.5%,45.9%
1.02,3.0%,4.0%,62.4%,63.5%,44.7%
1.79,6.5%,0.0%,54.3%,80.0%,66.7%
0.64,1.7%,6.9%,55.2%,53.1%,38.5%
1.55,5.8%,1.9%,75.0%,76.9%,76.9%
0.79,2.5%,3.8%,65.0%,80.8%,53.6%
1.17,5.0%,3.0%,63.4%,65.6%,54.1%
1.25,1.5%,3.0%,66.7%,70.5%,54.5%
2.07,16.3%,0.0%,72.1%,77.4%,50.0%
1.31,10.0%,1.4%,60.0%,71.4%,57.1%
0.72,5.5%,5.5%,52.7%,62.1%,42.3%
1.54,5.3%,5.3%,57.9%,81.8%,58.3%
0.86,3.9%,4.9%,72.5%,66.2%,53.6%
1.28,6.9%,2.9%,60.8%,71.0%,57.5%
0.77,0.0%,7.3%,54.5%,56.7%,36.0%
0.66,9.3%,1.9%,63.0%,44.1%,30.0%
0.80,15.6%,1.6%,64.1%,61.0%,73.9%
0.94,5.5%,4.5%,58.2%,65.6%,50.0%
0.99,2.1%,6.4%,56.4%,64.2%,48.8%
0.67,0.0%,4.0%,56.0%,53.6%,40.9%
1.01,7.6%,1.1%,71.7%,72.7%,57.7%
1.10,3.1%,2.1%,62.5%,56.7%,47.2%
0.77,1.6%,3.2%,45.2%,67.9%,50.0%
1.30,1.3%,2.6%,50.0%,68.4%,52.6%
1.25,5.7%,5.7%,58.6%,80.5%,37.9%
1.22,0.0%,1.4%,56.9%,58.5%,58.1%
0.73,1.6%,3.2%,51.6%,56.3%,40.0%
1.18,4.1%,2.7%,58.1%,69.8%,58.1%
1.23,5.3%,5.3%,65.8%,68.0%,53.8%
0.75,6.3%,3.1%,59.4%,63.2%,30.8%
1.87,2.2%,6.7%,62.2%,78.6%,64.7%
0.44,7.7%,5.1%,43.6%,64.7%,22.7%
1.50,4.4%,0.0%,64.4%,65.5%,68.8%
0.51,1.7%,0.0%,63.8%,54.1%,47.6%
1.46,3.3%,0.0%,63.9%,76.9%,68.2%
0.75,2.4%,2.4%,63.1%,62.3%,61.3%
1.15,4.1%,4.1%,53.4%,69.2%,55.9%
0.91,1.1%,3.2%,71.6%,63.2%,40.7%
0.93,1.3%,8.9%,54.4%,67.4%,47.2%
1.10,4.5%,6.0%,50.7%,85.3%,36.4%
1.47,1.5%,0.0%,55.2%,78.4%,76.7%
1.01,2.9%,4.8%,60.6%,63.5%,39.0%
0.75,5.9%,5.9%,51.5%,57.7%,42.9%
1.43,7.9%,3.2%,65.1%,70.7%,63.6%
0.82,6.0%,0.0%,46.4%,64.1%,64.4%
0.46,3.6%,5.4%,60.7%,55.9%,31.8%
1.00,10.8%,2.5%,64.2%,75.3%,51.2%
0.88,8.1%,9.3%,58.1%,70.0%,52.8%
1.04,9.6%,3.7%,60.0%,70.4%,48.1%
0.84,0.0%,5.6%,55.1%,59.2%,50.0%
1.25,5.9%,1.5%,47.1%,71.9%,47.2%
0.63,2.5%,0.8%,69.2%,59.0%,51.4%
1.19,5.3%,5.3%,48.0%,77.8%,56.4%
