Plyaer1,Player2,Decision Tree,Mean,Mode,KDE,Average 
Jannik Sinner,Tommy Paul,,,,,
Carlos Alcaraz,Lorenzo Musetti,,,,,
Jannik Sinner,Casper Ruud,,,,,
Tommy Paul,Hubert Hurkacz,,,,,
Jack Draper,Carlos Alcaraz,,,,,
Lorenzo Musetti,Alexander Zverev,,,,,
Jannik Sinner,Francisco Cerundolo,,,,,
Jaume Munar,Casper Ruud,,,,,
Hubert Hurkacz,Jakub Mensik,,,,,
Tommy Paul,Alex de Minaur,,,,,
Jack Draper,Corentin Moutet,,,,,
Carlos Alcaraz,Karen Khachanov,,,,,
Lorenzo Musetti,Daniil Medvedev,,,,,
Arthur Fils,Alexander Zverev,,,,,
Jannik Sinner,Mariano Navone,,,,,
Jesper de Jong,Alejandro Davidovich Fokina,,,,,
Nicolas Jarry,Francisco Cerundolo,,,,,
Frances Tiafoe,Sebastian Ofner,,,,,
Ben Shelton,Jaume Munar,,,,,
Matteo Berrettini,Jacob Fearnley,,,,,
Alexander Bublik,Casper Ruud,,,,,
Taylor Fritz,Marcos Giron,,,,,
Pedro Martinez,Hubert Hurkacz,,,,,
Jakub Mensik,Matteo Gigante,,,,,
Fabian Marozsan,Andrey Rublev,,,,,
Tommy Paul,Roberto Bautista Agut,,,,,
Learner Tien,Tomas Machac,,,,,
Hugo Dellien,Thiago Seyboth Wild,,,,,
Luca Nardi,Alex de Minaur,,,,,
