DR,A%,DF%,1stIn,1st%,2nd%
0.85,0.0%,1.9%,59.8%,51.6%,41.9%
0.83,0.0%,2.0%,65.3%,46.9%,47.1%
0.75,1.5%,2.9%,63.2%,51.2%,44.0%
0.88,1.6%,0.0%,63.5%,60.0%,56.5%
1.01,1.1%,2.2%,60.0%,66.7%,58.3%
0.93,1.3%,5.2%,68.8%,71.7%,41.7%
1.53,4.1%,5.5%,67.1%,75.5%,58.3%
1.22,1.4%,4.1%,72.6%,56.6%,50.0%
1.14,5.7%,7.1%,51.4%,80.6%,44.1%
0.86,1.0%,3.0%,69.7%,56.5%,46.7%
1.05,2.4%,0.0%,62.2%,66.7%,48.4%
1.09,9.7%,6.2%,54.0%,78.7%,48.1%
1.20,4.9%,2.5%,61.7%,74.0%,58.1%
0.75,4.3%,4.3%,58.7%,74.1%,36.8%
1.58,3.6%,0.0%,66.1%,73.0%,57.9%
0.99,3.4%,0.0%,62.5%,76.4%,39.4%
0.57,5.2%,3.4%,70.7%,63.4%,41.2%
