DR,A%,DF%,1stIn,1st%,2nd%
0.58,6.0%,0.0%,64.0%,62.5%,33.3%
1.19,1.4%,0.0%,79.7%,76.4%,71.4%
1.41,3.3%,1.6%,72.1%,72.7%,41.2%
0.81,2.7%,1.4%,64.9%,72.9%,34.6%
1.62,0.0%,3.9%,68.6%,71.4%,56.3%
1.44,4.5%,4.5%,70.5%,80.6%,61.5%
2.05,6.8%,2.3%,54.5%,83.3%,70.0%
0.79,1.5%,4.4%,60.3%,68.3%,44.4%
0.66,3.8%,3.8%,73.6%,64.1%,50.0%
1.01,0.0%,0.0%,69.6%,62.5%,38.1%
0.65,3.0%,3.0%,66.7%,52.3%,45.5%
1.26,1.2%,1.2%,65.1%,71.4%,50.0%
0.89,6.3%,2.1%,61.5%,66.1%,40.5%
1.20,1.1%,0.0%,63.2%,70.9%,62.5%
1.08,2.1%,2.1%,73.7%,52.9%,52.0%
0.84,2.0%,4.0%,61.6%,65.6%,55.3%
0.46,0.0%,3.6%,64.3%,22.2%,40.0%
1.27,2.1%,2.1%,69.8%,65.7%,62.1%
1.28,0.0%,0.0%,63.8%,70.3%,66.7%
0.75,1.4%,4.2%,70.4%,60.0%,57.1%
1.62,3.6%,0.0%,69.1%,71.1%,64.7%
