DR,A%,DF%,1stIn,1st%,2nd%
0.61,2.1%,4.3%,63.8%,43.3%,29.4%
0.96,1.9%,0.0%,67.0%,76.1%,45.7%
1.65,3.9%,0.0%,70.6%,69.4%,66.7%
0.96,5.9%,1.5%,58.8%,62.5%,50.0%
1.08,1.2%,4.7%,73.3%,60.3%,47.8%
1.53,6.3%,8.3%,58.3%,78.6%,50.0%
0.78,2.8%,2.8%,67.9%,63.5%,34.3%
2.06,2.1%,0.0%,68.1%,81.3%,73.3%
1.08,0.8%,0.0%,62.7%,59.5%,59.1%
1.44,5.7%,2.9%,58.6%,75.6%,58.6%
1.31,2.2%,0.0%,57.8%,57.7%,60.5%
0.74,3.2%,2.1%,70.5%,67.2%,42.9%
1.29,5.6%,0.0%,69.0%,75.5%,63.6%
0.94,2.7%,5.5%,54.8%,50.0%,60.6%
0.52,5.6%,2.8%,59.2%,61.9%,62.1%
1.16,0.0%,2.5%,70.4%,64.9%,50.0%
1.56,2.1%,6.4%,68.1%,78.1%,40.0%
1.23,10.4%,2.1%,71.9%,73.9%,51.9%
1.28,6.8%,1.4%,67.6%,76.0%,58.3%
0.83,1.2%,2.4%,64.7%,61.8%,50.0%
1.13,1.5%,1.5%,62.1%,68.3%,48.0%
0.98,2.2%,0.0%,76.9%,67.1%,42.9%
1.17,7.8%,2.9%,76.5%,62.8%,37.5%
1.34,12.1%,3.0%,69.7%,73.9%,50.0%
