DR,A%,DF%,1stIn,1st%,2nd%
0.64,0.0%,4.7%,64.2%,54.4%,47.4%
1.46,3.4%,3.4%,62.7%,81.1%,50.0%
0.98,3.0%,5.0%,56.4%,66.7%,43.2%
0.92,4.3%,0.9%,50.4%,74.1%,49.1%
0.55,9.5%,1.4%,74.3%,67.3%,68.4%
1.07,4.3%,0.9%,68.7%,68.4%,38.9%
0.73,3.4%,5.6%,56.2%,54.0%,53.8%
1.27,8.1%,2.7%,55.4%,73.2%,63.6%
0.91,7.0%,3.5%,60.0%,66.7%,54.3%
0.67,0.0%,5.6%,51.4%,59.5%,37.1%
0.74,3.8%,2.9%,62.5%,67.7%,43.6%
0.85,8.2%,1.8%,60.0%,69.7%,38.6%
0.94,11.1%,1.9%,67.6%,72.6%,51.4%
0.79,14.4%,5.6%,67.2%,78.6%,39.0%
