DR,A%,DF%,1stIn,1st%,2nd%
1.00,12.5%,9.1%,67.0%,67.8%,48.3%
0.51,5.4%,7.1%,55.4%,67.7%,40.0%
1.00,3.4%,4.5%,54.5%,75.0%,52.5%
0.97,4.4%,4.4%,58.9%,62.3%,48.6%
1.65,14.8%,7.4%,57.4%,90.3%,47.8%
1.12,4.6%,6.2%,47.7%,83.9%,58.8%
1.04,17.5%,3.5%,59.6%,79.4%,47.8%
1.22,5.4%,0.0%,51.8%,79.3%,48.1%
1.06,3.6%,3.6%,59.5%,78.0%,50.0%
1.01,5.0%,4.0%,69.3%,65.7%,48.4%
1.81,7.0%,1.8%,59.6%,82.4%,78.3%
1.39,5.5%,3.6%,63.6%,80.0%,50.0%
0.99,5.4%,1.1%,57.6%,69.8%,48.7%
0.78,10.1%,7.9%,60.7%,72.2%,48.6%
1.21,8.0%,2.7%,69.3%,69.2%,47.8%
0.89,4.0%,2.7%,57.3%,76.7%,46.9%
