DR,A%,DF%,1stIn,1st%,2nd%
0.69,7.7%,3.1%,53.8%,68.6%,50.0%
1.30,9.4%,1.6%,59.4%,76.3%,65.4%
0.82,9.4%,1.9%,56.6%,63.3%,60.9%
3.10,17.1%,0.0%,62.9%,90.9%,61.5%
1.48,0.0%,0.0%,58.8%,73.3%,47.6%
1.04,7.1%,4.0%,46.5%,73.9%,49.1%
0.83,9.9%,2.0%,65.3%,69.7%,45.7%
0.90,7.1%,2.4%,48.8%,70.7%,58.1%
0.73,6.5%,3.3%,42.4%,69.2%,45.3%
0.86,9.5%,0.0%,62.1%,73.6%,43.2%
0.85,5.2%,2.6%,58.4%,75.6%,34.4%
0.75,7.1%,3.5%,65.9%,73.2%,44.8%
0.92,9.9%,7.9%,55.4%,73.2%,46.7%
0.74,12.5%,2.3%,61.7%,70.9%,46.9%
