DR,A%,DF%,1stIn,1st%,2nd%
0.80,1.4%,4.2%,56.9%,56.1%,48.4%
1.20,4.8%,1.6%,40.3%,76.0%,62.2%
1.32,8.6%,0.0%,56.9%,87.9%,36.0%
0.55,1.7%,1.7%,60.3%,71.4%,39.1%
1.50,1.6%,0.0%,54.8%,79.4%,75.0%
3.21,2.5%,0.0%,70.0%,82.1%,91.7%
0.78,1.3%,7.8%,51.9%,57.5%,51.4%
1.88,4.4%,4.4%,51.1%,87.0%,59.1%
1.21,7.7%,1.9%,76.9%,82.5%,58.3%
1.11,1.1%,3.2%,52.1%,73.5%,40.0%
3.32,0.0%,0.0%,51.6%,75.0%,80.0%
1.46,6.5%,6.5%,52.2%,58.3%,54.5%
1.26,3.8%,2.5%,52.5%,78.6%,52.6%
1.01,10.8%,4.6%,63.1%,61.0%,62.5%
1.17,1.0%,3.0%,54.5%,70.4%,62.2%
2.22,10.4%,0.0%,66.7%,87.5%,75.0%
0.79,3.0%,1.5%,50.7%,64.7%,27.3%
1.79,4.1%,6.1%,40.8%,80.0%,65.5%
2.07,4.7%,9.3%,58.1%,92.0%,55.6%
0.85,2.7%,5.4%,48.6%,66.7%,47.4%
