DR,A%,DF%,1stIn,1st%,2nd%
0.63,0.0%,6.1%,69.4%,50.0%,33.3%
1.48,5.9%,0.0%,74.5%,73.7%,53.8%
1.33,10.3%,6.9%,58.6%,73.5%,62.5%
1.34,8.1%,3.2%,67.7%,69.0%,65.0%
1.30,4.0%,0.0%,66.7%,74.0%,68.0%
0.92,1.2%,0.0%,70.9%,75.4%,40.0%
0.66,5.3%,6.6%,57.9%,63.6%,37.5%
1.16,3.2%,3.2%,65.3%,61.3%,57.6%
1.87,15.6%,6.7%,66.7%,86.7%,53.3%
1.02,10.4%,0.0%,76.0%,69.9%,56.5%
0.28,0.0%,14.3%,42.9%,33.3%,25.0%
1.08,2.3%,3.4%,59.1%,67.3%,55.6%
0.58,0.0%,8.9%,60.7%,47.1%,50.0%
0.94,5.0%,2.5%,68.6%,63.9%,36.8%
0.89,1.6%,9.7%,62.9%,64.1%,52.2%
1.24,13.0%,1.4%,66.7%,80.4%,65.2%
1.21,9.8%,1.6%,63.9%,76.9%,40.9%
1.21,9.1%,2.6%,74.0%,77.2%,40.0%
