DR,A%,DF%,1stIn,1st%,2nd%
2.42,2.6%,0.0%,73.7%,75.0%,80.0%
1.32,1.9%,0.0%,73.1%,57.9%,50.0%
1.79,9.6%,1.9%,69.2%,88.9%,43.8%
1.14,0.0%,2.7%,65.8%,70.8%,48.0%
2.96,6.5%,0.0%,80.6%,84.0%,66.7%
1.13,6.9%,1.1%,75.9%,56.1%,47.6%
1.86,15.2%,8.7%,67.4%,87.1%,40.0%
2.46,2.5%,0.0%,75.0%,80.0%,60.0%
1.00,1.1%,1.1%,71.9%,54.7%,56.0%
1.28,2.6%,5.2%,53.2%,63.4%,66.7%
0.77,5.9%,2.9%,66.7%,58.8%,35.3%
0.85,4.5%,3.6%,48.2%,62.3%,50.9%
1.16,1.0%,8.0%,66.0%,66.7%,38.2%
1.03,2.4%,2.4%,73.2%,55.0%,45.5%
0.42,2.6%,10.5%,65.8%,56.0%,46.2%
0.74,1.9%,11.3%,56.6%,60.0%,34.8%
0.67,9.1%,5.5%,65.5%,61.1%,57.9%
1.10,0.9%,8.0%,71.7%,71.6%,43.8%
0.81,1.5%,14.9%,56.7%,60.5%,24.1%
0.78,2.2%,8.7%,58.7%,50.0%,42.1%
1.19,3.5%,8.1%,58.1%,62.0%,52.8%
1.02,1.2%,12.8%,65.1%,66.1%,36.7%
2.14,2.4%,0.0%,58.5%,87.5%,64.7%
