DR,A%,DF%,1stIn,1st%,2nd%
0.81,1.1%,3.2%,55.3%,63.5%,38.1%
1.14,5.0%,1.0%,54.5%,67.3%,47.8%
1.59,1.9%,5.6%,59.3%,78.1%,54.5%
1.11,7.2%,2.7%,60.4%,76.1%,38.6%
1.37,2.8%,1.4%,62.5%,73.3%,66.7%
1.02,3.6%,3.6%,69.1%,71.1%,41.2%
0.46,9.5%,4.8%,57.1%,66.7%,44.4%
0.95,5.6%,4.2%,72.2%,69.2%,50.0%
1.19,6.6%,0.0%,65.8%,72.0%,53.8%
1.06,6.3%,5.1%,68.4%,74.1%,52.0%
0.78,1.5%,3.0%,61.2%,63.4%,42.3%
0.72,3.1%,3.1%,64.6%,64.3%,39.1%
1.86,4.2%,0.0%,64.6%,80.6%,64.7%
0.59,7.7%,13.5%,65.4%,55.9%,44.4%
0.61,5.6%,5.6%,38.9%,71.4%,45.5%
0.87,7.4%,1.5%,55.9%,60.5%,66.7%
1.22,10.4%,1.5%,59.7%,70.0%,59.3%
1.73,13.5%,1.9%,65.4%,82.4%,50.0%
