DR,A%,DF%,1stIn,1st%,2nd%
1.85,10.4%,4.2%,70.8%,85.3%,42.9%
0.72,15.8%,5.3%,66.3%,73.0%,37.5%
1.33,8.5%,4.2%,63.4%,75.6%,61.5%
0.50,8.2%,2.0%,61.2%,66.7%,36.8%
0.79,16.9%,8.5%,53.5%,76.3%,54.5%
1.14,13.0%,6.5%,54.5%,81.0%,51.4%
1.08,11.8%,3.2%,65.6%,72.1%,59.4%
0.90,10.5%,7.9%,66.7%,68.4%,52.6%
1.48,3.7%,0.0%,68.5%,70.3%,52.9%
1.57,9.3%,5.6%,61.1%,78.8%,61.9%
0.74,5.1%,6.3%,51.9%,63.4%,42.1%
0.80,17.0%,8.9%,58.9%,78.8%,47.8%
1.51,16.7%,5.6%,63.0%,88.2%,50.0%
0.80,14.4%,9.6%,57.7%,65.0%,47.7%
1.24,26.7%,6.7%,71.7%,81.4%,41.2%
1.06,8.6%,3.2%,62.4%,67.2%,51.4%
1.17,21.6%,6.8%,58.0%,80.4%,40.5%
1.33,23.8%,3.8%,71.3%,84.2%,43.5%
0.77,16.0%,9.9%,53.1%,81.4%,44.7%
