DR,A%,DF%,1stIn,1st%,2nd%
1.39,4.3%,2.9%,54.3%,81.6%,53.1%
0.56,3.1%,4.6%,49.2%,59.4%,48.5%
1.23,5.2%,0.0%,67.2%,69.2%,68.4%
1.30,3.2%,0.0%,58.7%,62.2%,69.2%
0.60,6.2%,3.1%,76.9%,60.0%,40.0%
0.64,1.9%,3.7%,61.1%,39.4%,47.6%
0.99,3.6%,6.5%,64.5%,59.6%,44.9%
0.79,7.2%,0.0%,60.9%,50.0%,59.3%
1.13,11.0%,0.0%,67.1%,67.3%,54.2%
0.93,5.6%,0.0%,62.0%,72.7%,66.7%
1.14,5.6%,4.2%,70.8%,68.6%,38.1%
0.75,1.9%,1.9%,63.0%,64.7%,40.0%
1.14,0.0%,3.5%,62.8%,66.7%,53.1%
0.57,6.9%,8.6%,51.7%,66.7%,46.4%
1.13,5.4%,0.0%,75.7%,67.9%,44.4%
0.48,1.6%,1.6%,74.6%,55.3%,37.5%
0.74,0.0%,9.4%,66.0%,45.7%,38.9%
