DR,A%,DF%,1stIn,1st%,2nd%
0.62,2.7%,4.1%,75.3%,58.2%,44.4%
0.96,0.9%,2.7%,75.7%,58.3%,33.3%
0.61,6.2%,1.5%,70.8%,65.2%,31.6%
1.08,4.5%,1.8%,75.5%,66.3%,63.0%
1.03,2.7%,4.1%,67.1%,57.1%,45.8%
0.63,1.4%,1.4%,72.2%,53.8%,30.0%
0.92,0.8%,3.3%,56.6%,60.9%,49.1%
1.33,3.2%,3.2%,66.7%,73.8%,66.7%
0.73,7.1%,4.8%,69.0%,62.1%,34.6%
1.39,9.6%,1.1%,67.0%,68.3%,71.0%
0.49,0.0%,4.0%,70.0%,54.3%,26.7%
1.73,3.6%,1.8%,78.2%,83.7%,58.3%
0.94,3.0%,2.0%,68.7%,70.6%,51.6%
1.06,2.5%,2.5%,62.5%,64.0%,43.3%
2.25,2.5%,0.0%,70.0%,78.6%,66.7%
0.92,1.7%,1.7%,69.5%,59.8%,58.3%
0.76,1.8%,0.0%,65.5%,47.2%,52.6%
0.69,2.9%,4.3%,68.1%,59.6%,31.8%
1.14,0.9%,1.8%,63.4%,73.2%,46.3%
1.38,3.3%,0.0%,68.3%,75.6%,52.6%
1.27,6.4%,1.3%,60.3%,78.7%,54.8%
1.59,3.0%,3.0%,66.7%,77.3%,68.2%
