DR,A%,DF%,1stIn,1st%,2nd%
0.81,3.5%,0.0%,56.1%,62.5%,44.0%
1.26,13.2%,1.5%,66.2%,71.1%,65.2%
0.83,11.7%,5.2%,50.6%,84.6%,39.5%
0.88,8.3%,6.0%,64.3%,72.2%,46.7%
0.49,15.8%,7.0%,66.7%,63.2%,42.1%
1.02,3.4%,4.3%,62.4%,74.0%,43.2%
1.00,8.9%,7.6%,65.8%,67.3%,33.3%
1.05,2.8%,5.6%,63.6%,76.5%,48.7%
0.79,17.7%,4.4%,62.8%,77.5%,42.9%
1.00,5.8%,4.7%,44.2%,71.1%,58.3%
1.16,6.0%,1.2%,62.7%,78.8%,51.6%
1.21,20.5%,1.3%,70.5%,83.6%,47.8%
2.16,17.8%,2.2%,66.7%,93.3%,60.0%
0.81,6.7%,1.7%,68.3%,65.9%,68.4%
0.82,5.6%,3.7%,59.3%,78.1%,36.4%
0.75,0.7%,4.9%,64.6%,66.7%,39.2%
