DR,A%,DF%,1stIn,1st%,2nd%
0.43,1.7%,6.7%,66.7%,70.0%,35.0%
1.46,4.3%,1.4%,67.1%,80.9%,60.9%
2.13,9.5%,7.1%,69.0%,79.3%,61.5%
0.68,0.0%,5.4%,62.5%,57.1%,47.6%
1.23,3.1%,1.5%,81.5%,67.9%,75.0%
1.09,2.8%,6.5%,69.2%,67.6%,54.5%
1.09,2.5%,2.5%,59.5%,68.1%,56.3%
1.11,1.9%,1.9%,65.0%,61.2%,63.9%
1.47,2.0%,2.0%,71.4%,65.7%,50.0%
2.00,12.8%,4.3%,66.0%,80.6%,62.5%
0.89,4.7%,5.8%,66.3%,63.2%,58.6%
0.99,2.3%,1.1%,62.1%,61.1%,66.7%
1.10,1.0%,3.0%,64.4%,61.5%,63.9%
2.56,5.4%,0.0%,70.3%,76.9%,81.8%
0.68,0.0%,1.5%,73.5%,58.0%,55.6%
0.98,1.6%,0.8%,77.8%,63.3%,57.1%
1.15,10.3%,6.4%,65.4%,66.7%,37.0%
1.07,0.0%,6.3%,63.3%,60.0%,48.3%
1.66,2.0%,4.0%,74.0%,75.7%,61.5%
1.78,5.6%,3.7%,55.6%,70.0%,70.8%
