DR,A%,DF%,1stIn,1st%,2nd%
0.67,9.3%,7.0%,62.8%,61.1%,43.8%
0.57,8.3%,8.3%,50.0%,58.3%,41.7%
0.87,3.6%,2.7%,61.8%,70.6%,54.8%
1.04,7.7%,4.3%,57.3%,70.1%,48.0%
2.62,10.8%,0.0%,59.5%,81.8%,73.3%
0.97,6.0%,2.4%,60.2%,76.0%,48.5%
1.13,17.3%,1.2%,72.8%,66.1%,54.5%
0.36,6.8%,6.8%,61.0%,52.8%,34.8%
0.99,7.1%,7.1%,61.4%,83.7%,48.1%
1.63,5.7%,5.7%,66.0%,80.0%,66.7%
2.07,13.6%,1.7%,64.4%,89.5%,61.9%
0.89,2.9%,14.3%,50.0%,65.7%,51.4%
1.33,2.8%,4.2%,64.8%,76.1%,48.0%
1.50,11.9%,6.8%,54.2%,78.1%,48.1%
0.86,8.1%,4.1%,56.8%,73.8%,50.0%
0.66,3.5%,1.2%,64.0%,74.5%,48.4%
0.89,14.3%,1.9%,60.0%,71.4%,52.4%
0.39,2.0%,12.0%,56.0%,71.4%,31.8%
0.93,5.4%,1.1%,87.0%,65.0%,33.3%
1.47,8.1%,1.2%,70.9%,70.5%,64.0%
1.38,12.5%,2.5%,72.5%,81.0%,40.9%
