DR,A%,DF%,1stIn,1st%,2nd%
0.95,4.6%,0.9%,53.7%,72.4%,42.0%
1.26,17.9%,3.0%,71.6%,79.2%,57.9%
0.92,0.0%,2.7%,60.3%,63.6%,37.9%
1.75,7.1%,2.4%,52.4%,77.3%,60.0%
0.54,3.8%,5.7%,60.4%,59.4%,28.6%
1.31,7.6%,1.5%,54.5%,72.2%,63.3%
1.40,11.8%,1.5%,66.2%,71.1%,65.2%
0.87,3.3%,8.2%,54.1%,60.6%,35.7%
1.07,5.5%,2.2%,59.3%,81.5%,56.8%
1.44,11.8%,0.0%,67.1%,78.9%,67.9%
1.10,7.6%,2.9%,69.5%,83.6%,50.0%
1.19,8.6%,1.1%,72.0%,64.2%,65.4%
2.24,22.4%,0.0%,81.6%,82.5%,88.9%
1.30,9.7%,4.8%,74.2%,71.7%,56.3%
0.71,4.4%,5.3%,62.3%,71.8%,39.5%
1.15,12.8%,0.0%,59.0%,73.9%,62.5%
1.38,11.5%,1.6%,60.7%,78.4%,62.5%
1.03,14.5%,3.6%,63.6%,77.1%,50.0%
2.57,38.9%,0.0%,55.6%,90.0%,75.0%
1.68,8.3%,0.0%,58.3%,89.3%,60.0%
