DR,A%,DF%,1stIn,1st%,2nd%
0.97,7.2%,4.1%,54.6%,71.7%,45.5%
1.03,5.8%,3.3%,52.1%,68.3%,53.4%
1.31,12.1%,3.0%,59.1%,82.1%,40.7%
1.43,21.3%,4.9%,49.2%,80.0%,51.6%
0.71,10.8%,3.1%,63.1%,75.6%,50.0%
0.56,6.9%,4.2%,65.3%,66.0%,52.0%
1.42,0.0%,0.0%,60.7%,85.3%,50.0%
0.85,4.7%,1.9%,58.5%,66.1%,47.7%
1.09,7.0%,0.7%,58.7%,71.4%,55.9%
0.95,8.0%,3.0%,54.0%,70.4%,52.2%
1.40,12.3%,11.0%,52.1%,73.7%,54.3%
0.72,9.9%,7.4%,56.8%,71.7%,37.1%
1.43,4.1%,0.0%,66.2%,75.5%,60.0%
1.40,10.0%,0.0%,71.3%,70.2%,60.9%
0.92,10.8%,1.2%,63.9%,69.8%,53.3%
1.44,15.0%,0.0%,66.7%,90.0%,70.0%
0.90,8.2%,0.0%,62.9%,78.7%,33.3%
1.46,18.3%,3.2%,59.1%,72.7%,52.6%
0.91,10.4%,1.5%,53.7%,77.8%,64.5%
1.76,11.6%,0.0%,58.1%,76.0%,55.6%
1.47,2.4%,4.9%,53.7%,68.2%,52.6%
1.61,10.9%,3.1%,57.8%,86.5%,55.6%
2.34,20.9%,2.3%,55.8%,91.7%,63.2%
