DR,A%,DF%,1stIn,1st%,2nd%
0.75,1.3%,6.7%,57.3%,62.8%,37.5%
1.15,4.1%,0.0%,63.0%,63.0%,70.4%
1.93,4.4%,2.2%,55.6%,76.0%,75.0%
0.93,2.8%,5.6%,69.0%,67.3%,36.4%
0.59,5.4%,7.1%,64.3%,58.3%,50.0%
2.10,0.0%,0.0%,66.7%,75.0%,50.0%
1.63,9.8%,0.0%,49.0%,80.0%,69.2%
1.39,5.6%,1.4%,73.2%,73.1%,68.4%
0.88,0.0%,4.9%,60.2%,72.6%,31.7%
1.85,9.5%,4.8%,61.9%,80.8%,56.3%
1.57,1.9%,1.9%,60.4%,75.0%,66.7%
1.28,6.3%,5.4%,62.2%,78.3%,54.8%
0.63,1.4%,4.3%,68.1%,70.2%,31.8%
1.09,5.3%,2.7%,68.0%,68.6%,66.7%
1.32,21.0%,4.0%,68.0%,72.1%,59.4%
1.33,2.5%,5.0%,70.0%,85.7%,50.0%
0.87,1.9%,6.6%,57.5%,73.8%,46.7%
1.22,4.9%,0.0%,63.0%,62.7%,70.0%
0.97,5.8%,2.9%,63.1%,67.7%,52.6%
2.61,0.0%,0.0%,67.6%,88.0%,58.3%
