DR,A%,DF%,1stIn,1st%,2nd%
1.02,9.5%,2.4%,59.5%,74.0%,47.1%
0.63,10.5%,5.8%,57.0%,71.4%,43.2%
1.31,9.2%,3.1%,60.2%,81.4%,61.5%
0.78,4.2%,0.0%,66.7%,71.9%,50.0%
1.63,12.3%,0.0%,73.7%,88.1%,40.0%
0.65,5.7%,5.7%,59.1%,69.2%,41.7%
0.68,1.6%,0.0%,77.4%,62.5%,57.1%
1.05,12.6%,1.9%,61.2%,74.6%,45.0%
0.62,2.0%,3.0%,60.0%,63.3%,30.0%
1.20,3.4%,0.0%,47.5%,78.6%,38.7%
0.87,17.3%,4.0%,68.0%,70.6%,45.8%
1.16,10.5%,2.9%,66.7%,77.1%,54.3%
0.79,4.8%,1.0%,64.4%,55.2%,48.6%
0.65,10.3%,1.5%,75.0%,56.9%,47.1%
0.66,14.7%,10.5%,53.7%,80.4%,27.3%
1.58,5.6%,0.0%,70.4%,76.3%,62.5%
