DR,A%,DF%,1stIn,1st%,2nd%
0.64,6.2%,6.2%,53.8%,65.7%,26.7%
1.98,12.0%,10.0%,64.0%,87.5%,55.6%
0.94,1.1%,11.0%,46.2%,69.0%,51.0%
1.57,10.9%,1.8%,61.8%,67.6%,61.9%
0.63,7.3%,7.3%,58.5%,50.0%,47.1%
0.79,3.2%,7.9%,57.1%,61.1%,33.3%
1.47,1.7%,10.0%,58.3%,74.3%,52.0%
1.41,1.7%,8.6%,56.9%,75.8%,44.0%
1.41,8.3%,3.3%,60.0%,80.6%,58.3%
0.68,3.3%,5.0%,56.7%,61.8%,26.9%
1.03,2.0%,5.1%,64.3%,68.3%,34.3%
1.20,3.9%,6.6%,68.4%,69.2%,50.0%
1.51,7.9%,13.2%,65.8%,80.0%,38.5%
0.89,5.4%,1.1%,61.3%,66.7%,50.0%
0.81,9.6%,2.7%,63.0%,65.2%,55.6%
1.03,10.8%,7.2%,62.7%,71.2%,58.1%
0.66,2.1%,6.4%,63.8%,50.0%,35.3%
0.70,2.6%,1.8%,60.5%,60.9%,68.9%
0.98,2.7%,1.8%,72.3%,61.7%,48.4%
1.17,5.3%,3.9%,65.8%,80.0%,50.0%
2.29,9.8%,2.4%,61.0%,92.0%,62.5%
1.87,4.4%,0.0%,62.2%,78.6%,52.9%
2.44,8.7%,4.3%,58.7%,92.6%,63.2%
1.43,12.3%,5.3%,50.9%,72.4%,60.7%
