DR,A%,DF%,1stIn,1st%,2nd%
0.52,1.8%,3.6%,55.4%,61.3%,28.0%
0.56,8.5%,1.7%,47.5%,60.7%,48.4%
1.17,8.2%,5.2%,67.0%,76.9%,56.3%
0.57,6.0%,6.0%,64.0%,71.9%,38.9%
0.95,6.4%,6.4%,56.4%,67.9%,56.1%
1.35,12.7%,3.6%,56.4%,77.4%,58.3%
1.56,5.1%,3.4%,67.8%,82.5%,57.9%
0.78,7.9%,4.4%,54.4%,77.4%,69.2%
0.76,6.8%,4.1%,64.9%,50.0%,38.5%
1.24,17.2%,2.0%,67.7%,79.1%,56.3%
0.75,4.0%,6.7%,56.0%,66.7%,48.5%
1.48,9.8%,1.6%,65.6%,72.5%,66.7%
1.13,10.4%,3.9%,62.3%,68.8%,55.2%
1.29,8.9%,1.8%,62.5%,80.0%,47.6%
0.67,8.3%,5.6%,59.7%,69.8%,48.3%
1.12,16.7%,2.6%,69.2%,75.9%,62.5%
0.70,11.5%,3.3%,59.0%,75.0%,48.0%
1.63,12.2%,8.2%,59.2%,89.7%,55.0%
0.64,5.9%,5.1%,59.3%,57.1%,45.8%
1.18,6.4%,2.8%,70.9%,75.0%,58.5%
1.17,5.8%,2.5%,69.2%,80.7%,54.1%
1.08,9.2%,2.5%,69.7%,80.7%,47.2%
1.37,15.3%,3.6%,61.3%,85.3%,69.8%
1.11,10.6%,2.7%,59.3%,73.1%,65.2%
