DR,A%,DF%,1stIn,1st%,2nd%
1.16,1.5%,0.0%,77.3%,72.5%,66.7%
1.31,10.0%,1.7%,58.3%,77.1%,64.0%
1.44,9.1%,1.5%,68.2%,66.7%,76.2%
0.73,3.4%,6.8%,57.6%,47.1%,56.0%
0.99,2.1%,4.2%,63.2%,63.3%,40.0%
1.13,6.1%,1.0%,65.3%,76.6%,50.0%
0.48,2.1%,0.0%,70.8%,41.2%,35.7%
1.15,12.0%,3.6%,61.4%,72.5%,46.9%
1.02,0.0%,1.0%,70.6%,61.1%,60.0%
0.85,2.1%,0.0%,55.8%,66.0%,50.0%
1.04,10.5%,4.7%,61.6%,81.1%,42.4%
0.94,8.2%,1.2%,65.9%,66.1%,65.5%
0.93,1.1%,1.1%,65.2%,72.4%,38.7%
0.60,1.2%,2.4%,60.0%,56.9%,55.9%
1.07,1.9%,1.0%,72.1%,72.0%,65.5%
1.33,11.4%,2.9%,59.0%,69.4%,53.5%
