DR,A%,DF%,1stIn,1st%,2nd%
1.34,11.3%,2.8%,59.2%,76.2%,51.7%
0.64,5.2%,3.4%,50.0%,65.5%,44.8%
0.41,3.9%,5.9%,35.3%,72.2%,39.4%
0.78,3.4%,3.4%,67.8%,75.0%,36.8%
0.81,1.0%,2.9%,54.9%,67.9%,45.7%
0.88,2.2%,2.2%,66.3%,72.1%,54.8%
1.11,10.3%,0.0%,57.7%,77.8%,54.5%
0.89,8.0%,2.0%,58.0%,72.4%,54.8%
0.79,1.8%,4.5%,60.0%,66.7%,36.4%
0.84,10.1%,4.0%,66.7%,75.8%,30.3%
1.58,7.0%,3.5%,63.2%,77.8%,57.1%
1.05,4.8%,1.6%,60.0%,62.7%,56.0%
0.86,6.3%,3.1%,61.5%,72.9%,51.4%
0.64,0.0%,0.0%,75.7%,49.1%,35.3%
