DR,A%,DF%,1stIn,1st%,2nd%
1.16,4.8%,0.0%,66.7%,75.7%,57.1%
1.08,5.9%,0.0%,61.2%,65.4%,51.5%
1.18,1.4%,5.6%,54.9%,71.8%,43.8%
1.58,0.0%,1.5%,62.1%,80.5%,64.0%
1.61,3.6%,3.6%,60.2%,72.0%,63.6%
0.93,4.7%,2.8%,69.8%,73.0%,37.5%
1.02,3.8%,1.3%,67.9%,73.6%,52.0%
1.26,3.1%,2.1%,71.1%,75.4%,57.1%
0.99,2.3%,1.1%,60.9%,62.3%,50.0%
1.42,4.9%,1.6%,59.0%,83.3%,48.0%
0.93,11.2%,3.1%,65.3%,68.8%,44.1%
2.19,8.7%,4.3%,50.0%,82.6%,78.3%
0.77,1.7%,3.4%,53.4%,51.6%,40.7%
1.35,1.9%,1.9%,51.9%,78.6%,46.2%
1.21,0.0%,0.0%,71.1%,72.2%,54.5%
1.75,3.2%,0.0%,61.3%,78.9%,75.0%
1.41,3.0%,0.0%,70.1%,70.2%,65.0%
1.92,2.4%,0.0%,53.7%,72.7%,73.7%
1.79,3.3%,0.0%,65.6%,87.5%,42.9%
1.25,7.2%,2.9%,63.8%,77.3%,48.0%
1.23,6.0%,6.0%,56.0%,85.1%,54.1%
2.95,6.8%,0.0%,50.0%,100.0%,68.2%
1.59,5.7%,5.7%,68.6%,79.2%,54.5%
2.10,2.2%,4.3%,52.2%,79.2%,68.2%
