DR,A%,DF%,1stIn,1st%,2nd%
0.90,3.6%,3.6%,55.4%,80.6%,40.0%
1.49,8.2%,0.0%,62.3%,76.3%,60.9%
0.90,14.0%,0.9%,70.1%,80.0%,46.9%
1.03,8.3%,3.3%,66.7%,67.5%,50.0%
1.06,5.6%,1.4%,63.9%,69.6%,50.0%
1.69,29.0%,1.6%,69.4%,86.0%,63.2%
1.06,10.0%,2.5%,63.7%,78.4%,41.4%
1.28,14.4%,1.0%,70.1%,83.8%,69.0%
1.26,11.7%,3.3%,66.7%,72.5%,45.0%
1.43,16.7%,0.0%,59.1%,82.1%,70.4%
0.61,8.3%,2.1%,56.3%,72.2%,26.2%
0.95,6.8%,5.5%,61.6%,64.4%,46.4%
0.53,7.4%,3.7%,70.4%,55.3%,43.8%
1.34,15.8%,3.5%,64.9%,78.4%,40.0%
2.44,15.9%,2.3%,63.6%,85.7%,68.8%
0.72,19.0%,3.4%,67.2%,69.2%,47.4%
0.90,4.7%,4.7%,50.6%,76.7%,45.2%
1.33,17.9%,4.5%,70.1%,85.1%,40.0%
2.14,30.0%,2.0%,70.0%,88.6%,66.7%
0.83,15.2%,6.7%,61.9%,72.3%,57.5%
