DR,A%,DF%,1stIn,1st%,2nd%
0.84,11.7%,6.5%,54.5%,78.6%,34.3%
0.97,7.4%,0.8%,68.9%,72.6%,34.2%
1.70,3.7%,3.7%,59.3%,84.4%,54.5%
0.64,5.9%,7.4%,58.8%,67.5%,50.0%
1.14,13.3%,4.8%,72.3%,76.7%,43.5%
0.65,0.0%,7.4%,48.1%,61.5%,28.6%
1.96,6.7%,4.4%,55.6%,84.0%,65.0%
0.88,5.4%,5.4%,59.1%,65.5%,39.5%
0.87,1.8%,3.5%,64.9%,64.9%,45.0%
1.31,4.9%,4.9%,70.7%,60.3%,70.8%
1.29,3.4%,5.1%,59.3%,71.4%,54.2%
0.73,5.6%,1.9%,38.9%,52.4%,42.4%
1.12,5.6%,5.6%,50.8%,66.7%,44.3%
0.88,7.4%,4.4%,51.5%,68.6%,33.3%
1.75,4.1%,2.0%,73.5%,75.0%,61.5%
0.70,1.3%,5.3%,48.0%,63.9%,51.3%
1.48,5.0%,3.3%,71.7%,74.4%,52.9%
4.15,15.0%,2.5%,75.0%,93.3%,80.0%
2.49,14.3%,7.1%,53.6%,86.7%,69.2%
0.91,8.3%,4.2%,62.5%,73.3%,48.1%
