DR,A%,DF%,1stIn,1st%,2nd%
0.67,5.1%,0.0%,64.4%,60.5%,52.4%
1.45,10.9%,1.8%,58.2%,71.9%,65.2%
1.56,28.4%,1.4%,66.2%,85.7%,68.0%
1.10,10.3%,1.1%,64.4%,75.0%,38.7%
0.78,6.1%,1.2%,62.2%,64.7%,41.9%
1.04,5.0%,2.0%,61.0%,60.7%,59.0%
1.69,8.7%,0.0%,60.9%,78.6%,44.4%
0.84,1.7%,0.0%,70.9%,63.9%,52.9%
1.84,14.9%,0.0%,70.2%,72.7%,71.4%
1.21,5.2%,0.0%,74.1%,62.8%,40.0%
1.03,10.1%,4.5%,57.3%,74.5%,47.4%
1.13,5.6%,0.0%,68.5%,70.5%,60.7%
0.52,1.9%,7.5%,52.8%,64.3%,40.0%
1.05,8.2%,2.0%,73.5%,56.9%,65.4%
1.01,5.3%,0.0%,63.2%,71.7%,57.1%
1.44,5.4%,2.7%,73.0%,74.1%,60.0%
0.95,8.0%,0.0%,64.0%,66.7%,63.0%
0.67,1.6%,1.6%,68.9%,52.4%,47.4%
1.27,7.3%,1.8%,74.5%,58.5%,64.3%
1.39,4.7%,1.6%,64.1%,70.7%,69.6%
1.20,4.8%,3.2%,66.7%,76.2%,52.4%
1.09,9.4%,2.1%,64.6%,67.7%,61.8%
1.22,11.3%,1.6%,56.5%,82.9%,59.3%
