DR,A%,DF%,1stIn,1st%,2nd%
0.78,8.2%,0.0%,61.2%,83.3%,36.8%
0.90,7.5%,0.0%,75.0%,68.3%,35.0%
1.39,6.1%,0.0%,71.2%,74.5%,57.9%
1.12,20.5%,2.7%,67.1%,83.7%,41.7%
1.00,9.6%,0.9%,63.2%,66.7%,52.4%
0.64,1.9%,0.0%,66.0%,54.3%,38.9%
0.76,7.4%,1.2%,65.4%,62.3%,32.1%
1.38,13.2%,3.8%,56.6%,76.7%,73.9%
2.32,14.3%,2.0%,65.3%,81.3%,82.4%
0.88,9.3%,1.9%,66.7%,91.7%,38.9%
1.41,13.8%,2.1%,67.0%,84.1%,48.4%
1.11,13.9%,3.0%,68.3%,75.4%,43.8%
0.68,0.0%,1.6%,48.4%,60.0%,53.1%
2.41,8.9%,0.0%,60.0%,88.9%,72.2%
1.37,19.7%,0.0%,60.6%,76.7%,53.6%
1.05,8.4%,0.0%,63.9%,73.6%,53.3%
1.15,15.4%,1.3%,65.4%,66.7%,37.0%
3.33,20.0%,0.0%,50.0%,100.0%,60.0%
1.17,6.0%,1.2%,55.4%,78.3%,48.6%
