DR,A%,DF%,1stIn,1st%,2nd%
1.19,10.6%,1.5%,68.2%,84.4%,61.9%
0.82,5.7%,2.9%,50.0%,77.1%,51.4%
0.63,5.3%,1.3%,61.3%,65.2%,44.8%
0.84,4.0%,3.0%,55.4%,69.6%,48.9%
1.52,16.0%,4.0%,54.0%,85.2%,60.9%
1.91,11.1%,0.0%,46.7%,85.7%,62.5%
0.99,5.3%,1.1%,58.5%,58.2%,48.7%
0.45,9.2%,1.5%,61.5%,75.0%,44.0%
1.54,15.1%,0.0%,58.5%,80.6%,59.1%
0.71,0.0%,1.6%,46.8%,62.1%,36.4%
1.37,1.6%,1.6%,53.2%,81.8%,58.6%
1.06,9.5%,2.9%,61.9%,70.8%,37.5%
0.86,6.8%,1.4%,62.2%,71.7%,39.3%
0.54,8.3%,1.4%,72.2%,71.2%,45.0%
2.63,11.1%,2.8%,52.8%,84.2%,70.6%
