DR,A%,DF%,1stIn,1st%,2nd%
0.64,0.0%,2.6%,70.1%,61.1%,34.8%
1.64,3.6%,1.8%,56.4%,87.1%,58.3%
0.70,2.0%,3.0%,63.6%,57.1%,44.4%
1.91,4.0%,2.0%,62.0%,74.2%,78.9%
0.96,3.7%,7.4%,66.7%,69.4%,44.4%
1.19,5.5%,1.4%,64.4%,74.5%,50.0%
1.09,6.1%,3.5%,69.3%,65.8%,54.3%
0.68,6.7%,1.0%,67.6%,67.6%,32.4%
1.18,7.3%,2.4%,70.7%,69.0%,62.5%
1.74,4.1%,2.0%,81.6%,80.0%,55.6%
0.86,6.9%,2.3%,66.7%,63.8%,41.4%
0.65,6.5%,4.8%,62.9%,66.7%,39.1%
0.82,4.5%,3.0%,54.5%,52.8%,33.3%
0.77,1.4%,10.0%,50.0%,60.0%,37.1%
0.87,2.7%,1.8%,60.0%,68.2%,52.3%
2.33,14.0%,2.3%,60.5%,88.5%,58.8%
0.78,7.8%,1.3%,70.1%,55.6%,34.8%
0.81,5.8%,0.0%,53.6%,78.4%,59.4%
1.52,9.7%,3.2%,59.7%,78.4%,60.0%
1.21,8.5%,0.0%,64.4%,71.1%,52.4%
