DR,A%,DF%,1stIn,1st%,2nd%
0.58,2.3%,9.1%,79.5%,45.7%,11.1%
1.01,1.3%,3.8%,70.5%,60.0%,56.5%
0.72,4.2%,2.1%,70.8%,67.6%,35.7%
0.75,0.0%,3.2%,63.5%,70.0%,47.8%
1.14,7.2%,6.0%,62.7%,69.2%,45.2%
1.52,0.0%,0.0%,72.3%,58.8%,69.2%
0.62,0.0%,4.7%,69.8%,43.3%,23.1%
1.49,0.0%,0.0%,76.0%,68.4%,66.7%
0.69,4.7%,3.1%,50.0%,71.9%,46.9%
0.98,2.7%,0.9%,67.0%,70.7%,56.8%
0.95,8.0%,6.0%,65.0%,66.2%,40.0%
0.94,2.4%,2.4%,63.5%,75.9%,54.8%
1.21,6.3%,2.5%,67.1%,79.2%,46.2%
0.85,3.9%,1.3%,61.0%,61.7%,46.7%
1.35,3.6%,3.6%,67.9%,65.8%,44.4%
1.11,7.3%,6.3%,69.8%,85.1%,31.0%
1.01,2.5%,3.4%,61.3%,76.7%,58.7%
0.73,1.4%,1.4%,61.4%,67.4%,25.9%
1.21,10.7%,0.0%,60.0%,77.8%,53.3%
1.23,0.0%,1.9%,63.0%,76.5%,45.0%
1.07,5.2%,2.1%,69.8%,68.7%,34.5%
0.84,1.8%,1.8%,78.1%,62.9%,52.0%
1.31,0.0%,2.5%,80.2%,73.8%,56.3%
