DR,A%,DF%,1stIn,1st%,2nd%
0.93,1.0%,1.9%,65.7%,65.2%,41.7%
1.33,1.5%,0.0%,66.7%,68.2%,63.6%
1.47,5.9%,3.9%,70.6%,72.2%,60.0%
0.90,1.8%,0.0%,70.2%,65.0%,52.9%
1.69,3.8%,3.8%,73.6%,76.9%,64.3%
1.28,0.0%,3.2%,69.4%,72.1%,47.4%
1.75,8.2%,0.0%,71.4%,77.1%,57.1%
1.33,0.0%,0.0%,69.7%,65.2%,45.0%
1.39,3.8%,3.8%,71.8%,69.6%,50.0%
1.29,0.0%,1.4%,65.8%,64.6%,64.0%
1.13,3.0%,6.9%,61.4%,69.4%,48.7%
1.33,0.0%,3.4%,59.3%,60.0%,62.5%
1.38,1.3%,3.9%,53.9%,68.3%,54.3%
0.92,8.0%,2.0%,67.0%,64.2%,54.5%
0.92,4.3%,5.7%,55.7%,64.1%,45.2%
1.36,6.8%,6.8%,65.8%,75.0%,60.0%
2.22,15.0%,5.0%,75.0%,76.7%,70.0%
1.26,3.2%,7.9%,71.4%,68.9%,55.6%
1.51,14.6%,6.3%,43.8%,95.2%,63.0%
