DR,A%,DF%,1stIn,1st%,2nd%
1.16,0.0%,4.8%,58.3%,65.3%,54.3%
0.79,0.0%,5.1%,69.5%,65.9%,50.0%
1.00,6.3%,5.0%,77.5%,66.1%,44.4%
8.86,0.0%,0.0%,53.8%,100.0%,83.3%
1.20,3.9%,5.2%,63.6%,59.2%,50.0%
0.59,0.0%,7.8%,52.9%,59.3%,41.7%
1.09,0.0%,2.5%,82.7%,58.2%,42.9%
1.28,0.0%,0.0%,74.6%,55.3%,68.8%
1.16,1.4%,9.6%,50.7%,40.5%,58.3%
0.83,4.9%,4.9%,60.7%,62.2%,41.7%
1.25,0.0%,0.0%,71.9%,71.7%,50.0%
0.88,0.0%,1.0%,57.1%,53.6%,50.0%
1.17,1.0%,5.1%,71.4%,58.6%,42.9%
1.22,0.0%,4.7%,51.8%,81.8%,43.9%
0.69,0.0%,3.7%,70.4%,47.4%,56.3%
0.93,3.1%,1.0%,75.3%,76.7%,29.2%
1.00,1.0%,1.0%,69.7%,60.9%,56.7%
0.93,0.7%,1.4%,69.7%,60.4%,59.1%
1.17,1.0%,2.9%,69.2%,63.9%,46.9%
1.60,1.4%,2.7%,67.1%,87.8%,45.8%
