DR,A%,DF%,1stIn,1st%,2nd%
1.93,11.4%,2.9%,71.4%,88.0%,60.0%
1.38,9.0%,2.6%,61.5%,77.1%,63.3%
1.02,9.4%,7.3%,59.4%,80.7%,38.5%
0.95,4.7%,3.5%,67.1%,63.2%,42.9%
1.45,3.2%,3.2%,66.1%,75.6%,66.7%
1.11,4.2%,2.8%,62.5%,73.3%,55.6%
1.35,5.2%,1.7%,69.0%,72.5%,55.6%
1.27,3.7%,3.7%,68.5%,75.7%,64.7%
0.74,3.4%,5.2%,51.7%,60.0%,46.4%
1.07,3.2%,5.4%,59.1%,61.8%,55.3%
1.68,5.8%,7.7%,51.9%,77.8%,76.0%
0.98,1.6%,1.6%,69.1%,68.2%,47.4%
2.95,15.4%,0.0%,74.4%,86.2%,70.0%
0.60,6.1%,4.5%,78.8%,53.8%,64.3%
1.83,17.7%,3.2%,62.9%,87.2%,73.9%
0.93,9.1%,0.0%,71.7%,76.1%,42.9%
0.97,3.0%,7.9%,60.4%,77.0%,35.0%
1.53,10.5%,0.0%,78.9%,77.8%,41.7%
