DR,A%,DF%,1stIn,1st%,2nd%
0.61,10.4%,0.0%,62.5%,53.3%,66.7%
0.69,4.0%,4.0%,46.0%,69.6%,37.0%
1.39,8.3%,3.3%,63.3%,78.9%,54.5%
0.80,9.2%,1.1%,63.2%,72.7%,59.4%
0.71,1.5%,3.1%,56.9%,62.2%,42.9%
0.56,3.5%,0.0%,61.4%,57.1%,27.3%
1.01,4.4%,5.3%,58.8%,74.6%,44.7%
1.28,6.2%,0.0%,58.5%,57.9%,66.7%
0.91,10.6%,2.7%,65.5%,62.2%,59.0%
1.15,13.1%,1.6%,67.2%,70.7%,55.0%
2.09,12.5%,2.1%,64.6%,87.1%,52.9%
0.73,6.6%,4.9%,65.6%,70.0%,42.9%
1.08,3.2%,4.8%,64.5%,62.5%,54.5%
0.32,5.4%,0.0%,68.9%,52.9%,69.6%
2.27,11.8%,0.0%,52.9%,77.8%,62.5%
1.14,2.3%,1.1%,60.9%,62.3%,50.0%
2.79,8.1%,0.0%,59.5%,81.8%,73.3%
0.28,9.1%,0.0%,69.1%,50.0%,35.3%
1.15,14.0%,2.3%,61.6%,77.4%,60.6%
1.86,11.5%,1.9%,57.7%,76.7%,68.2%
0.90,10.1%,2.3%,62.0%,77.5%,59.2%
