DR,A%,DF%,1stIn,1st%,2nd%
2.12,8.5%,0.0%,66.0%,74.2%,87.5%
0.79,1.3%,5.2%,57.1%,59.1%,45.5%
1.56,2.0%,0.0%,58.0%,75.9%,57.1%
1.38,5.4%,0.0%,46.4%,69.2%,60.0%
1.05,5.6%,0.0%,51.7%,73.9%,46.5%
0.96,1.3%,1.3%,62.8%,67.3%,51.7%
1.14,1.1%,2.2%,51.6%,68.1%,72.7%
1.40,1.4%,0.0%,70.0%,71.4%,57.1%
0.61,0.0%,3.7%,57.4%,48.4%,43.5%
0.77,0.0%,1.2%,67.9%,65.5%,50.0%
0.82,0.0%,0.0%,50.9%,57.1%,40.7%
1.09,0.0%,5.3%,53.9%,73.2%,48.6%
0.85,8.5%,0.0%,61.0%,70.0%,59.4%
1.98,3.6%,0.0%,50.0%,82.1%,78.6%
1.24,10.5%,2.6%,67.1%,82.4%,56.0%
1.55,7.9%,6.3%,58.7%,89.2%,50.0%
0.96,2.4%,1.2%,59.8%,65.3%,51.5%
1.40,10.3%,2.6%,42.3%,75.8%,66.7%
0.63,2.5%,5.0%,52.5%,52.4%,42.1%
