DR,A%,DF%,1stIn,1st%,2nd%
0.45,2.8%,2.8%,62.0%,61.4%,48.1%
1.74,5.6%,7.4%,57.4%,87.1%,69.6%
1.93,11.4%,4.5%,63.6%,78.6%,68.8%
1.39,12.9%,3.2%,64.5%,80.0%,54.5%
1.92,5.9%,3.9%,60.8%,67.7%,80.0%
0.69,5.8%,3.8%,65.4%,55.9%,44.4%
1.13,3.8%,1.3%,63.3%,68.0%,48.3%
2.07,7.1%,7.1%,61.9%,84.6%,62.5%
0.93,4.8%,1.6%,59.7%,67.6%,48.0%
1.23,6.3%,3.8%,69.6%,63.6%,45.8%
1.25,4.1%,0.0%,76.7%,69.6%,64.7%
1.51,7.1%,3.6%,73.2%,70.7%,60.0%
0.92,5.8%,2.9%,73.9%,70.6%,38.9%
1.17,8.6%,0.9%,69.0%,67.5%,61.1%
1.46,12.5%,1.6%,62.5%,80.0%,62.5%
2.27,16.4%,0.0%,74.5%,82.9%,78.6%
1.06,2.7%,6.8%,61.6%,68.9%,50.0%
1.09,9.2%,6.6%,65.8%,68.0%,38.5%
0.51,6.0%,3.0%,67.2%,55.6%,63.6%
0.81,3.6%,2.7%,70.9%,73.1%,59.4%
1.64,4.5%,0.0%,71.6%,76.2%,80.0%
1.26,4.0%,1.3%,66.7%,68.0%,52.0%
