DR,A%,DF%,1stIn,1st%,2nd%
0.99,7.7%,11.5%,51.3%,72.5%,42.1%
2.01,14.0%,9.3%,72.1%,80.6%,50.0%
0.80,4.5%,6.0%,43.3%,65.5%,47.4%
0.71,3.3%,11.7%,55.0%,39.4%,25.9%
0.97,3.1%,4.1%,45.4%,79.5%,47.2%
0.55,9.3%,18.6%,34.9%,60.0%,42.9%
0.94,7.0%,1.4%,59.2%,66.7%,34.5%
1.17,5.6%,7.0%,57.7%,63.4%,63.3%
1.22,6.8%,2.7%,56.8%,64.3%,40.6%
0.86,2.9%,2.9%,52.9%,64.9%,42.4%
0.76,4.8%,4.8%,54.2%,62.2%,44.7%
1.30,3.3%,5.0%,48.3%,65.5%,58.1%
0.80,6.0%,1.5%,55.2%,64.9%,46.7%
1.50,5.8%,0.0%,65.2%,80.0%,45.8%
1.03,4.7%,1.9%,66.4%,70.4%,47.2%
